key,p1,v1,p2,v2,p3,v3,p4,v4,p5,v5,p6,v6,p7,v7,p8,v8,p9,v9,p10,v10,p11,v11
"Brasil, Grande Região e Unidade da Federação",observationAbout,{Data},age,[14 - Years],observationPeriod,P3M,,,YEAR,,MONTH,,Name1,,AlternateName1,,#End,#value,,,,
Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,populationType,Person,measuredProperty,count,Name1,Persons aged 14 or over employed in the reference week,AlternateName1,Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,,,,,employmentStatus,Employed,,,,,#Multiply,1000,,
Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,populationType,Person,measuredProperty,count,Name1,Coefficient of variation - People aged 14 or over employed in the reference week,AlternateName1,Coeficiente de variação - Pessoas de 14 anos ou mais de idade ocupadas na semana de referência,unit,Percent,scalingFactor,100,employmentStatus,Employed,,,statType,coefficientOfVariationValue,,,,
Distribuição percentual das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,populationType,Person,measuredProperty,count,Name1,Percentage distribution of people aged 14 or over employed in the reference week,AlternateName1,Distribuição percentual das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,unit,Percent,scalingFactor,100,employmentStatus,Employed,measurementDenominator,"-economicSector,-name,-alternateName",,,,,,
Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,populationType,Person,measuredProperty,count,Name1,Coefficient of variation - Percentage distribution of people aged 14 or over employed in the reference week,AlternateName1,Coeficiente de variação - Distribuição percentual das pessoas de 14 anos ou mais de idade ocupadas na semana de referência,unit,Percent,scalingFactor,100,employmentStatus,Employed,measurementDenominator,"-economicSector,-statType,-name,-alternateName",statType,coefficientOfVariationValue,,,,
Total,,,value,{Number},#ignore,"ignore, mapped in 6465",,,,,,,,,,,,,,,,
"Agricultura, pecuária, produção florestal, pesca e aquicultura",,,value,{Number},name,"""{Name1} Agriculture  livestock  forestry  fishing and aquaculture""",alternateName,"""{AlternateName1} Agricultura  pecuária  produção florestal  pesca e aquicultura @pt""",economicSector,Agriculture__Livestock__Forestry__FishingAndAquaculture,,,observationDate,{YEAR}-{MONTH},,,,,,,,
Indústria geral,,,value,{Number},name,"""{Name1} General industry""",alternateName,"""{AlternateName1} Indústria geral @pt""",economicSector,GeneralIndustry,,,observationDate,{YEAR}-{MONTH},,,,,,,,
Indústria de transformação,,,value,{Number},name,"""{Name1} Transformation industry""",alternateName,"""{AlternateName1} Indústria de transformação @pt""",economicSector,TransformationIndustry,,,observationDate,{YEAR}-{MONTH},,,,,,,,
Construção,,,value,{Number},name,"""{Name1} Construction""",alternateName,"""{AlternateName1} Construção @pt""",economicSector,Construction,,,observationDate,{YEAR}-{MONTH},,,,,,,,
"Comércio, reparação de veículos automotores e motocicletas",,,value,{Number},name,"""{Name1} Trade  repair of motor vehicles and motorcycles""",alternateName,"""{AlternateName1} Comércio  reparação de veículos automotores e motocicletas @pt""",economicSector,Trade__RepairOfMotorVehiclesAndMotorcycles,,,observationDate,{YEAR}-{MONTH},,,,,,,,
"Transporte, armazenagem e correio",,,value,{Number},name,"""{Name1} Transport  storage and mail""",alternateName,"""{AlternateName1} Transporte  armazenagem e correio @pt""",economicSector,Transport__StorageAndMail,,,observationDate,{YEAR}-{MONTH},,,,,,,,
Alojamento e alimentação,,,value,{Number},name,"""{Name1} Accommodation and food""",alternateName,"""{AlternateName1} Alojamento e alimentação @pt""",economicSector,AccommodationAndfood,,,observationDate,{YEAR}-{MONTH},,,,,,,,
"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",,,value,{Number},name,"""{Name1} Information  communication and financial  real estate  professional and administrative activities""",alternateName,"""{AlternateName1} Informação  comunicação e atividades financeiras  imobiliárias  profissionais e administrativas @pt""",economicSector,Information__CommunicationAndFinancial__RealEstate__ProfessionalAndAdministrative,,,observationDate,{YEAR}-{MONTH},,,,,,,,
"Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais",,,value,{Number},name,"""{Name1} Public administration  defense  social security  education  human health and social services""",alternateName,"""{AlternateName1} Administração pública  defesa  seguridade social  educação  saúde humana e serviços sociais @pt""",economicSector,PublicAdministration__Defense__SocialSecurity__Education__HumanHealth__SocialServices,,,observationDate,{YEAR}-{MONTH},,,,,,,,
Outros serviços,,,value,{Number},name,"""{Name1} Other services""",alternateName,"""{AlternateName1} Outros serviços @pt""",economicSector,OtherServices,,,observationDate,{YEAR}-{MONTH},,,,,,,,
Serviços domésticos,,,value,{Number},name,"""{Name1} Domestic services""",alternateName,"""{AlternateName1} Serviços domésticos @pt""",economicSector,DomesticServices,,,observationDate,{YEAR}-{MONTH},,,,,,,,
Atividades mal definidas,,,value,{Number},name,"""{Name1} Poorly defined activities""",alternateName,"""{AlternateName1} Atividades mal definidas @pt""",economicSector,PoorlyDefinedActivities,,,observationDate,{YEAR}-{MONTH},,,,,,,,
2012,YEAR,2012,,,,,,,,,,,,,,,,,,,,
2013,YEAR,2013,,,,,,,,,,,,,,,,,,,,
2014,YEAR,2014,,,,,,,,,,,,,,,,,,,,
2015,YEAR,2015,,,,,,,,,,,,,,,,,,,,
