key,p1,v1,p2,v2,p3,v3,p4,v4
State or otherjurisdiction,observationDate,{Number},populationType,Person,measuredProperty,minimumWage,unit,USDollarPerHour
,,,,,,,,
Alabama,observationAbout,geoId/01,value,{Number},,,,
Alaska,observationAbout,geoId/02,value,{Number},,,,
Arizona,observationAbout,geoId/04,value,{Number},,,,
Arkansas,observationAbout,geoId/05,value,{Number},,,,
California,observationAbout,geoId/06,value,{Number},,,,
Colorado,observationAbout,geoId/08,value,{Number},,,,
Connecticut,observationAbout,geoId/09,value,{Number},,,,
Delaware,observationAbout,geoId/10,value,{Number},,,,
District of Columbia,observationAbout,geoId/11,value,{Number},,,,
Florida,observationAbout,geoId/12,value,{Number},,,,
Georgia,observationAbout,geoId/13,value,{Number},,,,
Hawaii,observationAbout,geoId/15,value,{Number},,,,
Idaho,observationAbout,geoId/16,value,{Number},,,,
Illinois,observationAbout,geoId/17,value,{Number},,,,
Indiana,observationAbout,geoId/18,value,{Number},,,,
Iowa,observationAbout,geoId/19,value,{Number},,,,
Kansas,observationAbout,geoId/20,value,{Number},,,,
Kentucky,observationAbout,geoId/21,value,{Number},,,,
Louisiana,observationAbout,geoId/22,value,{Number},,,,
Maine,observationAbout,geoId/23,value,{Number},,,,
Maryland,observationAbout,geoId/24,value,{Number},,,,
Massachusetts,observationAbout,geoId/25,value,{Number},,,,
Michigan,observationAbout,geoId/26,value,{Number},,,,
Minnesota,observationAbout,geoId/27,value,{Number},,,,
Mississippi,observationAbout,geoId/28,value,{Number},,,,
Missouri,observationAbout,geoId/29,value,{Number},,,,
Montana,observationAbout,geoId/30,value,{Number},,,,
Nebraska,observationAbout,geoId/31,value,{Number},,,,
Nevada,observationAbout,geoId/32,value,{Number},,,,
New Hampshire,observationAbout,geoId/33,value,{Number},,,,
New Jersey,observationAbout,geoId/34,value,{Number},,,,
New Mexico,observationAbout,geoId/35,value,{Number},,,,
New York,observationAbout,geoId/36,value,{Number},,,,
North Carolina,observationAbout,geoId/37,value,{Number},,,,
North Dakota,observationAbout,geoId/38,value,{Number},,,,
Ohio,observationAbout,geoId/39,value,{Number},,,,
Oklahoma,observationAbout,geoId/40,value,{Number},,,,
Oregon,observationAbout,geoId/41,value,{Number},,,,
Pennsylvania,observationAbout,geoId/42,value,{Number},,,,
Rhode Island,observationAbout,geoId/44,value,{Number},,,,
South Carolina,observationAbout,geoId/45,value,{Number},,,,
South Dakota,observationAbout,geoId/46,value,{Number},,,,
Tennessee,observationAbout,geoId/47,value,{Number},,,,
Texas,observationAbout,geoId/48,value,{Number},,,,
Utah,observationAbout,geoId/49,value,{Number},,,,
Vermont,observationAbout,geoId/50,value,{Number},,,,
Virginia,observationAbout,geoId/51,value,{Number},,,,
Washington,observationAbout,geoId/53,value,{Number},,,,
West Virginia,observationAbout,geoId/54,value,{Number},,,,
Wisconsin,observationAbout,geoId/55,value,{Number},,,,
Wyoming,observationAbout,geoId/56,value,{Number},,,,
AS,observationAbout,geoId/60,value,{Number},,,,
Guam,observationAbout,geoId/66,value,{Number},,,,
MP,observationAbout,geoId/69,value,{Number},,,,
Puerto Rico,observationAbout,geoId/72,value,{Number},,,,
UM,observationAbout,geoId/74,value,{Number},,,,
U.S. Virgin Islands,observationAbout,geoId/78,value,{Number},,,,
Federal (FLSA),observationAbout,country/USA,value,{Number},,,,
,,,,,,,,
1968 (a),observationDate,1968,,,,,,
1970 (a),observationDate,1970,,,,,,
1976 (a),observationDate,1976,,,,,,
