,prop,val,p1,v1,p2,v2,p3,v3,p4,v4,p5,v5,p6,v6
Referência,observationDate,{Data},observationAbout,country/BRA,benefitProgram,Brazil_BolsaFamilyProgram,observationPeriod,P1M,,,,,,
Quantidade de Benefícios de Renda de Cidadania (BRC),benefitType ,CitizenshipIncomeBenefit,value,{Number},populationType,EconomicActivity,measuredProperty,count,name,"""Amount of Citizenship Income Benefits (BRC)""",alternateName,"""Quantidade de Benefícios de Renda de Cidadania (BRC)@pt""",,
Quantidade de Benefícios Complementares (BCO),benefitType ,ComplementaryBenefit,value,{Number},populationType,Household,measuredProperty,count,name,"""Quantity of Complementary Benefits (BCO)""",alternateName,"""Quantidade de Benefícios Complementares (BCO)@pt""",,
Quantidade de Benefícios Primeira Infância (BPI) PBF,benefitType ,EarlyChildhoodBenefit,value,{Number},populationType,Household,measuredProperty,count,name,"""Quantity of Early Childhood Benefits (BPI) PBF""",alternateName,"""Quantidade de Benefícios Primeira Infância (BPI) PBF@pt""",,
Quantidade de Benefícios Variáveis Familiares Gestante (BVG),benefitType ,PregnantFamilyBenefit,value,{Number},populationType,Household,measuredProperty,count,name,"""Quantity of Pregnant Family Variable Benefits (BVG)""",alternateName,"""Quantidade de Benefícios Variáveis Familiares Gestante (BVG)@pt""",,
Quantidade de Benefícios Variáveis Familiares Nutriz (BVN),benefitType ,NursingFamilyBenefit,value,{Number},populationType,Household,measuredProperty,count,name,"""Quantity of Variable Benefits for Nursing Mothers (BVN)""",alternateName,"""Quantidade de Benefícios Variáveis Familiares Nutriz (BVN)@pt""",,
Quantidade de Benefícios Variáveis Familiares Criança (BV),benefitType ,ChildFamilyVariableBenefit,value,{Number},populationType,Household,measuredProperty,count,name,"""Quantity of Child Family Variable Benefits (BV)""",alternateName,"""Quantidade de Benefícios Variáveis Familiares Criança (BV)@pt""",,
Quantidade de Benefícios Variáveis Familiares Adolescente (BVA),benefitType ,AdolescentFamilyVariableBenefit,value,{Number},populationType,EconomicActivity,measuredProperty,count,name,"""Amount of Adolescent Family Variable Benefits (BVA)""",alternateName,"""Quantidade de Benefícios Variáveis Familiares Adolescente (BVA)@pt""",,
Quantidade de Benefícios Variáveis Familiares,benefitType ,FamilyVariableBenefit,value,{Number},populationType,Household,measuredProperty,count,name,"""Quantity of Family Variable Benefits""",alternateName,"""Quantidade de Benefícios Variáveis Familiares@pt""",,
Quantidade de Benefícios Variáveis Familiares Criança (BV) e Adolescente (BVA) somados,benefitType ,ChildAndAdolescentFamilyVariableBenefit,value,{Number},populationType,Household,measuredProperty,count,name,"""Number of Child (BV) and Adolescent (BVA) Family Variable Benefits combined""",alternateName,"""Quantidade de Benefícios Variáveis Familiares Criança (BV) e Adolescente (BVA) somados@pt""",,
Quantidade de Benefícios Extraordinários de Transição (BET),benefitType ,ExtraordinaryTransitionBenefit,value,{Number},populationType,EconomicActivity,measuredProperty,count,name,"""Quantity of Extraordinary Transition Benefits (BET)""",alternateName,"""Quantidade de Benefícios Extraordinários de Transição (BET)@pt""",,
Quantidade de Famílias com suspensão parcial do benefício pelo Seguro Defeso,benefitType ,PartialBenefitsSuspensionByDefesoInsurance,value,{Number},populationType,Household,measuredProperty,count,name,"""Number of Families with partial suspension of benefits through Defeso Insurance""",alternateName,"""Quantidade de Famílias com suspensão parcial do benefício pelo Seguro Defeso@pt""",,
