key,prop,val,p1,v1,p2,v2,p3,v3,p4,v4,p5,v5,p6,v6
Referência,observationDate,{Data},observationAbout,country/BRA,populationType,EconomicActivity,measuredProperty,amount,benefitProgram,Brazil_BolsaFamilyProgram,observationPeriod,P1M,,
Valor Total Repassado de Benefícios de Renda de Cidadania,benefitType ,CitizenshipIncomeBenefit,value,{Number},name,"""Total Value Transferred of Citizenship Income Benefits""",alternateName,"""Valor Total Repassado de Benefícios de Renda de Cidadania@pt""",,,,,,
Valor Total Repassado de Benefícios Complementares (BCO),benefitType ,ComplementaryBenefit,value,{Number},name,"""Total Value Transferred of Complementary Benefits""",alternateName,"""Valor Total Repassado de Benefícios Complementares @pt""",,,,,,
Valor Total Repassado de Benefícios Primeira Infância (BPI),benefitType ,EarlyChildhoodBenefit,value,{Number},name,"""Total Value Transferred of Early Childhood Benefits""",alternateName,"""Valor Total Repassado de Benefícios Primeira Infância @pt""",,,,,,
Valor Total Repassado de Benefícios Variáveis Familiares Gestante (BVG),benefitType ,PregnantFamilyBenefit,value,{Number},name,"""Total Value Transferred of Pregnant Family Variable Benefits""",alternateName,"""Valor Total Repassado de Benefícios Variáveis Familiares Gestante @pt""",,,,,,
Valor Total Repassado de Benefícios Variáveis Familiares Nutriz (BVN),benefitType ,NursingFamilyBenefit,value,{Number},name,"""Total Value Passed on Variable Benefits for Nursing Families""",alternateName,"""Valor Total Repassado de Benefícios Variáveis Familiares Nutriz @pt""",,,,,,
Valor Total Repassado de Benefícios Variáveis Familiares Criança (BV),benefitType ,ChildFamilyVariableBenefit,value,{Number},name,"""Total Value Transferred of Child Family Variable Benefits""",alternateName,"""Valor Total Repassado de Benefícios Variáveis Familiares Criança @pt""",,,,,,
Valor Total Repassado de Benefícios Variáveis Familiares Adolescente (BVA),benefitType ,AdolescentFamilyVariableBenefit,value,{Number},name,"""Total Value Passed on of Adolescent Family Variable Benefits""",alternateName,"""Valor Total Repassado de Benefícios Variáveis Familiares Adolescente @pt""",,,,,,
Valor Total Repassado de Benefícios Variáveis Familiares Criança (BV) e Adolescente (BVA) somados,benefitType ,ChildAndAdolescentFamilyVariableBenefit,value,{Number},name,"""Total Value Transferred of Child (BV) and Adolescent (BVA) Family Variable Benefits combined""",alternateName,"""Valor Total Repassado de Benefícios Variáveis Familiares Criança (BV) e Adolescente (BVA) somados@pt""",,,,,,
Valor Total Repassado de Benefícios Variáveis Familiares,benefitType ,FamilyVariableBenefit,value,{Number},name,"""Total Value Transferred of Family Variable Benefits""",alternateName,"""Valor Total Repassado de Benefícios Variáveis Familiares@pt""",,,,,,
Valor Total Repassado de Benefícios Extraordinários de Transição (BET),benefitType ,ExtraordinaryTransitionBenefit,value,{Number},name,"""Total Transferred Value of Extraordinary Transition Benefits""",alternateName,"""Valor Total Repassado de Benefícios Extraordinários de Transição @pt""",,,,,,
Valor Total Repassado em Benefícios com suspensão parcial pelo Seguro Defeso,benefitType ,PartialBenefitsSuspensionByDefesoInsurance,value,{Number},name,"""Total Value Transferred in Benefits with partial suspension by Defeso Insurance""",alternateName,"""Valor Total Repassado em Benefícios com suspensão parcial pelo Seguro Defeso@pt""",,,,,,
