key,prop,val,p1,v1,p2,v2,p3,v3,p4,v4,p5,v5,p6,v6,,,,
Referência,observationDate,{Data},benefitProgram,Brazil_BolsaFamilyProgram,observationPeriod,P6M,,,,,,,,,,,,
Código,observationAbout,{Data},,,,,,,,,,,,,,,,
Quantidade de pessoas com perfil saúde (crianças menores de 7 anos e mulheres),value,{Number},populationType,Person,monitoringProgram,HealthMonitoring,name,"""Number of people with a health profile (children under 7 years old and women)""",alternateName,"""Quantidade de pessoas com perfil saúde (crianças menores de 7 anos e mulheres)@pt""",age,[0 6 Years],,,,,,
Quantidade de pessoas acompanhadas pela saúde,value,{Number},populationType,Person,monitoringProgram,HealthMonitoring,name,"""Number of people monitored by health""",alternateName,"""Quantidade de pessoas acompanhadas pela saúde@pt""",gender,Male,,,,,,
Percentual de acompanhamento na saúde,value,{Number},populationType,Person,monitoringProgram,HealthMonitoring,name,"""Percentage of health monitoring""",alternateName,"""Percentual de acompanhamento na saúde@pt""",unit,Percent,scalingFactor,100,measurementDenominator,"-monitoringProgram,-name,-alternateName",,
Quantidade de pessoas com perfil saúde não acompanhadas com informação de motivo de não acompanhamento,value,{Number},populationType,Person,monitoringProgram,UnmonitoredHealthProfilesWithInformation,name,"""Number of people with a health profile not monitored with information on the reason for not being monitored""",alternateName,"""Quantidade de pessoas com perfil saúde não acompanhadas com informação de motivo de não acompanhamento@pt""",,,,,,,,
Quantidade de pessoas com perfil saúde não acompanhadas sem informação de motivo de não acompanhamento,value,{Number},populationType,Person,monitoringProgram,UnmonitoredHealthProfilesWithoutInformation,name,"""Number of people with a health profile who were not monitored without information on the reason for not being monitored""",alternateName,"""Quantidade de pessoas com perfil saúde não acompanhadas sem informação de motivo de não acompanhamento@pt""",,,,,,,,
Total de crianças com perfil saúde (com crianças menores de 7 anos),value,{Number},populationType,Child,monitoringProgram,HealthMonitoring,name,"""Total number of children with a health profile (with children under 7 years old)""",alternateName,"""Total de crianças com perfil saúde (com crianças menores de 7 anos)@pt""",age,[0 6 Years],,,,,,
Total de crianças acompanhadas,value,{Number},populationType,Child,monitoringProgram,ChildAccompanied,name,"""Total number of accompanied children""",alternateName,"""Total de crianças acompanhadas@pt""",,,,,,,,
Percentual de crianças acompanhadas,value,{Number},populationType,Child,monitoringProgram,ChildAccompanied,name,"""Percentage of accompanied children""",alternateName,"""Percentual de crianças acompanhadas@pt""",unit,Percent,scalingFactor,100,measurementDenominator,"-monitoringProgram,-name,-alternateName",,
Total de crianças com vacinação em dia,value,{Number},populationType,Child,vaccineStatus,UpToDateVaccination,name,"""Total number of children with up-to-date vaccinations""",alternateName,"""Total de crianças com vacinação em dia@pt""",,,,,,,,
Total de crianças com dados nutricionais coletados,value,{Number},populationType,Child,monitoringProgram,NutritionalMonitoring,name,"""Total children with nutritional data collected""",alternateName,"""Total de crianças com dados nutricionais coletados@pt""",,,,,,,,
Total de mulheres com perfil saúde,value,{Number},populationType,Person,monitoringProgram,HealthMonitoring,name,"""Total number of women with a health profile""",alternateName,"""Total de mulheres com perfil saúde@pt""",gender,Female,,,,,,
Total de mulheres acompanhadas,value,{Number},populationType,Person,monitoringProgram,WomenAccompanied,name,"""Total number of women accompanied""",alternateName,"""Total de mulheres acompanhadas@pt""",gender,Female,,,,,,
Percentual de mulheres acompanhadas,value,{Number},populationType,Person,monitoringProgram,WomenAccompanied,name,"""Percentage of women accompanied""",alternateName,"""Percentual de mulheres acompanhadas@pt""",gender,Female,unit,Percent,scalingFactor,100,measurementDenominator,"-monitoringProgram,-name,-alternateName"
Total de gestantes acompanhadas,value,{Number},populationType,PregnantWoman,monitoringProgram,HealthMonitoring,name,"""Total number of pregnant women monitored""",alternateName,"""Total de gestantes acompanhadas@pt""",,,,,,,,
Total de gestantes com o pré-natal em dia,value,{Number},populationType,PregnantWoman,mothersHealthPrevention,PrenatalCare,name,"""Total number of pregnant women with up-to-date prenatal care""",alternateName,"""Total de gestantes com o pré-natal em dia@pt""",,,,,,,,
Percentual de crianças que cumpriram as condicionalidades da saúde,value,{Number},populationType,Child,monitoringProgram,HealthMonitoring,name,"""Percentage of children who met health conditions""",alternateName,"""Percentual de crianças que cumpriram as condicionalidades da saúde@pt""",,,unit,Percent,scalingFactor,100,measurementDenominator,"-monitoringProgram,-name,-alternateName"
Percentual de gestantes que cumpriram as condicionalidades da saúde,value,{Number},populationType,PregnantWoman,monitoringProgram,HealthMonitoring,name,"""Percentage of pregnant women who met health conditions""",alternateName,"""Percentual de gestantes que cumpriram as condicionalidades da saúde@pt""",,,unit,Percent,scalingFactor,100,measurementDenominator,"-monitoringProgram,-name,-alternateName"
Total de crianças que cumpriram as condicionalidades da saúde,value,{Number},populationType,Child,monitoringProgram,HealthMonitoring,name,"""Total number of children who met health conditions""",alternateName,"""Total de crianças que cumpriram as condicionalidades da saúde@pt""",,,,,,,,
