key,prop,val,p1,v1,p2,v2,p3,v3,p4,v4,p5,v5,p6,v6
Referência,observationDate,{Data},observationAbout,country/BRA,benefitProgram,Brazil_BolsaFamilyProgram,observationPeriod,P6M,,,,,,
Quantidade de pessoas com perfil saúde (crianças até 7 anos e mulheres de 14 a 44 anos),value,{Number},populationType,Person,monitoringProgram,HealthMonitoring,childAge,ChildUpto7Years,womanAge,Woman14To44Years,name,"""Number of people with a health profile (children up to 7 years old and women aged 14 to 44 years old)Bolsa Family Program""",alternateName,"""Quantidade de pessoas com perfil saúde (crianças até 7 anos e mulheres de 14 a 44 anos) no Programa Bolsa Família@pt"""
Quantidade de pessoas acompanhadas pela saúde,value,{Number},populationType,Person,monitoringProgram,HealthMonitoring,,,,,name,"""Number of people monitored by health in Bolsa Family Program""",alternateName,"""Quantidade de pessoas acompanhadas pela saúde no Programa Bolsa Família@pt"""
Quantidade de pessoas com perfil saúde não acompanhadas nas condicionalidades de saúde,value,{Number},populationType,Person,monitoringProgram,WithoutHealthMonitoring,,,,,name,"""Number of people with a health profile not accompanied by health conditions in Bolsa Family Program""",alternateName,"""Quantidade de pessoas com perfil saúde não acompanhadas nas condicionalidades de saúde no Programa Bolsa Família@pt"""
Quantidade de pessoas sem informação nas condicionalidades de saúde,value,{Number},populationType,Person,medicalCondition,WithNoHealthIssuesReported,,,,,name,"""Number of people with no recorded health issues in Bolsa Family Program""",alternateName,"""Quantidade de pessoas sem informação nas condicionalidades de saúde no Programa Bolsa Família@pt"""
Total de mulheres com perfil saúde (de 14 a 44 anos),value,{Number},populationType,Person,monitoringProgram,HealthMonitoring,age,[4 14 Years],gender,Female,name,"""Total number of women with a health profile (from 14 to 44 years old) in Bolsa Family Program""",alternateName,"""Total de mulheres com perfil saúde (de 14 a 44 anos) no Programa Bolsa Família@pt"""
Total de mulheres acompanhadas,value,{Number},populationType,Person,monitoringProgram,WomenAccompanied,,,,,name,"""Total number of women accompanied by Bolsa Family Program""",alternateName,"""Total de mulheres acompanhadas no Programa Bolsa Família@pt"""
Total de gestantes acompanhadas,value,{Number},populationType,PregnantWoman,monitoringProgram,HealthMonitoring,,,,,name,"""Total number of pregnant women monitored by Bolsa Family Program""",alternateName,"""Total de gestantes acompanhadas no Programa Bolsa Família@pt"""
Total de gestantes com pré natal em dia,value,{Number},populationType,PregnantWoman,mothersHealthPrevention,PrenatalCare,,,,,name,"""Total number of pregnant women with up-to-date prenatal care in Bolsa Family Program""",alternateName,"""Total de gestantes com pré natal em dia no Programa Bolsa Família@pt"""
Total de crianças acompanhadas,value,{Number},populationType,Children,monitoringProgram,ChildAccompanied,,,,,name,"""Total number of accompanied children by Bolsa Family Program""",alternateName,"""Total de crianças acompanhadas  no Programa Bolsa Família@pt"""
Total de crianças com vacinação em dia,value,{Number},populationType,Children,vaccineStatus,UpToDateVaccination,,,,,name,"""Total number of children with up-to-date vaccinations by Bolsa Family Program""",alternateName,"""Total de crianças com vacinação em dia no Programa Bolsa Família@pt"""
Total de crianças com dados nutricionais,value,{Number},populationType,Children,monitoringProgram,NutritionalMonitoring,,,,,name,"""Total children with nutritional data by Bolsa Family Program""",alternateName,"""Total de crianças com dados nutricionais no Programa Bolsa Família@pt"""
Total de crianças com perfil saúde (com crianças até 7 anos),value,{Number},populationType,Children,monitoringProgram,HealthMonitoring,age,[0 7 Years],,,name,"""Total number of children with a health profile (with children up to 7 years old) in Bolsa Family Program""",alternateName,"""Total de crianças com perfil saúde (com crianças até 7 anos) no Programa Bolsa Família@pt"""
