table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 1. Intercensal Estimates of the Resident Population for Counties of New Hampshire: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Geographic Area,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
New Hampshire,"1,235,807","1,239,882","1,255,517","1,269,089","1,279,840","1,290,121","1,298,492","1,308,389","1,312,540","1,315,906","1,316,102","1,316,470","1,316,759"
.Belknap County,"56,268","56,473","57,597","58,609","59,497","60,170","60,287","60,105","60,109","60,239","60,171","60,088","60,085"
.Carroll County,"43,697","43,907","44,200","45,074","45,697","46,496","46,652","47,421","47,829","48,013","47,763","47,818","47,836"
.Cheshire County,"73,811","73,953","74,372","75,047","76,135","76,709","77,061","77,658","77,745","77,472","77,302","77,117","77,049"
.Coos County,"33,089","33,158","33,113","33,234","33,462","33,589","33,845","33,814","33,751","33,488","33,224","33,055","32,950"
.Grafton County,"81,764","81,868","82,233","83,152","84,211","85,312","86,287","87,236","87,764","88,745","88,926","89,118","89,108"
.Hillsborough County,"380,856","382,162","387,414","389,665","391,461","394,428","396,381","398,169","398,843","399,556","400,148","400,721","401,057"
.Merrimack County,"136,264","136,576","138,309","140,880","142,548","143,841","145,195","146,609","147,024","147,170","146,723","146,445","146,400"
.Rockingham County,"277,388","278,599","282,932","286,218","287,893","289,103","291,190","293,618","294,132","294,996","295,083","295,223","295,360"
.Strafford County,"112,235","112,643","114,382","115,811","116,846","117,926","118,681","120,363","121,735","122,460","123,034","123,143","123,198"
.Sullivan County,"40,435","40,543","40,965","41,399","42,090","42,547","42,913","43,396","43,608","43,767","43,728","43,742","43,716"
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, 
legal boundary updates, and other geographic program revisions.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this methodology
are available at http://www.census.gov/popest/methodology/intercensal_nat_meth.pdf.",,,,,,,,,,,,,
"Note: All geographic boundaries for the 2000-2010 intercensal estimates are defined as of January 1, 2010.",,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 1. Intercensal Estimates of the Resident Population for Counties of New Hampshire: April 1, 2000 to July 1, 2010 (CO-EST00INT-01-33)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: September 2011,,,,,,,,,,,,,
