table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 1. Intercensal Estimates of the Resident Population for Counties of Maryland: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Geographic Area,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
Maryland,"5,296,647","5,311,034","5,374,691","5,440,389","5,496,269","5,546,935","5,592,379","5,627,367","5,653,408","5,684,965","5,730,388","5,773,552","5,785,982"
.Allegany County,"74,909","74,804","74,525","74,204","74,076","74,408","73,979","73,980","74,449","74,638","75,101","75,087","75,021"
.Anne Arundel County,"489,677","491,670","498,559","504,884","507,769","513,259","516,171","517,698","520,503","525,304","532,395","537,656","539,198"
.Baltimore County,"753,947","755,598","762,925","770,147","777,756","784,371","789,110","793,733","796,073","798,651","801,808","805,029","805,709"
.Calvert County,"74,556","75,118","77,218","80,153","83,007","84,928","86,294","87,043","87,445","87,788","88,244","88,737","88,936"
.Caroline County,"29,735","29,773","29,814","30,054","30,553","30,653","31,416","32,214","32,720","32,983","33,013","33,066","33,093"
.Carroll County,"150,881","151,454","154,037","157,930","161,389","163,915","165,519","166,950","167,390","167,433","167,028","167,134","167,241"
.Cecil County,"85,964","86,448","88,228","90,061","92,444","94,809","96,836","98,821","99,628","100,232","100,816","101,108","101,199"
.Charles County,"120,524","121,229","124,745","128,079","131,942","135,601","138,560","141,164","142,721","143,783","144,804","146,551","147,086"
.Dorchester County,"30,671","30,581","30,647","30,526","30,628","31,086","31,422","31,677","32,172","32,466","32,470","32,618","32,650"
.Frederick County,"195,277","196,563","202,315","209,194","213,827","217,776","221,201","224,211","227,463","229,286","230,942","233,385","234,122"
.Garrett County,"29,852","29,838","29,812","29,987","30,182","30,147","30,083","30,147","30,148","30,222","30,145","30,097","30,063"
.Harford County,"218,914","219,797","222,753","227,369","231,411","234,849","238,402","241,163","241,634","242,779","243,685","244,826","245,177"
.Howard County,"247,876","249,590","255,211","259,532","263,186","265,919","268,590","271,793","275,196","278,405","283,061","287,085","288,376"
.Kent County,"19,201","19,252","19,330","19,443","19,505","19,513","19,695","19,786","19,801","20,150","20,132","20,197","20,222"
.Montgomery County,"873,874","877,478","891,764","903,140","910,498","914,991","921,531","926,492","931,694","942,748","959,013","971,777","976,203"
.Prince George's County,"801,091","803,111","817,360","828,893","837,648","845,950","853,271","852,097","849,916","850,167","856,161","863,420","865,271"
.Queen Anne's County,"40,580","40,763","41,253","42,524","43,688","44,411","44,879","45,716","46,517","47,063","47,532","47,798","47,899"
.St. Mary's County,"86,196","86,498","87,455","89,819","92,333","94,900","96,871","98,849","100,599","101,921","103,273","105,151","105,786"
.Somerset County,"24,746","24,710","25,157","25,445","25,541","25,807","25,793","26,139","26,534","26,474","26,425","26,470","26,481"
.Talbot County,"33,806","33,895","34,231","34,628","34,994","35,793","36,423","37,000","37,167","37,307","37,496","37,782","37,834"
.Washington County,"131,911","132,051","133,093","134,831","136,872","139,423","142,084","144,286","146,173","146,674","146,953","147,430","147,558"
.Wicomico County,"84,638","84,899","85,637","86,679","88,463","90,210","92,508","94,621","96,110","97,111","98,069","98,733","98,843"
.Worcester County,"46,559","46,828","47,889","48,752","49,524","49,994","50,181","50,678","51,049","51,196","51,313","51,454","51,431"
.Baltimore city,"651,262","649,086","640,733","634,115","629,033","624,222","621,560","621,109","620,306","620,184","620,509","620,961","620,583"
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, 
legal boundary updates, and other geographic program revisions.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this methodology
are available at http://www.census.gov/popest/methodology/intercensal_nat_meth.pdf.",,,,,,,,,,,,,
"Note: All geographic boundaries for the 2000-2010 intercensal estimates are defined as of January 1, 2010.",,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 1. Intercensal Estimates of the Resident Population for Counties of Maryland: April 1, 2000 to July 1, 2010 (CO-EST00INT-01-24)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: September 2011,,,,,,,,,,,,,
