table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 1. Intercensal Estimates of the Resident Population for Counties of North Carolina: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Geographic Area,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
North Carolina,"8,046,346","8,081,614","8,210,122","8,326,201","8,422,501","8,553,152","8,705,407","8,917,270","9,118,037","9,309,449","9,449,566","9,535,483","9,561,558"
.Alamance County,"130,750","131,423","133,346","135,239","136,009","137,619","139,311","141,462","144,712","147,704","149,954","151,131","151,528"
.Alexander County,"33,566","33,774","34,187","34,665","34,998","35,343","35,786","36,243","36,609","36,840","37,053","37,198","37,239"
.Alleghany County,"10,672","10,673","10,740","10,740","10,776","10,790","10,788","10,940","11,061","11,131","11,125","11,155","11,163"
.Anson County,"25,268","25,342","25,553","25,723","25,749","26,386","26,585","26,599","26,664","26,837","26,917","26,948","26,908"
.Ashe County,"24,394","24,480","24,750","25,029","25,288","25,684","25,838","26,134","26,506","26,858","27,144","27,281","27,291"
.Avery County,"17,149","17,318","17,706","17,867","17,896","17,971","17,945","18,104","17,949","18,024","17,925","17,797","17,755"
.Beaufort County,"44,916","44,950","45,084","45,216","45,418","45,618","46,059","46,622","46,702","47,297","47,485","47,759","47,820"
.Bertie County,"19,765","19,762","19,829","19,841","19,897","20,018","20,057","19,936","20,927","21,121","21,216","21,282","21,250"
.Bladen County,"32,252","32,270","32,714","32,782","33,129","33,684","33,934","34,114","34,285","34,665","34,852","35,190","35,229"
.Brunswick County,"73,121","73,717","76,005","78,296","80,584","83,327","87,846","93,938","99,008","103,257","105,777","107,431","107,992"
.Buncombe County,"206,365","207,152","209,104","211,841","214,982","218,139","221,642","226,524","230,766","233,772","236,349","238,318","238,832"
.Burke County,"89,163","89,353","89,525","89,371","89,493","89,394","89,526","89,903","90,146","90,788","91,178","90,912","90,771"
.Cabarrus County,"131,043","132,231","136,463","140,054","143,336","146,429","150,797","157,735","165,717","171,915","175,993","178,011","178,588"
.Caldwell County,"77,425","77,721","78,375","78,920","79,380","79,471","80,218","80,897","81,588","82,527","82,798","83,029","82,998"
.Camden County,"6,884","6,925","7,100","7,412","7,894","8,415","8,991","9,321","9,570","9,802","9,899","9,980","10,003"
.Carteret County,"59,334","59,406","59,790","60,311","61,067","62,127","62,833","64,028","64,258","64,700","65,670","66,469","66,685"
