table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 1. Intercensal Estimates of the Resident Population for Counties of Oklahoma: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Geographic Area,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
Oklahoma,"3,450,451","3,454,365","3,467,100","3,489,080","3,504,892","3,525,233","3,548,597","3,594,090","3,634,349","3,668,976","3,717,572","3,751,351","3,761,702"
.Adair County,"21,009","21,031","21,101","21,271","21,445","21,589","21,887","22,215","22,345","22,346","22,477","22,683","22,736"
.Alfalfa County,"6,092","6,080","5,933","5,894","5,827","5,785","5,706","5,639","5,618","5,618","5,585","5,642","5,646"
.Atoka County,"13,876","13,820","13,816","13,836","13,973","14,046","14,034","14,013","14,118","14,220","14,155","14,182","14,195"
.Beaver County,"5,832","5,782","5,657","5,617","5,609","5,577","5,569","5,514","5,571","5,521","5,562","5,636","5,651"
.Beckham County,"19,807","19,777","19,937","20,142","19,663","18,580","19,151","20,040","21,855","22,817","22,369","22,119","22,006"
.Blaine County,"11,965","11,959","11,915","11,574","11,196","12,277","12,264","11,965","12,010","12,019","11,896","11,943","11,968"
.Bryan County,"36,524","36,604","36,577","37,003","37,260","37,887","38,309","39,739","40,350","41,453","41,859","42,416","42,574"
.Caddo County,"30,146","30,037","29,677","29,532","29,550","29,470","29,202","29,087","27,932","28,612","29,459","29,600","29,665"
.Canadian County,"87,729","88,230","89,931","91,507","93,449","96,101","99,176","102,876","106,804","109,969","113,186","115,541","116,237"
.Carter County,"45,614","45,547","45,455","45,656","45,854","46,218","46,169","46,430","46,582","46,910","47,421","47,557","47,622"
.Cherokee County,"42,475","42,635","43,066","43,625","44,066","44,437","44,805","45,517","45,546","46,217","46,492","46,987","47,139"
.Choctaw County,"15,334","15,325","15,165","15,307","15,236","15,292","15,244","15,277","15,210","15,112","15,127","15,205","15,225"
.Cimarron County,"3,139","3,121","3,009","2,914","2,822","2,707","2,610","2,572","2,530","2,449","2,495","2,475","2,471"
.Cleveland County,"208,036","208,614","213,414","217,235","221,714","225,447","229,743","237,257","241,409","246,790","251,803","255,755","256,895"
.Coal County,"6,035","6,009","6,010","5,954","5,925","5,880","5,743","5,671","5,718","5,745","5,962","5,925","5,910"
.Comanche County,"114,996","115,082","113,551","113,551","111,098","116,000","115,085","116,653","119,534","118,001","119,952","124,098","125,368"
.Cotton County,"6,603","6,613","6,404","6,338","6,386","6,341","6,390","6,327","6,280","6,165","6,179","6,193","6,201"
.Craig County,"14,951","14,928","14,768","14,712","14,736","14,739","14,896","14,881","14,978","14,910","14,914","15,029","15,074"
.Creek County,"67,340","67,507","67,768","68,148","68,094","67,843","67,715","67,791","68,292","68,817","69,535","69,967","70,133"
.Custer County,"26,147","26,066","25,778","25,347","25,554","25,631","25,876","26,148","26,356","26,816","27,284","27,469","27,517"
.Delaware County,"36,949","37,108","37,606","37,970","38,634","38,998","39,277","40,266","40,984","41,018","41,290","41,487","41,525"
.Dewey County,"4,740","4,714","4,645","4,601","4,601","4,685","4,611","4,621","4,660","4,737","4,770","4,810","4,810"
.Ellis County,"4,063","4,050","3,923","4,002","3,979","3,998","3,983","3,898","3,982","4,043","4,127","4,151","4,154"
.Garfield County,"57,811","57,721","57,279","57,249","57,230","57,459","57,358","57,723","58,153","58,845","59,989","60,580","60,756"
.Garvin County,"27,216","27,258","27,034","27,083","27,068","26,942","27,089","27,249","27,399","27,529","27,582","27,576","27,553"
.Grady County,"45,476","45,534","45,856","46,691","47,277","48,167","49,256","50,462","50,931","51,621","52,231","52,431","52,481"
.Grant County,"5,144","5,127","5,047","4,979","4,939","4,789","4,771","4,645","4,633","4,598","4,484","4,527","4,534"
.Greer County,"6,061","6,044","5,894","5,970","5,942","6,031","6,082","6,048","6,160","6,200","6,273","6,239","6,217"
.Harmon County,"3,285","3,272","3,153","3,051","2,984","2,936","2,953","2,915","2,829","2,827","2,861","2,922","2,942"
.Harper County,"3,558","3,537","3,444","3,469","3,412","3,465","3,458","3,527","3,522","3,645","3,654","3,685","3,687"
.Haskell County,"11,778","11,818","11,790","11,806","12,002","12,129","12,175","12,329","12,411","12,620","12,772","12,769","12,755"
.Hughes County,"14,150","14,106","13,821","13,858","13,752","13,660","13,595","13,450","13,456","13,397","13,705","14,003","14,024"
.Jackson County,"28,439","28,278","28,036","27,513","27,242","27,480","26,862","26,805","26,335","26,038","26,256","26,446","26,496"
.Jefferson County,"6,820","6,773","6,663","6,543","6,528","6,498","6,483","6,418","6,385","6,408","6,521","6,472","6,445"
.Johnston County,"10,512","10,521","10,505","10,475","10,526","10,459","10,431","10,709","10,779","10,772","10,838","10,957","10,984"
.Kay County,"48,086","47,954","47,518","47,686","47,363","46,903","46,469","46,220","46,461","46,410","46,814","46,562","46,460"
.Kingfisher County,"13,932","13,898","13,910","13,940","14,151","14,223","14,390","14,464","14,705","14,748","14,901","15,034","15,064"
.Kiowa County,"10,225","10,201","10,054","10,015","9,965","9,885","9,955","9,756","9,543","9,518","9,445","9,446","9,436"
.Latimer County,"10,689","10,661","10,637","10,703","10,689","10,763","10,796","10,841","10,875","11,068","11,155","11,154","11,138"
.Le Flore County,"48,099","48,104","48,018","48,321","48,437","48,623","48,869","49,209","49,589","49,802","49,989","50,384","50,520"
.Lincoln County,"32,070","32,155","32,295","32,489","32,672","32,875","33,011","33,441","33,636","33,710","34,027","34,273","34,301"
.Logan County,"33,911","33,967","34,657","35,030","35,922","35,842","36,501","37,060","38,709","39,964","41,116","41,848","42,038"
.Love County,"8,826","8,826","8,749","8,836","8,916","9,044","9,159","9,207","9,252","9,291","9,340","9,423","9,442"
.McClain County,"27,750","27,863","27,871","28,169","28,814","29,350","30,322","31,419","32,470","33,107","33,822","34,506","34,715"
.McCurtain County,"34,384","34,348","33,944","33,788","33,625","33,282","33,235","33,198","33,128","33,112","33,002","33,151","33,212"
.McIntosh County,"19,405","19,432","19,451","19,552","19,582","19,597","19,595","19,730","19,952","19,952","20,160","20,252","20,268"
.Major County,"7,545","7,536","7,575","7,559","7,429","7,423","7,379","7,449","7,465","7,456","7,557","7,527","7,506"
.Marshall County,"13,131","13,170","13,372","13,659","13,809","14,149","14,686","14,988","15,318","15,482","15,652","15,840","15,887"
.Mayes County,"38,339","38,413","38,554","38,702","39,030","39,331","39,670","40,107","40,569","40,984","41,093","41,259","41,283"
.Murray County,"12,617","12,582","12,689","12,665","12,707","12,681","12,803","12,969","12,966","13,144","13,373","13,488","13,514"
.Muskogee County,"69,471","69,418","69,428","69,334","69,666","69,592","69,806","69,958","70,119","70,050","70,677","70,990","71,110"
.Noble County,"11,406","11,385","11,491","11,414","11,462","11,475","11,477","11,462","11,460","11,537","11,536","11,561","11,551"
.Nowata County,"10,564","10,583","10,593","10,561","10,802","10,629","10,666","10,705","10,771","10,788","10,595","10,536","10,512"
.Okfuskee County,"11,808","11,841","11,858","11,817","11,912","11,925","11,867","11,895","11,981","12,008","12,094","12,191","12,203"
.Oklahoma County,"660,581","661,769","664,836","671,120","674,571","677,742","683,299","690,153","695,706","701,484","711,595","718,633","721,178"
.Okmulgee County,"39,672","39,625","39,618","39,594","39,732","39,731","39,569","39,426","39,552","39,379","39,817","40,069","40,146"
.Osage County,"44,413","44,579","45,227","45,414","45,680","45,874","46,335","46,576","47,185","47,336","47,445","47,472","47,416"
.Ottawa County,"33,164","33,214","33,047","32,660","32,495","32,530","32,655","32,971","32,441","31,838","31,883","31,848","31,831"
.Pawnee County,"16,610","16,684","16,779","16,764","16,677","16,547","16,565","16,625","16,611","16,447","16,559","16,577","16,577"
.Payne County,"68,201","68,350","70,132","70,708","71,879","72,244","72,578","74,964","74,164","75,000","76,859","77,350","77,448"
.Pittsburg County,"43,944","43,982","43,447","43,933","43,983","44,029","44,412","44,831","45,062","45,450","45,887","45,837","45,854"
.Pontotoc County,"35,146","35,148","34,866","34,929","35,048","35,097","35,267","35,525","36,157","36,687","37,283","37,492","37,566"
.Pottawatomie County,"65,505","65,647","66,222","66,469","67,201","67,072","67,264","67,696","68,698","68,752","69,002","69,442","69,608"
.Pushmataha County,"11,660","11,638","11,613","11,551","11,464","11,470","11,361","11,389","11,468","11,493","11,574","11,572","11,574"
.Roger Mills County,"3,432","3,426","3,334","3,242","3,226","3,308","3,385","3,387","3,438","3,557","3,615","3,647","3,651"
.Rogers County,"70,649","71,383","73,091","75,193","77,288","79,069","80,313","82,234","84,030","85,390","86,577","86,905","86,988"
.Seminole County,"24,966","24,963","24,719","24,540","24,584","24,801","24,878","24,997","25,030","25,198","25,428","25,482","25,465"
.Sequoyah County,"38,952","39,040","39,308","39,570","39,905","40,412","40,634","41,248","41,560","41,825","42,208","42,391","42,432"
.Stephens County,"43,204","43,116","42,796","42,771","42,725","43,061","43,318","43,670","44,196","44,508","44,799","45,048","45,097"
.Texas County,"20,098","20,161","19,945","19,734","19,469","19,693","19,408","19,361","19,258","19,539","20,128","20,640","20,843"
.Tillman County,"9,285","9,247","9,203","8,841","8,802","8,668","8,464","8,394","8,271","8,112","8,016","7,992","7,975"
.Tulsa County,"563,475","563,748","566,175","569,170","568,406","566,140","568,199","575,014","582,094","588,510","597,748","603,403","605,418"
.Wagoner County,"57,476","57,711","58,944","60,561","61,700","62,800","64,165","66,345","68,677","70,646","72,143","73,085","73,349"
.Washington County,"49,015","48,987","48,897","49,032","49,004","48,997","48,885","49,216","50,038","50,641","50,754","50,976","51,045"
.Washita County,"11,510","11,497","11,362","11,243","11,204","11,202","11,228","11,422","11,555","11,595","11,664","11,629","11,619"
.Woods County,"9,094","9,049","8,882","8,896","8,729","8,676","8,679","8,550","8,593","8,533","8,708","8,878","8,896"
.Woodward County,"18,489","18,436","18,365","18,482","18,594","18,935","19,122","19,341","19,939","20,120","20,467","20,081","19,970"
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, 
legal boundary updates, and other geographic program revisions.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this methodology
are available at http://www.census.gov/popest/methodology/intercensal_nat_meth.pdf.",,,,,,,,,,,,,
"Note: All geographic boundaries for the 2000-2010 intercensal estimates are defined as of January 1, 2010.",,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 1. Intercensal Estimates of the Resident Population for Counties of Oklahoma: April 1, 2000 to July 1, 2010 (CO-EST00INT-01-40)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: September 2011,,,,,,,,,,,,,
