table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 1. Intercensal Estimates of the Resident Population for Counties of Louisiana: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Geographic Area,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
Louisiana,"4,469,035","4,471,885","4,477,875","4,497,267","4,521,042","4,552,238","4,576,628","4,302,665","4,375,581","4,435,586","4,491,648","4,533,372","4,544,228"
.Acadia Parish,"58,833","58,795","58,844","59,065","59,194","59,223","59,524","60,522","60,762","61,115","61,451","61,773","61,844"
.Allen Parish,"25,441","25,401","25,399","25,194","25,327","25,338","25,076","25,692","25,937","25,854","25,863","25,764","25,732"
.Ascension Parish,"76,639","77,335","79,210","81,379","83,967","86,352","89,741","96,421","100,132","102,891","105,172","107,215","107,891"
.Assumption Parish,"23,343","23,324","23,194","23,210","23,262","23,319","23,199","23,477","23,543","23,534","23,508","23,421","23,374"
.Avoyelles Parish,"41,501","41,459","41,274","41,233","41,446","41,271","41,036","42,080","41,809","42,040","42,034","42,073","42,103"
.Beauregard Parish,"32,948","32,979","33,001","33,000","33,221","33,614","34,130","34,510","34,623","34,893","35,142","35,654","35,831"
.Bienville Parish,"15,753","15,717","15,400","15,279","15,077","15,017","14,852","14,773","14,699","14,494","14,435","14,353","14,330"
.Bossier Parish,"99,355","99,658","100,986","102,227","103,088","105,435","107,477","110,606","112,048","113,824","115,187","116,979","117,522"
.Caddo Parish,"251,129","250,990","249,815","248,753","248,346","249,157","249,593","252,740","251,760","251,953","253,245","254,969","255,543"
.Calcasieu Parish,"183,606","183,554","183,296","183,487","184,701","185,593","186,417","185,350","187,081","188,928","191,080","192,768","193,230"
.Caldwell Parish,"10,554","10,559","10,429","10,429","10,352","10,382","10,247","10,224","10,189","10,224","10,185","10,132","10,119"
.Cameron Parish,"9,965","9,937","9,875","9,834","9,851","9,851","9,846","7,719","7,517","7,434","6,930","6,839","6,799"
.Catahoula Parish,"10,905","10,882","10,767","10,635","10,542","10,448","10,258","10,423","10,481","10,567","10,471","10,407","10,381"
.Claiborne Parish,"16,850","16,811","16,810","16,728","16,825","16,855","16,908","17,109","17,149","17,169","17,230","17,195","17,141"
.Concordia Parish,"20,221","20,225","20,134","20,132","20,074","19,972","19,885","20,315","20,244","20,420","20,726","20,822","20,806"
.De Soto Parish,"25,489","25,502","25,449","25,598","25,675","25,958","26,029","26,175","26,413","26,590","26,413","26,656","26,734"
.East Baton Rouge Parish,"412,899","412,958","411,666","411,024","412,553","414,162","413,812","433,474","433,344","433,723","437,623","440,171","440,909"
.East Carroll Parish,"9,415","9,384","9,136","8,911","8,750","8,588","8,374","8,188","8,102","7,939","7,862","7,759","7,731"
.East Feliciana Parish,"21,348","21,298","20,978","20,667","20,502","20,266","20,093","20,559","20,432","20,415","20,487","20,267","20,190"
.Evangeline Parish,"35,502","35,414","35,155","34,894","34,513","34,399","34,532","34,839","34,873","34,316","34,078","33,984","33,990"
.Franklin Parish,"21,264","21,261","21,070","20,939","20,942","20,895","20,660","20,685","20,740","20,758","20,677","20,767","20,773"
.Grant Parish,"18,697","18,734","18,896","19,133","19,420","19,878","20,386","21,039","21,268","21,657","22,069","22,309","22,341"
.Iberia Parish,"73,277","73,170","72,993","72,862","72,760","72,590","72,641","73,362","73,482","73,522","73,372","73,240","73,236"
.Iberville Parish,"33,319","33,321","33,327","33,242","33,042","32,717","32,697","33,519","33,603","33,685","33,393","33,387","33,364"
.Jackson Parish,"15,408","15,415","15,517","15,470","15,575","15,650","15,674","15,950","15,922","16,105","16,118","16,274","16,297"
.Jefferson Parish,"455,406","454,936","453,154","453,429","454,533","456,602","456,554","426,285","432,683","431,759","431,921","432,552","432,449"
.Jefferson Davis Parish,"31,432","31,506","31,232","31,113","31,091","31,076","31,202","31,489","31,379","31,497","31,530","31,594","31,605"
.Lafayette Parish,"190,234","190,516","191,725","194,565","196,710","199,338","202,053","209,424","211,826","215,139","219,466","221,578","222,051"
.Lafourche Parish,"89,745","89,775","90,105","90,994","91,899","92,580","92,656","94,385","94,745","95,603","96,080","96,318","96,328"
.La Salle Parish,"14,276","14,271","14,207","14,359","14,356","14,366","14,313","14,519","14,570","14,667","14,717","14,890","14,928"
.Lincoln Parish,"42,503","42,575","42,625","42,808","43,539","44,272","44,580","44,867","45,323","45,726","46,270","46,735","46,801"
.Livingston Parish,"91,889","92,648","95,597","99,007","102,146","106,048","109,208","115,722","119,528","123,962","126,230","128,026","128,549"
.Madison Parish,"13,724","13,704","13,493","13,180","12,959","12,806","12,663","12,537","12,410","12,340","12,040","12,093","12,102"
.Morehouse Parish,"31,037","30,961","30,605","30,319","30,224","29,891","29,355","29,079","28,478","28,311","28,147","27,979","27,925"
.Natchitoches Parish,"39,077","39,089","38,844","39,178","38,924","38,950","39,107","38,984","39,114","39,244","39,425","39,566","39,605"
.Orleans Parish,"484,692","485,610","487,363","489,722","492,187","493,765","494,294","230,172","268,751","301,842","327,803","343,829","347,858"
.Ouachita Parish,"147,256","147,271","146,789","147,728","148,549","149,293","149,476","151,183","151,157","151,727","153,058","153,720","153,910"
.Plaquemines Parish,"26,749","26,758","27,029","27,462","28,169","29,390","29,558","22,329","22,709","22,677","22,730","23,042","23,106"
.Pointe Coupee Parish,"22,761","22,759","22,574","22,451","22,369","22,332","22,075","22,754","22,848","22,966","22,847","22,802","22,771"
.Rapides Parish,"126,390","126,445","126,206","126,283","126,597","127,095","127,544","130,103","130,238","130,785","131,095","131,613","131,779"
.Red River Parish,"9,621","9,598","9,494","9,464","9,468","9,433","9,295","9,281","9,245","9,185","9,117","9,091","9,079"
.Richland Parish,"20,989","20,935","20,880","20,784","20,576","20,487","20,466","20,661","20,670","20,727","20,664","20,725","20,736"
.Sabine Parish,"23,434","23,475","23,379","23,380","23,527","23,539","23,690","23,954","24,090","24,124","24,199","24,233","24,229"
.St. Bernard Parish,"67,230","67,278","68,028","68,964","69,621","70,547","71,300","16,563","23,613","28,879","32,878","35,897","36,762"
.St. Charles Parish,"48,019","48,118","48,461","49,117","49,338","49,939","50,670","52,453","52,765","52,516","52,719","52,780","52,771"
.St. Helena Parish,"10,553","10,548","10,524","10,592","10,549","10,548","10,521","11,089","11,070","11,106","11,154","11,203","11,205"
.St. James Parish,"21,193","21,201","21,291","21,365","21,274","21,229","21,399","21,964","22,164","22,095","22,231","22,102","22,026"
.St. John the Baptist Parish,"43,181","43,248","43,580","43,878","44,316","44,822","45,296","47,296","47,386","46,811","46,336","45,924","45,813"
.St. Landry Parish,"87,662","87,420","86,416","85,713","85,034","84,487","83,952","85,128","84,710","84,427","83,825","83,384","83,454"
.St. Martin Parish,"48,535","48,583","48,971","49,228","49,482","49,754","49,890","51,044","51,410","51,914","52,025","52,160","52,214"
.St. Mary Parish,"53,539","53,377","53,044","53,109","53,245","53,288","53,015","54,152","54,104","54,352","54,551","54,650","54,579"
.St. Tammany Parish,"191,270","192,131","195,622","200,701","205,708","211,405","217,358","223,133","226,294","229,252","231,224","233,740","234,568"
.Tangipahoa Parish,"100,481","100,716","101,657","102,511","103,782","105,335","106,987","114,102","116,792","118,621","120,009","121,097","121,425"
.Tensas Parish,"6,608","6,535","6,334","6,150","5,941","5,785","5,700","5,719","5,513","5,376","5,311","5,252","5,231"
.Terrebonne Parish,"104,772","104,756","105,255","105,698","106,257","106,783","107,811","109,994","110,656","111,453","111,689","111,860","111,861"
.Union Parish,"22,798","22,762","22,783","22,624","22,757","22,676","22,765","22,919","22,770","22,698","22,609","22,721","22,754"
.Vermilion Parish,"54,104","54,094","54,217","54,638","54,754","55,113","55,828","56,388","56,835","57,421","57,684","57,999","58,070"
.Vernon Parish,"52,539","52,744","52,958","52,319","51,288","51,402","51,808","50,781","49,796","48,007","50,903","52,334","52,769"
.Washington Parish,"43,943","43,936","43,992","44,156","44,277","44,521","44,880","45,157","46,376","47,000","47,262","47,168","47,093"
.Webster Parish,"41,814","41,700","41,372","41,375","41,125","41,145","41,203","41,331","41,275","41,240","41,131","41,207","41,215"
.West Baton Rouge Parish,"21,604","21,577","21,703","21,801","21,820","22,049","21,929","22,666","23,184","23,252","23,352","23,788","23,917"
.West Carroll Parish,"12,315","12,285","12,095","12,134","12,155","12,009","11,958","11,851","11,708","11,670","11,633","11,604","11,582"
.West Feliciana Parish,"15,110","15,145","15,152","15,216","15,326","15,300","15,431","15,736","15,655","15,767","15,639","15,625","15,610"
.Winn Parish,"16,889","16,816","16,498","16,427","16,165","15,908","15,751","15,720","15,588","15,398","15,393","15,313","15,287"
