table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 1. Intercensal Estimates of the Resident Population for Counties of Maine: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Geographic Area,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
Maine,"1,274,779","1,277,072","1,285,692","1,295,960","1,306,513","1,313,688","1,318,787","1,323,619","1,327,040","1,330,509","1,329,590","1,328,361","1,327,567"
.Androscoggin County,"103,803","103,852","104,260","105,063","106,140","106,867","107,352","107,932","107,739","108,284","107,830","107,702","107,623"
.Aroostook County,"73,943","73,872","72,962","72,942","72,944","72,959","72,881","72,827","72,711","72,542","72,258","71,870","71,720"
.Cumberland County,"265,612","266,109","268,391","270,533","273,041","274,920","276,275","277,084","278,781","280,681","281,969","281,674","281,457"
.Franklin County,"29,470","29,498","29,631","30,019","30,026","30,096","30,226","30,528","30,596","30,652","30,779","30,768","30,732"
.Hancock County,"51,869","51,967","52,109","52,327","53,030","53,613","53,745","54,009","54,300","54,371","54,499","54,418","54,364"
.Kennebec County,"117,074","117,177","118,024","118,611","119,538","120,303","120,957","121,508","121,741","122,147","122,084","122,151","122,143"
.Knox County,"39,631","39,666","39,884","40,258","40,393","40,514","40,571","40,417","40,297","40,225","39,924","39,736","39,694"
.Lincoln County,"33,628","33,697","33,968","34,206","34,495","34,827","34,864","34,904","34,899","34,768","34,627","34,457","34,399"
.Oxford County,"54,715","54,787","55,157","55,843","56,206","56,763","57,235","57,556","57,966","58,138","57,923","57,833","57,752"
.Penobscot County,"144,866","144,937","146,110","147,298","148,759","148,814","149,726","151,446","152,232","153,372","153,770","153,923","153,849"
.Piscataquis County,"17,236","17,245","17,203","17,269","17,433","17,493","17,614","17,597","17,660","17,534","17,433","17,535","17,549"
.Sagadahoc County,"35,187","35,176","35,323","35,545","35,966","36,100","35,813","35,895","35,890","35,860","35,567","35,293","35,226"
.Somerset County,"50,857","50,874","50,871","51,017","51,336","51,328","51,600","52,195","52,459","52,316","52,104","52,228","52,231"
.Waldo County,"36,257","36,445","37,039","37,584","37,952","38,209","38,410","38,763","38,751","38,680","38,706","38,786","38,801"
.Washington County,"33,922","33,876","33,499","33,345","33,403","33,474","33,319","33,323","33,424","33,289","32,925","32,856","32,811"
.York County,"186,709","187,894","191,261","194,100","195,851","197,408","198,199","197,635","197,594","197,650","197,192","197,131","197,216"
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, 
legal boundary updates, and other geographic program revisions.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this methodology
are available at http://www.census.gov/popest/methodology/intercensal_nat_meth.pdf.",,,,,,,,,,,,,
"Note: All geographic boundaries for the 2000-2010 intercensal estimates are defined as of January 1, 2010.",,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 1. Intercensal Estimates of the Resident Population for Counties of Maine: April 1, 2000 to July 1, 2010 (CO-EST00INT-01-23)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: September 2011,,,,,,,,,,,,,
