table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 1. Intercensal Estimates of the Resident Population for Counties of Minnesota: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
Geographic Area,"April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,
Minnesota,"4,919,631","4,933,692","4,982,796","5,018,935","5,053,572","5,087,713","5,119,598","5,163,555","5,207,203","5,247,018","5,281,203","5,303,925","5,310,584"
.Aitkin County,"15,221","15,282","15,334","15,616","15,795","16,028","16,162","16,357","16,481","16,422","16,168","16,202","16,195"
.Anoka County,"298,164","299,780","304,823","308,702","311,863","316,643","319,830","323,590","325,767","327,427","329,635","330,844","331,302"
.Becker County,"30,006","30,188","30,392","30,777","31,244","31,625","31,753","32,057","32,142","32,244","32,407","32,504","32,520"
.Beltrami County,"39,638","39,789","40,406","41,049","41,659","42,100","42,700","43,066","43,281","43,815","44,226","44,442","44,518"
.Benton County,"34,242","34,470","35,346","36,117","36,760","37,072","37,409","37,617","38,007","38,200","38,418","38,451","38,499"
.Big Stone County,"5,816","5,777","5,678","5,677","5,598","5,444","5,445","5,375","5,366","5,328","5,285","5,269","5,264"
.Blue Earth County,"55,931","55,988","56,808","57,542","58,554","59,116","59,918","61,100","61,974","62,860","63,565","64,013","64,098"
.Brown County,"26,916","26,877","26,932","26,905","26,754","26,666","26,260","26,252","26,130","25,992","25,890","25,893","25,884"
.Carlton County,"31,705","31,784","32,110","32,740","33,343","33,950","34,367","34,538","34,596","34,986","35,269","35,386","35,399"
.Carver County,"70,243","70,843","72,945","75,393","78,005","80,473","83,258","85,657","87,270","88,812","90,242","91,042","91,361"
.Cass County,"27,148","27,292","27,587","27,853","28,004","28,338","28,683","28,754","28,681","28,733","28,483","28,567","28,587"
.Chippewa County,"12,937","12,913","12,815","12,741","12,604","12,531","12,581","12,525","12,401","12,376","12,360","12,441","12,463"
.Chisago County,"41,116","41,611","43,466","45,375","47,322","49,054","50,283","51,444","52,312","53,012","53,526","53,887","53,925"
.Clay County,"51,227","51,308","51,513","51,772","52,183","53,251","54,122","55,072","55,805","57,056","58,351","58,999","59,162"
.Clearwater County,"8,432","8,389","8,384","8,441","8,424","8,466","8,471","8,476","8,541","8,603","8,645","8,695","8,699"
.Cook County,"5,164","5,178","5,155","5,164","5,172","5,180","5,158","5,210","5,217","5,255","5,203","5,176","5,172"
.Cottonwood County,"12,190","12,167","12,140","12,104","12,096","12,151","11,967","11,789","11,748","11,701","11,632","11,687","11,689"
.Crow Wing County,"54,985","55,184","55,973","57,013","58,023","58,814","59,606","60,654","61,484","62,178","62,307","62,500","62,559"
.Dakota County,"355,923","357,848","363,602","368,252","372,265","377,143","381,829","386,228","390,767","393,900","396,906","398,552","399,100"
.Dodge County,"17,735","17,857","18,118","18,529","18,802","19,162","19,391","19,601","19,613","19,876","19,921","20,087","20,135"
.Douglas County,"32,808","32,882","33,201","33,601","34,125","34,555","35,110","35,472","35,903","36,108","36,076","36,009","35,988"
.Faribault County,"16,180","16,143","15,929","15,799","15,628","15,554","15,255","15,150","14,986","14,790","14,651","14,553","14,516"
.Fillmore County,"21,113","21,142","21,184","21,233","21,248","21,188","21,138","21,043","21,092","20,991","20,921","20,866","20,844"
.Freeborn County,"32,584","32,555","32,474","32,053","32,031","31,948","31,704","31,622","31,511","31,270","31,313","31,255","31,219"
.Goodhue County,"44,139","44,154","44,574","44,927","45,029","45,329","45,339","45,598","45,866","45,919","46,035","46,183","46,230"
.Grant County,"6,286","6,265","6,261","6,295","6,236","6,174","6,165","6,127","6,138","6,113","6,022","6,018","6,010"
.Hennepin County,"1,116,162","1,117,775","1,123,375","1,120,730","1,119,458","1,118,756","1,117,015","1,119,507","1,126,585","1,135,173","1,146,721","1,152,425","1,154,623"
.Houston County,"19,725","19,730","19,863","19,784","19,715","19,582","19,573","19,506","19,392","19,159","19,051","19,027","19,022"
.Hubbard County,"18,314","18,401","18,533","18,820","19,049","19,453","19,652","19,783","20,123","20,346","20,389","20,428","20,386"
.Isanti County,"31,280","31,459","32,428","33,410","34,753","35,592","36,400","37,183","37,711","37,851","37,809","37,816","37,857"
.Itasca County,"43,909","43,927","43,810","43,882","44,212","44,221","44,338","44,405","44,809","44,852","45,066","45,058","45,043"
.Jackson County,"11,242","11,186","10,952","10,945","10,794","10,693","10,595","10,583","10,523","10,364","10,276","10,266","10,270"
.Kanabec County,"14,987","15,041","15,266","15,449","15,877","16,080","16,259","16,360","16,495","16,535","16,294","16,239","16,209"
.Kandiyohi County,"41,193","41,141","41,272","41,069","41,364","41,456","41,487","41,537","41,639","41,840","42,058","42,239","42,270"
.Kittson County,"5,279","5,260","5,188","5,075","4,974","4,898","4,846","4,746","4,640","4,614","4,561","4,552","4,541"
.Koochiching County,"14,351","14,288","14,124","14,001","13,965","13,919","13,851","13,705","13,577","13,432","13,276","13,311","13,314"
.Lac qui Parle County,"8,073","8,057","7,914","7,891","7,793","7,674","7,574","7,415","7,419","7,342","7,302","7,259","7,238"
.Lake County,"11,053","11,083","11,145","11,128","11,162","11,100","11,014","10,962","10,938","10,872","10,872","10,866","10,858"
.Lake of the Woods County,"4,508","4,488","4,452","4,326","4,371","4,401","4,374","4,321","4,205","4,128","4,043","4,045","4,040"
.Le Sueur County,"25,416","25,459","25,654","25,909","26,395","26,811","27,016","27,480","27,870","27,816","27,730","27,703","27,699"
.Lincoln County,"6,425","6,403","6,335","6,248","6,222","6,138","6,074","6,003","5,949","5,937","5,892","5,896","5,892"
.Lyon County,"25,437","25,465","25,474","25,191","25,091","24,981","25,178","25,347","25,403","25,646","25,768","25,857","25,865"
.McLeod County,"34,906","34,854","35,144","35,408","35,541","35,923","36,250","36,749","36,961","36,917","36,662","36,651","36,654"
.Mahnomen County,"5,190","5,167","5,211","5,220","5,214","5,215","5,283","5,277","5,352","5,386","5,357","5,413","5,421"
.Marshall County,"10,147","10,119","9,948","9,919","9,962","9,938","9,889","9,802","9,651","9,551","9,478","9,439","9,419"
.Martin County,"21,807","21,786","21,500","21,341","21,209","21,126","21,063","20,901","20,878","20,914","20,790","20,840","20,840"
.Meeker County,"22,636","22,766","22,862","22,991","23,092","23,200","23,213","23,402","23,407","23,454","23,298","23,300","23,295"
.Mille Lacs County,"22,304","22,422","22,865","23,580","24,234","24,716","25,414","25,882","26,108","26,171","26,127","26,097","26,088"
.Morrison County,"31,743","31,819","32,102","32,373","32,434","32,489","32,669","32,813","33,024","33,267","33,156","33,198","33,204"
.Mower County,"38,604","38,669","38,755","38,663","38,735","38,900","38,659","38,697","38,672","38,695","39,023","39,163","39,188"
.Murray County,"9,169","9,153","9,111","9,066","9,041","8,989","8,919","8,884","8,788","8,755","8,771","8,725","8,698"
.Nicollet County,"29,780","29,904","30,297","30,565","30,782","31,036","31,193","31,779","31,989","32,261","32,546","32,727","32,780"
.Nobles County,"20,832","20,791","20,847","20,665","20,667","20,629","20,709","20,608","20,723","21,126","21,318","21,378","21,376"
.Norman County,"7,442","7,431","7,328","7,312","7,188","7,120","7,047","6,952","6,860","6,842","6,815","6,852","6,855"
.Olmsted County,"124,287","124,930","126,737","129,132","131,196","133,195","134,953","137,293","139,369","141,527","143,521","144,248","144,509"
.Otter Tail County,"57,083","57,073","57,076","57,245","57,515","57,576","57,420","57,732","57,677","57,691","57,333","57,303","57,262"
.Pennington County,"13,590","13,545","13,373","13,607","13,604","13,640","13,639","13,810","13,840","13,842","13,873","13,930","13,946"
.Pine County,"26,429","26,607","27,125","27,627","27,946","28,323","28,616","28,860","29,210","29,614","29,655","29,750","29,727"
.Pipestone County,"9,898","9,858","9,854","9,727","9,662","9,598","9,453","9,496","9,520","9,631","9,624","9,596","9,578"
.Polk County,"31,370","31,384","31,096","30,958","30,980","31,093","31,148","31,170","31,273","31,175","31,423","31,600","31,640"
.Pope County,"11,222","11,231","11,153","11,206","11,171","11,183","11,142","11,138","11,087","11,084","11,034","10,995","10,978"
.Ramsey County,"511,272","511,520","512,926","510,581","505,958","501,104","497,560","497,158","499,605","502,890","506,590","508,640","509,320"
.Red Lake County,"4,300","4,279","4,273","4,224","4,239","4,259","4,191","4,077","4,093","4,097","4,130","4,089","4,075"
.Redwood County,"16,813","16,767","16,666","16,487","16,372","16,320","16,100","16,119","16,053","16,103","16,011","16,059","16,058"
.Renville County,"17,147","17,125","16,880","16,869","16,757","16,609","16,565","16,374","16,227","15,911","15,832","15,730","15,693"
.Rice County,"56,663","56,811","57,731","58,452","59,395","60,146","60,832","61,899","62,387","63,061","63,859","64,142","64,228"
.Rock County,"9,720","9,703","9,696","9,688","9,631","9,501","9,520","9,502","9,588","9,597","9,652","9,687","9,692"
.Roseau County,"16,343","16,309","16,164","16,101","16,168","16,150","16,212","16,031","15,959","15,935","15,836","15,629","15,561"
.St. Louis County,"200,586","200,626","201,307","200,519","200,076","199,304","198,443","198,357","198,903","199,745","200,198","200,226","200,155"
.Scott County,"89,510","91,031","96,903","102,623","107,204","112,605","117,111","121,013","124,050","126,613","128,530","129,928","130,487"
.Sherburne County,"64,472","65,361","68,220","71,867","74,771","78,091","81,179","84,079","85,968","87,495","87,880","88,499","88,691"
.Sibley County,"15,361","15,361","15,395","15,345","15,254","15,202","15,126","15,164","15,263","15,283","15,140","15,226","15,245"
.Stearns County,"133,199","133,669","135,241","137,006","138,401","139,788","141,813","144,256","146,591","148,307","149,696","150,642","150,785"
.Steele County,"33,684","33,793","34,154","34,318","34,669","35,090","35,568","36,040","36,342","36,558","36,684","36,576","36,545"
.Stevens County,"10,053","10,021","9,988","9,942","9,945","9,857","9,807","9,729","9,660","9,711","9,735","9,726","9,719"
.Swift County,"11,967","11,834","11,220","10,981","10,811","10,551","10,232","10,119","10,058","9,966","9,827","9,783","9,760"
.Todd County,"24,402","24,407","24,567","24,463","24,467","24,633","24,608","24,620","24,819","24,859","24,839","24,895","24,885"
.Traverse County,"4,137","4,123","3,978","3,929","3,883","3,871","3,838","3,795","3,709","3,637","3,600","3,558","3,542"
.Wabasha County,"21,610","21,644","21,764","21,752","21,821","21,755","21,706","21,826","21,708","21,787","21,734","21,676","21,658"
.Wadena County,"13,730","13,745","13,737","13,789","13,682","13,682","13,799","13,705","13,840","13,844","13,825","13,843","13,833"
.Waseca County,"19,536","19,522","19,486","19,483","19,416","19,245","19,288","19,348","19,407","19,311","18,639","19,136","19,137"
.Washington County,"201,214","202,686","207,206","210,181","213,909","215,937","219,972","225,091","229,756","233,306","235,684","238,136","238,844"
.Watonwan County,"11,882","11,826","11,856","11,807","11,664","11,504","11,377","11,323","11,231","11,120","11,171","11,211","11,215"
.Wilkin County,"7,135","7,116","6,989","6,982","6,964","6,860","6,801","6,709","6,715","6,622","6,563","6,576","6,571"
.Winona County,"49,996","50,081","50,072","49,977","50,200","50,257","50,756","50,904","51,316","51,457","51,422","51,461","51,419"
.Wright County,"90,022","90,786","93,922","98,434","102,856","106,998","110,674","115,192","118,635","121,553","123,320","124,700","125,118"
.Yellow Medicine County,"11,235","11,208","11,136","11,002","10,924","10,795","10,691","10,663","10,574","10,473","10,437","10,438","10,425"
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, 
legal boundary updates, and other geographic program revisions.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this methodology
are available at http://www.census.gov/popest/methodology/intercensal_nat_meth.pdf.",,,,,,,,,,,,,
"Note: All geographic boundaries for the 2000-2010 intercensal estimates are defined as of January 1, 2010.",,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 1. Intercensal Estimates of the Resident Population for Counties of Minnesota: April 1, 2000 to July 1, 2010 (CO-EST00INT-01-27)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: September 2011,,,,,,,,,,,,,
