National Center for Education Statistics,,,,
"Graduation rates within 100, 150, and 200 percent of normal program completion time at Title IV institutions among students who started as full-time, first-time degree/certificate-seeking undergraduate students, by control of institution, degree or certificate sought, and level of institution: United States, cohort years 2006 and 2010",,,,
,,,Private,
"Degree or certificate sought, level of institution,  and specified time to graduation",All institutions,Public,Nonprofit,For-profit
,,,,
Bachelor’s or equivalent degree-seeking        students attending 4-year institutions        and completing bachelor’s or equivalent       degree (cohort year 2006),,,,
,,,,
Within 100 percent of normal program completion time,39.1,32.9,52.9,23.4
Within 150 percent of normal program completion time,59.2,57.3,65.5,31.4
Within 200 percent of normal program completion time,61.6,60.3,66.6,32.6
,,,,
Degree- or certificate-seeking students       attending 2-year institutions and       completing a degree or certificate       (cohort year 2010),,,,
,,,,
Within 100 percent of normal program completion time,17.9,11.3,45.2,36.8
Within 150 percent of normal program completion time,31.7,21.2,54.7,63.6
Within 200 percent of normal program completion time,36.1,26.7,56.7,64.6
,,,,
Degree- or certificate-seeking students       attending less-than-2-year institutions       and completing a degree or certificate       (cohort year 2010),,,,
,,,,
Within 100 percent of normal program completion time,38.5,57.8,43.4,35.9
Within 150 percent of normal program completion time,66.4,71.7,69.7,65.6
Within 200 percent of normal program completion time,67.1,73.6,70.6,66.2
"NOTE: Title IV institutions are those with a written agreement with the U.S. Department of Education that allows the institution to participate in any of the Title IV federal student financial assistance programs. The four U.S. service academies that are not Title IV eligible are included in the Integrated Postsecondary Education Data System (IPEDS) universe because they are federally funded and open to the public. The rates in this table reflect graduation rates at institutions regardless of the length of programs, unless otherwise indicated. The graduation rate was calculated as required for disclosure and reporting purposes under the Student Right-to-Know Act. This rate was calculated as the total number of completers within 100, 150, or 200 percent of normal time (e.g. “normal” program completion time for a bachelor’s degree would be 4 years) divided by the adjusted cohort (revised cohort minus any allowable exclusions). The revised cohort is the number of students entering the institution as full-time, first-time degree- or certificate-seeking undergraduates in the reference year. Allowable exclusions include those students who died or were totally and permanently disabled; students who left school to serve in the armed forces (or have been called up to active duty); those who left to serve with a foreign aid service of the federal government, such as the Peace Corps; and those who left to serve on official church missions. Definitions for terms used in this table may be found in the IPEDS online glossary located at https://surveys.nces.ed.gov/ipeds/VisGlossaryAll.aspx.irst-time degree- or certificate-seeking undergraduates in the reference year. Allowable exclusions include those students who died or were totally and permanently disabled; students who left school to serve in the armed forces (or have been called up to active duty); those who left to serve with a foreign aid service of the federal government, such as the Peace Corps; and those who left to serve on official church missions. Definitions for terms used in this table may be found in the IPEDS online glossary located at https://surveys.nces.ed.gov/ipeds/VisGlossaryAll.aspx.",,,,
"SOURCE: U.S. Department of Education, National Center for Education Statistics, IPEDS, Winter 2014–15, 200 Percent Graduation Rates component (final data).",,,,
