National Center for Education Statistics,,,,,
"Table 10. Graduation rates within 100, 150, and 200 percent of normal program completion time at Title IV institutions among the students who started as full-time, first-time degree/certificate-seeking undergraduate students, by control of institution, degree or certificate sought, and level of institution: United States, cohort years 2013 and 2017",,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Degree or certificate sought and level of institution,,All institutions,Public,Private ,
,,,,Nonprofit,For-profit
,,,,,
Bachelor's or equivalent degree-seeking    students attending 4-year institutions    and completing bachelor's or equivalent   degree (cohort year 2013),,,,,
,,,,,
Within 100 percent of normal program completion time,,45.3,40.7,56.6,19.2
Within 150 percent of normal program completion time,,63.5,62.4,68.2,26.1
Within 200 percent of normal program completion time,,65.3,64.6,69.2,27.5
,,,,,
Degree- or certificate-seeking students   attending 2-year institutions and   completing a degree or certificate   (cohort year 2017),,,,,
,,,,,
Within 100 percent of normal program completion time,,22.1,18.2,46.2,42.2
Within 150 percent of normal program completion time,,35.8,30.7,56.2,63.5
Within 200 percent of normal program completion time,,40.2,35.7,57.3,64.7
,,,,,
Degree- or certificate-seeking students   attending less-than-2-year institutions   and completing a degree or certificate   (cohort year 2017),,,,,
,,,,,
Within 100 percent of normal program completion time,,43.1,57.4,51.5,40.5
Within 150 percent of normal program completion time,,69.2,70.4,74.0,68.7
Within 200 percent of normal program completion time,,70.3,71.7,75.0,69.8
"NOTE: Title IV institutions are those with a written agreement with the U.S. Department of Education that allows the institution to participate in any of the Title IV federal student financial assistance programs. United States includes the 50 states and the District of Columbia. The U.S. Naval Academy, the U.S. Military Academy, the U.S. Coast Guard Academy, and the U.S. Air Force Academy are not Title IV eligible but are included in the Integrated Postsecondary Education Data System (IPEDS) universe because they are federally funded and open to the public; they are included in this table. The U.S. Merchant Marine Academy is Title IV eligible and is also included in this table. The rates in this table reflect graduation rates at institutions regardless of the length of programs, unless otherwise indicated. The graduation rate was calculated as required for disclosure and reporting purposes under the Student Right-to-Know Act. This rate was calculated no later than August 31, 2021 as the total number of completers within 100, 150, or 200 percent of normal time (e.g., ""normal"" program completion time for a bachelor's degree would be 4 years) divided by the adjusted cohort (revised cohort minus any allowable exclusions). For institutions following a semester, trimester, 4-1-4, or other academic year calendar system, the revised cohort is the number of students entering the institution as full-time, first-time degree- or certificate-seeking undergraduates in the fall of the cohort year. For institutions following calendars that differ by program or allow continuous enrollment, the revised cohort is the number of students entering the institution as full-time, first-time degree- or certificate-seeking undergraduates from September 1 of the cohort year through August 31 of the following year. Allowable exclusions include those students who died or were totally and permanently disabled; students who left school to serve in the armed forces (or have been called up to active duty); those who left to serve with a foreign aid service of the federal government, such as the Peace Corps; and those who left to serve on official church missions. Definitions for terms used in this table may be found in the collection year's archived downloadable glossary located at https://nces.ed.gov/ipeds/use-the-data/annual-survey-forms-packages-archived?year=2021.",,,,,
"SOURCE: U.S. Department of Education, National Center for Education Statistics, IPEDS, Winter 2021–22, 200 Percent Graduation Rates component (final data).",,,,,
