National Center for Education Statistics,,,,
"Graduation rates of students at the Title IV institution where the students started as full-time, first-time students, by control of institution, level of institution, degree sought, degree completed, and time to degree: United States, cohort years 2000 and 2004",,,,
,,,,
"Level of institution, degree sought, degree completed, and time to degree",Total ,Public,"Private 
not-for-profit ","Private 
for-profit"
,,,,
"Bachelor‘s or equivalent degree-seekers
     attending 4-year institutions and 
     completing bachelor‘s or equivalent 
     degree (cohort year 2000)",,,,
,,,,
"Graduation rate within 100% of normal
     program completion time",36.1,28.9,50.4,26.8
"Graduation rate within 150% of normal 
     program completion time",57.6,54.7,64.5,33.9
"Graduation rate within 200% of normal 
     program completion time",60.6,58.3,66.4,37.8
,,,,
"Degree- or certificate-seekers attending 
     2-year institutions and completing a 
     degree or certificate (cohort year 2004)",,,,
,,,,
"Graduation rate within 100% of normal
      program completion time",18.9,11.5,41.7,42.0
"Graduation rate within 150% of normal 
     program completion time",31.4,22.0,53.3,61.2
"Graduation rate within 200% of normal 
     program completion time",37.3,28.4,58.1,65.4
,,,,
"Certificate-seekers attending less-than-
     2-year institutions and completing a 
     certificate (cohort year 2004)",,,,
,,,,
"Graduation rate within 100% of normal 
     program completion time",47.3,57.3,54.1,45.8
"Graduation rate within 150% of normal 
     program completion time",66.9,71.2,73.6,66.1
"Graduation rate within 200% of normal 
     program completion time",71.5,80.1,80.0,70.1
,,,,
"NOTE: The rates in this table reflect graduation rates at institutions regardless of the length of programs, unless otherwise indicated. The graduation rate was calculated as required for disclosure and reporting purposes under the Student Right-to-Know Act. This rate was calculated as the total number of completers within specified time to degree divided by the revised cohort minus any allowable exclusions. The revised cohort is the current (spring 2009) estimate of the number of students entering the institution as full-time, first-time degree- or certificate-seeking undergraduates in the reference year. Allowable exclusions include those students who died or were totally and permanently disabled; those who left school to serve in the armed forces; those who left to serve with a foreign aid service of the federal government, such as the Peace Corps; and those who left to serve on official church missions.",,,,
"SOURCE: U.S. Department of Education, National Center for Education Statistics, Integrated Postsecondary Education Data System (IPEDS), Spring 2009, Graduation Rates 200 component.",,,,
