National Center for Education Statistics,,,,,
"Graduation rates of students at the Title IV institution where the students started as full-time, first-time students, by control of institution, degree sought and other selected characteristics: United States, cohort years 2002 and 2006",,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"Degree sought, level of institution, 
degree completed, and time to degree",,"Overall
(%)","Public
(%)","Private 
nonprofit
(%)","Private
for-profit
(%)"
,,,,,
"Bachelor’s or equivalent degree-seekers 
     attending 4-year institutions and 
     completing bachelor’s or equivalent 
     degree (cohort year 2002)",,,,,
,,,,,
Within 100% of normal program completion time,,36.8,30.1,51.8,15.1
Within 150% of normal program completion time,,57.7,55.3,65.2,24.3
Within 200% of normal program completion time,,60.3,58.6,66.6,26.1
,,,,,
"Degree- or certificate-seekers 
     attending 2-year institutions 
     and completing a degree or 
     certificate (cohort year 2006)",,,,,
,,,,,
Within 100% of normal program completion time,,22.5,13.1,46.0,47.0
Within 150% of normal program completion time,,32.9,22.1,54.4,61.4
Within 200% of normal program completion time,,37.4,27.6,57.9,63.0
,,,,,
"Certificate-seekers attending 
     less-than-2-year institutions 
     and completing a certificate 
     (cohort year 2006)",,,,,
,,,,,
Within 100% of normal program completion time,,44.7,45.9,65.4,43.5
Within 150% of normal program completion time,,67.3,67.0,76.2,66.9
Within 200% of normal program completion time,,69.5,71.9,77.8,68.8
"NOTE: Title IV institutions are those with a written agreement with the Secretary of Education that allows the institution to participate in any of the Title IV federal student financial assistance programs. The rates in this table reflect graduation rates at institutions regardless of the length of programs, unless otherwise indicated. The graduation rate was calculated as required for disclosure and reporting purposes under the Student Right-to-Know Act. This rate was calculated as the total number of completers within specified time to degree divided by the revised cohort minus any allowable exclusions. The revised cohort is the number of students entering the institution as full-time, first-time degree- or certificate-seeking undergraduates in the cohort year. Allowable exclusions include those students who died or were totally and permanently disabled; those who left school to serve in the armed forces; those who left to serve with a foreign aid service of the federal government, such as the Peace Corps; and those who left to serve on official church missions. Definitions for terms used in this table may be found in the Integrated Postsecondary Education Data System (IPEDS) online glossary located at http://nces.ed.gov/ipeds/glossary. ",,,,,
"SOURCE: U.S. Department of Education, National Center for Education Statistics, IPEDS, Spring 2011, Graduation Rates 200 component.",,,,,
