National Center for Education Statistics,,,,,,
"Graduation rates within 100, 150, and 200 percent of normal program completion time at Title IV institutions among the students who started as full-time, first-time degree/certificate-seeking undergraduate students, by control of institution, degree or certificate sought, and level of institution: United States, cohort years 2008 and 2012",,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Degree or certificate sought and level of institution,,,,,Private ,
,,All institutions,Public,,Nonprofit,For-profit
,,,,,,
"Bachelor’s or equivalent degree-seeking  
     students attending 4-year institutions  
     and completing bachelor’s or equivalent 
     degree (cohort year 2008)",,,,,,
,,,,,,
Within 100 percent of normal program completion time,,39.8,34.4,,52.9,16.8
Within 150 percent of normal program completion time,,59.7,58.4,,65.5,26.0
Within 200 percent of normal program completion time,,61.9,61.2,,66.6,27.3
,,,,,,
"Degree- or certificate-seeking students 
     attending 2-year institutions and 
     completing a degree or certificate 
     (cohort year 2012)",,,,,,
,,,,,,
Within 100 percent of normal program completion time,,19.1,12.6,,46.0,42.8
Within 150 percent of normal program completion time,,31.5,23.5,,56.7,61.9
Within 200 percent of normal program completion time,,36.1,29.0,,61.1,63.0
,,,,,,
"Degree- or certificate-seeking students 
     attending less-than-2-year institutions 
     and completing a degree or certificate 
     (cohort year 2012)",,,,,,
,,,,,,
Within 100 percent of normal program completion time,,44.5,63.9,,57.4,40.3
Within 150 percent of normal program completion time,,69.2,73.8,,70.3,68.4
Within 200 percent of normal program completion time,,70.1,74.8,,70.6,69.3
"NOTE: Title IV institutions are those with a written agreement with the U.S. Department of Education that allows the institution to participate in any of the Title IV federal student financial assistance programs. The four U.S. service academies that are not Title IV eligible are included in the Integrated Postsecondary Education Data System (IPEDS) universe because they are federally funded and open to the public. The rates in this table reflect graduation rates at institutions regardless of the length of programs, unless otherwise indicated. The graduation rate was calculated as required for disclosure and reporting purposes under the Student Right-to-Know Act. This rate was calculated as the total number of completers within 100, 150, or 200 percent of normal time (e.g. “normal” program completion time for a bachelor’s degree would be 4 years) divided by the adjusted cohort (revised cohort minus any allowable exclusions). The revised cohort is the number of students entering the institution as full-time, first-time degree- or certificate-seeking undergraduates in the reference year. Allowable exclusions include those students who died or were totally and permanently disabled; students who left school to serve in the armed forces (or have been called up to active duty); those who left to serve with a foreign aid service of the federal government, such as the Peace Corps; and those who left to serve on official church missions. Definitions for terms used in this table may be found in the IPEDS online glossary located at https://surveys.nces.ed.gov/ipeds/VisGlossaryAll.aspx.",,,,,,
"SOURCE: U.S. Department of Education, National Center for Education Statistics, IPEDS, Winter 2016–17, 200 Percent Graduation Rates component (final data).",,,,,,
