National Center for Education Statistics,,,,
"Graduation rates of students at the Title IV institution where the students started as full-time, first-time students, by control of institution, degree sought, and other selected characteristics: United States, cohort years 2003 and 2007",,,,
,,,Private,
"Degree sought, level of institution, 
degree completed, and time to degree","Overall
(%)","Public
(%)","Nonprofit
(%)","For-profit
(%)"
,,,,
"Bachelor’s or equivalent degree-seekers 
     attending 4-year institutions and 
     completing bachelor’s or equivalent 
     degree (cohort year 2003)",,,,
,,,,
Within 100% of normal program completion time,37.1,30.7,52.0,14.6
Within 150% of normal program completion time,57.8,55.7,65.4,23.2
Within 200% of normal program completion time,60.4,58.9,66.8,24.7
,,,,
"Degree- or certificate-seekers 
     attending 2-year institutions 
     and completing a degree or 
     certificate (cohort year 2007)",,,,
,,,,
Within 100% of normal program completion time,21.4,12.9,36.6,44.4
Within 150% of normal program completion time,32.9,22.3,53.8,61.9
Within 200% of normal program completion time,37.3,27.6,56.8,63.4
,,,,
"Certificate-seekers attending 
     less-than-2-year institutions 
     and completing a certificate 
     (cohort year 2007)",,,,
,,,,
Within 100% of normal program completion time,46.3,50.8,53.8,45.3
Within 150% of normal program completion time,66.9,69.9,76.9,66.0
Within 200% of normal program completion time,69.2,75.0,78.6,67.9
"NOTE: Title IV institutions are those with a written agreement with the Secretary of Education that allows the institution to participate in any of the Title IV federal student financial assistance programs. Although they are not Title IV eligible, four of the U.S. service academies are included in the Integrated Postsecondary Education Data System (IPEDS) universe because they are federally funded and open to the public. The rates in this table reflect graduation rates at institutions regardless of the length of programs, unless otherwise indicated. The graduation rate was calculated as required for disclosure and reporting purposes under the Student Right-to-Know Act. This rate was calculated as the total number of completers within specified time to degree divided by the adjusted cohort (revised cohort minus any allowable exclusions). The revised cohort is the number of students entering the institution as full-time, first-time degree- or certificate-seeking undergraduates in the cohort year. Allowable exclusions include those students who died or were totally and permanently disabled; students who left school to serve in the armed forces (or have been called up to active duty); those who left to serve with a foreign aid service of the federal government, such as the Peace Corps; and those who left to serve on official church missions. Definitions for terms used in this table may be found in the IPEDS online glossary located at http://nces.ed.gov/ipeds/glossary. lusions include those students who died or were totally and permanently disabled; students who left school to serve in the armed forces (or have been called up to active duty); those who left to serve with a foreign aid service of the federal government, such as the Peace Corps; and those who left to serve on official church missions. Definitions for terms used in this table may be found in the IPEDS online glossary located at http://nces.ed.gov/ipeds/glossary.     ",,,,
"SOURCE: U.S. Department of Education, National Center for Education Statistics, IPEDS, Spring 2012, Graduation Rates 200 component (final data).",,,,
