National Center for Education Statistics,,,,,,
"Table 10. Graduation rates within 100, 150, and 200 percent of normal program completion time at Title IV institutions among the students who started as full-time, first-time degree/certificate-seeking undergraduate students, by control of institution, degree or certificate sought, and level of institution: United States, cohort years 2009 and 2013",,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Degree or certificate sought and level of institution,,,,,Private ,
,,All institutions,Public,,Nonprofit,For-profit
,,,,,,
"Bachelor’s or equivalent degree-seeking  
     students attending 4-year institutions  
     and completing bachelor’s or equivalent 
     degree (cohort year 2009)",,,,,,
,,,,,,
Within 100 percent of normal program completion time,,39.9,34.8,,53.1,13.4
Within 150 percent of normal program completion time,,59.5,58.6,,65.7,22.4
Within 200 percent of normal program completion time,,61.7,61.3,,66.8,23.5
,,,,,,
"Degree- or certificate-seeking students 
     attending 2-year institutions and 
     completing a degree or certificate 
     (cohort year 2013)",,,,,,
,,,,,,
Within 100 percent of normal program completion time,,19.5,13.6,,51.8,40.7
Within 150 percent of normal program completion time,,32.6,25.3,,62.6,62.1
Within 200 percent of normal program completion time,,37.4,30.9,,64.3,63.2
,,,,,,
"Degree- or certificate-seeking students 
     attending less-than-2-year institutions 
     and completing a degree or certificate 
     (cohort year 2013)",,,,,,
,,,,,,
Within 100 percent of normal program completion time,,46.0,64.0,,56.2,42.3
Within 150 percent of normal program completion time,,69.2,72.7,,68.0,68.7
Within 200 percent of normal program completion time,,70.0,73.7,,68.3,69.6
"NOTE: Title IV institutions are those with a written agreement with the U.S. Department of Education that allows the institution to participate in any of the Title IV federal student financial assistance programs. United States includes the 50 states and the District of Columbia. The four U.S. service academies that are not Title IV eligible are included in the Integrated Postsecondary Education Data System (IPEDS) universe because they are federally funded and open to the public and are included in this table. The rates in this table reflect graduation rates at institutions regardless of the length of programs, unless otherwise indicated. The graduation rate was calculated as required for disclosure and reporting purposes under the Student Right-to-Know Act. This rate was calculated as the total number of completers within 100, 150, or 200 percent of normal time (e.g. “normal” program completion time for a bachelor’s degree would be 4 years) divided by the adjusted cohort (revised cohort minus any allowable exclusions). The revised cohort is the number of students entering the institution as full-time, first-time degree- or certificate-seeking undergraduates in the reference year. Allowable exclusions include those students who died or were totally and permanently disabled; students who left school to serve in the armed forces (or have been called up to active duty); those who left to serve with a foreign aid service of the federal government, such as the Peace Corps; and those who left to serve on official church missions. Definitions for terms used in this table may be found in the IPEDS online glossary located at https://surveys.nces.ed.gov/ipeds/public/glossary. The glossary is primarily focused on terms used in the current IPEDS collection and may not reflect the definitions in effect when the data in this table were collected.",,,,,,
"SOURCE: U.S. Department of Education, National Center for Education Statistics, IPEDS, Winter 2017–18, 200 Percent Graduation Rates component (final data).",,,,,,
