National Center for Education Statistics,,,,,
"Table 10. Graduation rates within 100, 150, and 200 percent of normal program completion time at Title IV institutions among the students who started as full-time, first-time degree/certificate-seeking undergraduate students, by control of institution, degree or certificate sought, and level of institution: United States, cohort years 2012 and 2016",,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Degree or certificate sought and level of institution,,All institutions,Public,Private ,
,,,,Nonprofit,For-profit
,,,,,
Bachelor’s or equivalent degree-seeking    students attending 4-year institutions    and completing bachelor’s or equivalent   degree (cohort year 2012),,,,,
,,,,,
Within 100 percent of normal program completion time,,43.8,38.6,55.7,19.7
Within 150 percent of normal program completion time,,62.4,61,67.5,25.6
Within 200 percent of normal program completion time,,64.3,63.3,68.4,26.6
,,,,,
Degree- or certificate-seeking students   attending 2-year institutions and   completing a degree or certificate   (cohort year 2016),,,,,
,,,,,
Within 100 percent of normal program completion time,,21.8,17.2,33.6,44.2
Within 150 percent of normal program completion time,,35.9,30,59.2,62.1
Within 200 percent of normal program completion time,,40.4,35.4,59.6,63
,,,,,
Degree- or certificate-seeking students   attending less-than-2-year institutions   and completing a degree or certificate   (cohort year 2016),,,,,
,,,,,
Within 100 percent of normal program completion time,,44.5,63.3,51.1,41.3
Within 150 percent of normal program completion time,,69.1,72.8,74,68.3
Within 200 percent of normal program completion time,,69.9,74,74.4,69
"NOTE: Title IV institutions are those with a written agreement with the U.S. Department of Education that allows the institution to participate in any of the Title IV federal student financial assistance programs. United States includes the 50 states and the District of Columbia. The four U.S. service academies that are not Title IV eligible are included in the Integrated Postsecondary Education Data System (IPEDS) universe because they are federally funded and open to the public and are included in this table. The rates in this table reflect graduation rates at institutions regardless of the length of programs, unless otherwise indicated. The graduation rate was calculated as required for disclosure and reporting purposes under the Student Right-to-Know Act. This rate was calculated as the total number of completers within 100, 150, or 200 percent of normal time (e.g. “normal” program completion time for a bachelor’s degree would be 4 years) divided by the adjusted cohort (revised cohort minus any allowable exclusions). The revised cohort is the number of students entering the institution as full-time, first-time degree- or certificate-seeking undergraduates in the reference year. Allowable exclusions include those students who died or were totally and permanently disabled; students who left school to serve in the armed forces (or have been called up to active duty); those who left to serve with a foreign aid service of the federal government, such as the Peace Corps; and those who left to serve on official church missions. Definitions for terms used in this table may be found in the collection year’s archived downloadable glossary located at https://nces.ed.gov/ipeds/use-the-data/annual-survey-forms-packages-archived?year=2020.",,,,,
"SOURCE: U.S. Department of Education, National Center for Education Statistics, IPEDS, Winter 2020–21, 200 Percent Graduation Rates component (final data).",,,,,
