National Center for Education Statistics,,,,
"Graduation rates of students at the Title IV institution where the students started as full-time, first-time students, by control of institution, degree sought, and other selected characteristics: United States, cohort years 2004 and 2008",,,,
,,,Private,
"Degree sought, level of institution,  degree completed, and specified time to graduation",Overall (%),Public (%),Nonprofit (%),For-profit (%)
,,,,
Bachelor’s or equivalent degree-seekers       attending 4-year institutions and       completing bachelor’s or equivalent       degree (cohort year 2004),,,,
,,,,
Within 100% of normal program completion time,38.1,31.4,52.7,20.3
Within 150% of normal program completion time,58.4,56.1,65.5,28.2
Within 200% of normal program completion time,60.9,59.2,66.9,29.6
,,,,
Degree- or certificate-seekers       attending 2-year institutions       and completing a degree or       certificate (cohort year 2008),,,,
,,,,
Within 100% of normal program completion time,21.2,12.2,37.1,43.1
Within 150% of normal program completion time,33.9,22.0,57.4,62.9
Within 200% of normal program completion time,38.3,27.4,59.6,64.6
,,,,
Degree- or certificate-seekers       attending less-than-2-year institutions       and completing a degree or       certificate (cohort year 2008),,,,
,,,,
Within 100% of normal program completion time,45.7,59.0,53.5,43.5
Within 150% of normal program completion time,67.0,69.6,76.6,66.2
Within 200% of normal program completion time,69.0,74.7,78.0,67.8
"NOTE: Title IV institutions are those with a written agreement with the Secretary of Education that allows the institution to participate in any of the Title IV federal student financial assistance programs. Although they are not Title IV eligible, four of the U.S. service academies are included in the Integrated Postsecondary Education Data System (IPEDS) universe because they are federally funded and open to the public. The rates in this table reflect graduation rates at institutions regardless of the length of programs, unless otherwise indicated. The graduation rate was calculated as required for disclosure and reporting purposes under the Student Right-to-Know Act. This rate was calculated as the total number of completers within specified time to degree divided by the adjusted cohort (revised cohort minus any allowable exclusions). The revised cohort is the number of students entering the institution as full-time, first-time degree- or certificate-seeking undergraduates in the cohort year. Allowable exclusions include those students who died or were totally and permanently disabled; students who left school to serve in the armed forces (or have been called up to active duty); those who left to serve with a foreign aid service of the federal government, such as the Peace Corps; and those who left to serve on official church missions. Definitions for terms used in this table may be found in the IPEDS online glossary located at http://nces.ed.gov/ipeds/glossary. lusions include those students who died or were totally and permanently disabled; students who left school to serve in the armed forces (or have been called up to active duty); those who left to serve with a foreign aid service of the federal government, such as the Peace Corps; and those who left to serve on official church missions. Definitions for terms used in this table may be found in the IPEDS online glossary located at http://nces.ed.gov/ipeds/glossary.     ",,,,
"SOURCE: U.S. Department of Education, National Center for Education Statistics, IPEDS, Winter 2012-13, 200 Percent Graduation Rates component (final data).",,,,
