National Center for Education Statistics,,,,,,
"Graduation rates within 100, 150, and 200 percent of normal program completion time at Title IV institutions among students who started as full-time, first-time degree/certificate-seeking undergraduate students, by control of institution, degree or certificate sought, and level of institution: United States, cohort years 2007 and 2011",,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Degree or certificate sought and level of institution,,,,,Private ,
,,All institutions,Public,,Nonprofit,For-profit
,,,,,,
"Bachelor’s or equivalent degree-seeking  
     students attending 4-year institutions  
     and completing bachelor’s or equivalent 
     degree (cohort year 2007)",,,,,,
,,,,,,
Within 100 percent of normal program completion time,,39.4,33.5,,52.9,18.6
Within 150 percent of normal program completion time,,59.4,57.7,,65.3,28.6
Within 200 percent of normal program completion time,,61.8,60.6,,66.6,30.2
,,,,,,
"Degree- or certificate-seeking students 
     attending 2-year institutions and 
     completing a degree or certificate 
     (cohort year 2011)",,,,,,
,,,,,,
Within 100 percent of normal program completion time,,17.8,11.6,,42.7,38.9
Within 150 percent of normal program completion time,,30.0,21.7,,55.2,60.0
Within 200 percent of normal program completion time,,34.7,27.3,,56.6,61.5
,,,,,,
"Degree- or certificate-seeking students 
     attending less-than-2-year institutions 
     and completing a degree or certificate 
     (cohort year 2011)",,,,,,
,,,,,,
Within 100 percent of normal program completion time,,42.3,62.3,,50.6,38.5
Within 150 percent of normal program completion time,,67.5,73.2,,67.5,66.7
Within 200 percent of normal program completion time,,69.3,75.7,,68.0,68.5
NOTE: Title IV institutions are those with a written agreement with the U.S. Department of Education that allows the institution to participate in any of the Title IV federal student financial assistance programs. The four U.S. service academies that,,,,,,
"SOURCE: U.S. Department of Education, National Center for Education Statistics, IPEDS, Winter 2015–16, 200 Percent Graduation Rates component (final data).",,,,,,
