National Center for Education Statistics,,,,,,
"Graduation rates within 100, 150 and 200 percent of normal program completion time at Title IV institutions among students who started as full-time, first-time degree/certificate-seeking undergraduate students, by control of institution, degree or certificate sought, level of institution, and specified time to graduation: United States, cohort years 2005 and 2009",,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"Degree or certificate sought, level of institution, 
and specified time to graduation",,Percent graduating,,,,
,,,,,Private ,
,,All institutions,Public,,Nonprofit,For-profit
,,,,,,
"Bachelor’s or equivalent degree-seeking 
     students attending 4-year institutions 
     and completing bachelor’s or equivalent 
     degree (cohort year 2005)",,,,,,
,,,,,,
Within 100 percent of normal program completion time,,38.3,32.1,,52.2,19.9
Within 150 percent of normal program completion time,,58.7,56.6,,65.2,29.1
Within 200 percent of normal program completion time,,61.1,59.7,,66.5,30.9
,,,,,,
"Degree- or certificate-seeking students
     attending 2-year institutions and 
     completing a degree or certificate 
    (cohort year 2009)",,,,,,
,,,,,,
Within 100 percent of normal program completion time,,20.1,11.7,,51,41.6
Within 150 percent of normal program completion time,,32.7,21.1,,62.2,63.2
Within 200 percent of normal program completion time,,37,26.5,,64.8,64.5
,,,,,,
"Degree- or certificate-seeking students
     attending less-than-2-year institutions 
     and completing a degree or 
     certificate (cohort year 2009)",,,,,,
,,,,,,
Within 100 percent of normal program completion time,,42.8,61.8,,49.9,40.2
Within 150 percent of normal program completion time,,66.8,75.2,,74.2,65.5
Within 200 percent of normal program completion time,,68.6,78.5,,75.1,67.1
"NOTE: Title IV institutions are those with a written agreement with the U.S. Department of Education that allows the institution to participate in any of the Title IV federal student financial assistance programs. The four U.S. service academies that are not Title IV eligible are included in the Integrated Postsecondary Education Data System (IPEDS) universe because they are federally funded and open to the public. The rates in this table reflect graduation rates at institutions regardless of the length of programs, unless otherwise indicated. The graduation rate was calculated as required for disclosure and reporting purposes under the Student Right-to-Know Act. This rate was calculated as the total number of completers within 100, 150, or 200 percent of normal time (e.g. “normal” program completion time for a bachelor’s degree would be 4 years) divided by the adjusted cohort (revised cohort minus any allowable exclusions). The revised cohort is the number of students entering the institution as full-time, first-time degree- or certificate-seeking undergraduates in the reference year. Allowable exclusions include those students who died or were totally and permanently disabled; students who left school to serve in the armed forces (or have been called up to active duty); those who left to serve with a foreign aid service of the federal government, such as the Peace Corps; and those who left to serve on official church missions. Definitions for terms used in this table may be found in the IPEDS online glossary located at https://surveys.nces.ed.gov/ipeds/VisGlossaryAll.aspx.",,,,,,
"SOURCE: U.S. Department of Education, National Center for Education Statistics, IPEDS, Winter 2013–14, 200 Percent Graduation Rates component (final data).",,,,,,
