id,type,name
ICD10/M00.012,ICD10Code,"Staphylococcal arthritis, left shoulder"
ICD10/S92.03,ICD10Code,Avulsion fracture of tuberosity of calcaneus
ICD10/C4A.4,ICD10Code,Merkel cell carcinoma of scalp and neck
ICD10/L00,ICD10Code,Staphylococcal scalded skin syndrome
ICD10/M92.229,ICD10Code,"Osteochondrosis (juvenile) of metacarpal heads [Mauclaire], unspecified hand"
ICD10/Y92.538,ICD10Code,Other ambulatory health services establishments as the place of occurrence of the external cause
ICD10/N89.4,ICD10Code,Leukoplakia of vagina
ICD10/N26.9,ICD10Code,"Renal sclerosis, unspecified"
ICD10/M05.449,ICD10Code,Rheumatoid myopathy with rheumatoid arthritis of unspecified hand
ICD10/X73.1,ICD10Code,Intentional self-harm by hunting rifle discharge
ICD10/H44.742,ICD10Code,"Retained (nonmagnetic) (old) foreign body in posterior wall of globe, left eye"
ICD10/C03,ICD10Code,Malignant neoplasm of gum
ICD10/S75.119,ICD10Code,"Minor laceration of femoral vein at hip and thigh level, unspecified leg"
ICD10/L97.82,ICD10Code,Non-pressure chronic ulcer of other part of left lower leg
ICD10/S93.321,ICD10Code,Subluxation of tarsometatarsal joint of right foot
ICD10/W56.81,ICD10Code,Bitten by other nonvenomous marine animals
ICD10/S37.431,ICD10Code,"Laceration of ovary, unilateral"
ICD10/H44.029,ICD10Code,"Vitreous abscess (chronic), unspecified eye"
ICD10/H02.811,ICD10Code,Retained foreign body in right upper eyelid
ICD10/M21.372,ICD10Code,"Foot drop, left foot"
ICD10/R94.111,ICD10Code,Abnormal electroretinogram [ERG]
ICD10/M18.11,ICD10Code,"Unilateral primary osteoarthritis of first carpometacarpal joint, right hand"
ICD10/H52.512,ICD10Code,"Internal ophthalmoplegia (complete) (total), left eye"
ICD10/G70.0,ICD10Code,Myasthenia gravis
ICD10/S06.345,ICD10Code,Traumatic hemorrhage of right cerebrum with loss of consciousness greater than 24 hours with return to pre-existing conscious level
ICD10/Q00.1,ICD10Code,Craniorachischisis
