National Center for Education Statistics,,,,,,,,,,,,,,,,
"Table 20. Number of full-time, first-time degree/certificate-seeking undergraduate students in the adjusted cohort, number of completers, and graduation rate within 150 percent of normal program completion time at Title IV institutions, by control of institution, level of institution, and type of aid received: United States, cohort years 2014 and 2017",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Level of institution and type of aid received,,All institutions,,,,Public,,,,Private,,,,,,
,,,,,,,,,,Nonprofit,,,,For-profit,,
,,Adjusted cohort,Completers,Graduation rate,,Adjusted cohort,Completers,Graduation rate,,Adjusted cohort,Completers,Graduation rate,,Adjusted cohort,Completers,Graduation rate
,,,,,,,,,,,,,,,,
All institutions,,,,,,,,,,,,,,,,
All students,,"2,562,449","1,384,381",54,,"1,752,782","867,030",49.5,,"525,188","350,085",66.7,,"284,479","167,266",58.8
Received Pell Grant,,"1,125,751","503,352",44.7,,"750,384","295,704",39.4,,"177,419","94,339",53.2,,"197,948","113,309",57.2
"Received Direct Subsidized Loan, but not a   Pell Grant",,"357,649","224,955",62.9,,"206,042","119,876",58.2,,"122,815","85,299",69.5,,"28,792","19,780",68.7
Received neither a Pell Grant or a Direct   Subsidized Loan,,"1,079,049","656,074",60.8,,"796,356","451,450",56.7,,"224,954","170,447",75.8,,"57,739","34,177",59.2
,,,,,,,,,,,,,,,,
4-year institutions (cohort year 2014),,,,,,,,,,,,,,,,
All students,,"1,731,614","1,040,184",60.1,,"1,156,434","676,802",58.5,,"505,347","338,182",66.9,,"69,833","25,200",36.1
Received Pell Grant,,"645,716","306,971",47.5,,"435,751","205,016",47,,"163,197","86,276",52.9,,"46,768","15,679",33.5
"Received Direct Subsidized Loan, but not a   Pell Grant",,"306,348","198,526",64.8,,"177,703","110,521",62.2,,"121,541","84,371",69.4,,"7,104","3,634",51.2
Received neither a Pell Grant or a Direct   Subsidized Loan,,"779,550","534,687",68.6,,"542,980","361,265",66.5,,"220,609","167,535",75.9,,"15,961","5,887",36.9
,,,,,,,,,,,,,,,,
4-year bachelor's cohort (cohort year 2014),,,,,,,,,,,,,,,,
All students,,"1,490,794","959,882",64.4,,"986,974","626,142",63.4,,"475,090","325,078",68.4,,"28,730","8,662",30.1
Received Pell Grant,,"505,906","264,849",52.4,,"343,686","181,230",52.7,,"144,147","79,068",54.9,,"18,073","4,551",25.2
"Received Direct Subsidized Loan, but not a   Pell Grant",,"288,131","190,478",66.1,,"167,659","107,108",63.9,,"116,948","81,807",70,,"3,524","1,563",44.4
Received neither a Pell Grant or a Direct   Subsidized Loan,,"696,757","504,555",72.4,,"475,629","337,804",71,,"213,995","164,203",76.7,,"7,133","2,548",35.7
,,,,,,,,,,,,,,,,
4-year other than bachelor's cohort (cohort    year 2014),,,,,,,,,,,,,,,,
All students,,"240,820","80,302",33.3,,"169,460","50,660",29.9,,"30,257","13,104",43.3,,"41,103","16,538",40.2
Received Pell Grant,,"139,810","42,122",30.1,,"92,065","23,786",25.8,,"19,050","7,208",37.8,,"28,695","11,128",38.8
"Received Direct Subsidized Loan, but not a   Pell Grant",,"18,217","8,048",44.2,,"10,044","3,413",34,,"4,593","2,564",55.8,,"3,580","2,071",57.8
Received neither a Pell Grant or a Direct   Subsidized Loan,,"82,793","30,132",36.4,,"67,351","23,461",34.8,,"6,614","3,332",50.4,,"8,828","3,339",37.8
,,,,,,,,,,,,,,,,
2-year institutions (cohort year 2017),,,,,,,,,,,,,,,,
