observationAbout,observationDate,value,variableMeasured,unit,scalingFactor,#input
dcid:wikidataId/Q1112885,2013,5.6,dcid:Amount_EconomicActivity_GrossValueAdded_AsAFractionOf__measurementQualifier_National,Percent,100,/usr/local/google/home/sumakaranam/data/statvar_imports/country/kenya/economy/input/kenya_economy_data.csv:2:3
dcid:wikidataId/Q1112885,2014,5.4,dcid:Amount_EconomicActivity_GrossValueAdded_AsAFractionOf__measurementQualifier_National,Percent,100,/usr/local/google/home/sumakaranam/data/statvar_imports/country/kenya/economy/input/kenya_economy_data.csv:2:4
dcid:wikidataId/Q1112885,2015,5.2,dcid:Amount_EconomicActivity_GrossValueAdded_AsAFractionOf__measurementQualifier_National,Percent,100,/usr/local/google/home/sumakaranam/data/statvar_imports/country/kenya/economy/input/kenya_economy_data.csv:2:5
dcid:wikidataId/Q1112885,2016,5.2,dcid:Amount_EconomicActivity_GrossValueAdded_AsAFractionOf__measurementQualifier_National,Percent,100,/usr/local/google/home/sumakaranam/data/statvar_imports/country/kenya/economy/input/kenya_economy_data.csv:2:6
dcid:wikidataId/Q1112885,2017,5.2,dcid:Amount_EconomicActivity_GrossValueAdded_AsAFractionOf__measurementQualifier_National,Percent,100,/usr/local/google/home/sumakaranam/data/statvar_imports/country/kenya/economy/input/kenya_economy_data.csv:2:7
dcid:wikidataId/Q1112885,2018,5.1,dcid:Amount_EconomicActivity_GrossValueAdded_AsAFractionOf__measurementQualifier_National,Percent,100,/usr/local/google/home/sumakaranam/data/statvar_imports/country/kenya/economy/input/kenya_economy_data.csv:2:8
dcid:wikidataId/Q1112885,2019,5,dcid:Amount_EconomicActivity_GrossValueAdded_AsAFractionOf__measurementQualifier_National,Percent,100,/usr/local/google/home/sumakaranam/data/statvar_imports/country/kenya/economy/input/kenya_economy_data.csv:2:9
dcid:wikidataId/Q1112885,2020,4.7,dcid:Amount_EconomicActivity_GrossValueAdded_AsAFractionOf__measurementQualifier_National,Percent,100,/usr/local/google/home/sumakaranam/data/statvar_imports/country/kenya/economy/input/kenya_economy_data.csv:2:10
dcid:wikidataId/Q952571,2013,1.1,dcid:Amount_EconomicActivity_GrossValueAdded_AsAFractionOf__measurementQualifier_National,Percent,100,/usr/local/google/home/sumakaranam/data/statvar_imports/country/kenya/economy/input/kenya_economy_data.csv:3:3
dcid:wikidataId/Q952571,2014,1.2,dcid:Amount_EconomicActivity_GrossValueAdded_AsAFractionOf__measurementQualifier_National,Percent,100,/usr/local/google/home/sumakaranam/data/statvar_imports/country/kenya/economy/input/kenya_economy_data.csv:3:4
