observationAbout,observationDate,value,variableMeasured,#input
country/MNG,2009,24373,dcid:Count_Person_15To19Years_Employed_Male,/usr/local/google/home/sudhisha/Git_works/mongolia_import/data/statvar_imports/mongolia_imports/mongolia_employment/input_files/employment_by_classification_of_economic_activites_region_gender_and_agegroup.csv:2:29
country/MNG,2010,20773,dcid:Count_Person_15To19Years_Employed_Male,/usr/local/google/home/sudhisha/Git_works/mongolia_import/data/statvar_imports/mongolia_imports/mongolia_employment/input_files/employment_by_classification_of_economic_activites_region_gender_and_agegroup.csv:2:30
country/MNG,2011,22420,dcid:Count_Person_15To19Years_Employed_Male,/usr/local/google/home/sudhisha/Git_works/mongolia_import/data/statvar_imports/mongolia_imports/mongolia_employment/input_files/employment_by_classification_of_economic_activites_region_gender_and_agegroup.csv:2:31
country/MNG,2012,32250,dcid:Count_Person_15To19Years_Employed_Male,/usr/local/google/home/sudhisha/Git_works/mongolia_import/data/statvar_imports/mongolia_imports/mongolia_employment/input_files/employment_by_classification_of_economic_activites_region_gender_and_agegroup.csv:2:32
country/MNG,2013,16692,dcid:Count_Person_15To19Years_Employed_Male,/usr/local/google/home/sudhisha/Git_works/mongolia_import/data/statvar_imports/mongolia_imports/mongolia_employment/input_files/employment_by_classification_of_economic_activites_region_gender_and_agegroup.csv:2:33
country/MNG,2014,13747,dcid:Count_Person_15To19Years_Employed_Male,/usr/local/google/home/sudhisha/Git_works/mongolia_import/data/statvar_imports/mongolia_imports/mongolia_employment/input_files/employment_by_classification_of_economic_activites_region_gender_and_agegroup.csv:2:34
country/MNG,2015,13178,dcid:Count_Person_15To19Years_Employed_Male,/usr/local/google/home/sudhisha/Git_works/mongolia_import/data/statvar_imports/mongolia_imports/mongolia_employment/input_files/employment_by_classification_of_economic_activites_region_gender_and_agegroup.csv:2:35
country/MNG,2016,10840,dcid:Count_Person_15To19Years_Employed_Male,/usr/local/google/home/sudhisha/Git_works/mongolia_import/data/statvar_imports/mongolia_imports/mongolia_employment/input_files/employment_by_classification_of_economic_activites_region_gender_and_agegroup.csv:2:36
country/MNG,2017,12464,dcid:Count_Person_15To19Years_Employed_Male,/usr/local/google/home/sudhisha/Git_works/mongolia_import/data/statvar_imports/mongolia_imports/mongolia_employment/input_files/employment_by_classification_of_economic_activites_region_gender_and_agegroup.csv:2:37
country/MNG,2018,14349,dcid:Count_Person_15To19Years_Employed_Male,/usr/local/google/home/sudhisha/Git_works/mongolia_import/data/statvar_imports/mongolia_imports/mongolia_employment/input_files/employment_by_classification_of_economic_activites_region_gender_and_agegroup.csv:2:38
country/MNG,2019,13934,dcid:Count_Person_15To19Years_Employed_Male,/usr/local/google/home/sudhisha/Git_works/mongolia_import/data/statvar_imports/mongolia_imports/mongolia_employment/input_files/employment_by_classification_of_economic_activites_region_gender_and_agegroup.csv:2:39
country/MNG,2020,16198,dcid:Count_Person_15To19Years_Employed_Male,/usr/local/google/home/sudhisha/Git_works/mongolia_import/data/statvar_imports/mongolia_imports/mongolia_employment/input_files/employment_by_classification_of_economic_activites_region_gender_and_agegroup.csv:2:40
country/MNG,2021,13779,dcid:Count_Person_15To19Years_Employed_Male,/usr/local/google/home/sudhisha/Git_works/mongolia_import/data/statvar_imports/mongolia_imports/mongolia_employment/input_files/employment_by_classification_of_economic_activites_region_gender_and_agegroup.csv:2:41
country/MNG,2022,13047,dcid:Count_Person_15To19Years_Employed_Male,/usr/local/google/home/sudhisha/Git_works/mongolia_import/data/statvar_imports/mongolia_imports/mongolia_employment/input_files/employment_by_classification_of_economic_activites_region_gender_and_agegroup.csv:2:42
country/MNG,2023,14278,dcid:Count_Person_15To19Years_Employed_Male,/usr/local/google/home/sudhisha/Git_works/mongolia_import/data/statvar_imports/mongolia_imports/mongolia_employment/input_files/employment_by_classification_of_economic_activites_region_gender_and_agegroup.csv:2:43
country/MNG,2024,11774,dcid:Count_Person_15To19Years_Employed_Male,/usr/local/google/home/sudhisha/Git_works/mongolia_import/data/statvar_imports/mongolia_imports/mongolia_employment/input_files/employment_by_classification_of_economic_activites_region_gender_and_agegroup.csv:2:44
country/MNG,2009,61897,dcid:Count_Person_20To24Years_Employed_Male,/usr/local/google/home/sudhisha/Git_works/mongolia_import/data/statvar_imports/mongolia_imports/mongolia_employment/input_files/employment_by_classification_of_economic_activites_region_gender_and_agegroup.csv:3:29
country/MNG,2010,59063,dcid:Count_Person_20To24Years_Employed_Male,/usr/local/google/home/sudhisha/Git_works/mongolia_import/data/statvar_imports/mongolia_imports/mongolia_employment/input_files/employment_by_classification_of_economic_activites_region_gender_and_agegroup.csv:3:30
country/MNG,2011,56901,dcid:Count_Person_20To24Years_Employed_Male,/usr/local/google/home/sudhisha/Git_works/mongolia_import/data/statvar_imports/mongolia_imports/mongolia_employment/input_files/employment_by_classification_of_economic_activites_region_gender_and_agegroup.csv:3:31
country/MNG,2012,58634,dcid:Count_Person_20To24Years_Employed_Male,/usr/local/google/home/sudhisha/Git_works/mongolia_import/data/statvar_imports/mongolia_imports/mongolia_employment/input_files/employment_by_classification_of_economic_activites_region_gender_and_agegroup.csv:3:32
country/MNG,2013,58428,dcid:Count_Person_20To24Years_Employed_Male,/usr/local/google/home/sudhisha/Git_works/mongolia_import/data/statvar_imports/mongolia_imports/mongolia_employment/input_files/employment_by_classification_of_economic_activites_region_gender_and_agegroup.csv:3:33
country/MNG,2014,54799,dcid:Count_Person_20To24Years_Employed_Male,/usr/local/google/home/sudhisha/Git_works/mongolia_import/data/statvar_imports/mongolia_imports/mongolia_employment/input_files/employment_by_classification_of_economic_activites_region_gender_and_agegroup.csv:3:34
country/MNG,2015,52490,dcid:Count_Person_20To24Years_Employed_Male,/usr/local/google/home/sudhisha/Git_works/mongolia_import/data/statvar_imports/mongolia_imports/mongolia_employment/input_files/employment_by_classification_of_economic_activites_region_gender_and_agegroup.csv:3:35
country/MNG,2016,47639,dcid:Count_Person_20To24Years_Employed_Male,/usr/local/google/home/sudhisha/Git_works/mongolia_import/data/statvar_imports/mongolia_imports/mongolia_employment/input_files/employment_by_classification_of_economic_activites_region_gender_and_agegroup.csv:3:36
country/MNG,2017,48189,dcid:Count_Person_20To24Years_Employed_Male,/usr/local/google/home/sudhisha/Git_works/mongolia_import/data/statvar_imports/mongolia_imports/mongolia_employment/input_files/employment_by_classification_of_economic_activites_region_gender_and_agegroup.csv:3:37
country/MNG,2018,51165,dcid:Count_Person_20To24Years_Employed_Male,/usr/local/google/home/sudhisha/Git_works/mongolia_import/data/statvar_imports/mongolia_imports/mongolia_employment/input_files/employment_by_classification_of_economic_activites_region_gender_and_agegroup.csv:3:38
country/MNG,2019,60735,dcid:Count_Person_20To24Years_Employed_Male,/usr/local/google/home/sudhisha/Git_works/mongolia_import/data/statvar_imports/mongolia_imports/mongolia_employment/input_files/employment_by_classification_of_economic_activites_region_gender_and_agegroup.csv:3:39
country/MNG,2020,59880,dcid:Count_Person_20To24Years_Employed_Male,/usr/local/google/home/sudhisha/Git_works/mongolia_import/data/statvar_imports/mongolia_imports/mongolia_employment/input_files/employment_by_classification_of_economic_activites_region_gender_and_agegroup.csv:3:40
country/MNG,2021,52908,dcid:Count_Person_20To24Years_Employed_Male,/usr/local/google/home/sudhisha/Git_works/mongolia_import/data/statvar_imports/mongolia_imports/mongolia_employment/input_files/employment_by_classification_of_economic_activites_region_gender_and_agegroup.csv:3:41
country/MNG,2022,61373,dcid:Count_Person_20To24Years_Employed_Male,/usr/local/google/home/sudhisha/Git_works/mongolia_import/data/statvar_imports/mongolia_imports/mongolia_employment/input_files/employment_by_classification_of_economic_activites_region_gender_and_agegroup.csv:3:42
country/MNG,2023,62524,dcid:Count_Person_20To24Years_Employed_Male,/usr/local/google/home/sudhisha/Git_works/mongolia_import/data/statvar_imports/mongolia_imports/mongolia_employment/input_files/employment_by_classification_of_economic_activites_region_gender_and_agegroup.csv:3:43
country/MNG,2024,61984,dcid:Count_Person_20To24Years_Employed_Male,/usr/local/google/home/sudhisha/Git_works/mongolia_import/data/statvar_imports/mongolia_imports/mongolia_employment/input_files/employment_by_classification_of_economic_activites_region_gender_and_agegroup.csv:3:44
country/MNG,2009,72477,dcid:Count_Person_25To29Years_Employed_Male,/usr/local/google/home/sudhisha/Git_works/mongolia_import/data/statvar_imports/mongolia_imports/mongolia_employment/input_files/employment_by_classification_of_economic_activites_region_gender_and_agegroup.csv:4:29
country/MNG,2010,76380,dcid:Count_Person_25To29Years_Employed_Male,/usr/local/google/home/sudhisha/Git_works/mongolia_import/data/statvar_imports/mongolia_imports/mongolia_employment/input_files/employment_by_classification_of_economic_activites_region_gender_and_agegroup.csv:4:30
country/MNG,2011,76396,dcid:Count_Person_25To29Years_Employed_Male,/usr/local/google/home/sudhisha/Git_works/mongolia_import/data/statvar_imports/mongolia_imports/mongolia_employment/input_files/employment_by_classification_of_economic_activites_region_gender_and_agegroup.csv:4:31
country/MNG,2012,83203,dcid:Count_Person_25To29Years_Employed_Male,/usr/local/google/home/sudhisha/Git_works/mongolia_import/data/statvar_imports/mongolia_imports/mongolia_employment/input_files/employment_by_classification_of_economic_activites_region_gender_and_agegroup.csv:4:32
country/MNG,2013,86590,dcid:Count_Person_25To29Years_Employed_Male,/usr/local/google/home/sudhisha/Git_works/mongolia_import/data/statvar_imports/mongolia_imports/mongolia_employment/input_files/employment_by_classification_of_economic_activites_region_gender_and_agegroup.csv:4:33
country/MNG,2014,88091,dcid:Count_Person_25To29Years_Employed_Male,/usr/local/google/home/sudhisha/Git_works/mongolia_import/data/statvar_imports/mongolia_imports/mongolia_employment/input_files/employment_by_classification_of_economic_activites_region_gender_and_agegroup.csv:4:34
