Aimag,Код,Statistical indicator,Age group,Gender,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
        Bayan-Ulgii,183,labour underutilization,30-34, Female,,,,,,,,,,,2536,960,727,921,411,512.454178
        Bayan-Ulgii,183,labour underutilization,35-39,Total,,,,,,,,,,,1693,2481,1453,990,838,1713.854096
        Bayan-Ulgii,183,labour underutilization,35-39, Male,,,,,,,,,,,916,1327,733,846,454,802.80622
        Bayan-Ulgii,183,labour underutilization,35-39, Female,,,,,,,,,,,778,1153,720,144,384,911.047876
        Bayan-Ulgii,183,labour underutilization,40-44,Total,,,,,,,,,,,2013,1685,1382,769,1122,984.133207
        Bayan-Ulgii,183,labour underutilization,40-44, Male,,,,,,,,,,,1159,647,566,264,288,209.696869
        Bayan-Ulgii,183,labour underutilization,40-44, Female,,,,,,,,,,,854,1038,816,505,834,774.436338
        Bayan-Ulgii,183,labour underutilization,45-49,Total,,,,,,,,,,,1452,950,1155,579,411,373.253551
        Bayan-Ulgii,183,labour underutilization,45-49, Male,,,,,,,,,,,765,358,327,295,322,149.798241
        Bayan-Ulgii,183,labour underutilization,45-49, Female,,,,,,,,,,,687,592,829,284,89,223.455311
        Bayan-Ulgii,183,labour underutilization,50-54,Total,,,,,,,,,,,1356,803,852,665,273,504.327549
        Bayan-Ulgii,183,labour underutilization,50-54, Male,,,,,,,,,,,599,476,483,352,164,402.886024
        Bayan-Ulgii,183,labour underutilization,50-54, Female,,,,,,,,,,,757,327,369,313,110,101.441525
        Bayan-Ulgii,183,labour underutilization,55-59,Total,,,,,,,,,,,1271,143,298,518,326,156.330753
        Bayan-Ulgii,183,labour underutilization,55-59, Male,,,,,,,,,,,804,55,165,419,117,53.259369
        Bayan-Ulgii,183,labour underutilization,55-59, Female,,,,,,,,,,,467,88,134,99,209,103.071385
