Year,Place,StatVar,Quantity,Unit,ScalingFactor
2012,geoId/0630994,dcid:Median_Income_Household_ForeignBorn_PlaceOfBirthEurope,"250,000+",InflationAdjustedUSD_CurrentYear,
2012,geoId/0633308,dcid:Median_Income_Household_ForeignBorn_PlaceOfBirthEurope,"250,000+",InflationAdjustedUSD_CurrentYear,
2012,geoId/0658240,dcid:Median_Income_Household_ForeignBorn_PlaceOfBirthEurope,"250,000+",InflationAdjustedUSD_CurrentYear,
2012,geoId/0666140,dcid:Median_Income_Household_ForeignBorn_PlaceOfBirthEurope,"250,000+",InflationAdjustedUSD_CurrentYear,
2012,geoId/1239950,dcid:Median_Income_Household_ForeignBorn_PlaceOfBirthEurope,"2,500-",InflationAdjustedUSD_CurrentYear,
2012,geoId/1269812,dcid:Median_Income_Household_ForeignBorn_PlaceOfBirthEurope,"250,000+",InflationAdjustedUSD_CurrentYear,
2012,geoId/0646492,dcid:Median_NumberOfRooms_HousingUnit_ForeignBorn_OccupiedHousingUnit_PlaceOfBirthEurope,9.0+,Rooms,
2012,geoId/0656700,dcid:Median_NumberOfRooms_HousingUnit_ForeignBorn_OccupiedHousingUnit_PlaceOfBirthEurope,9.0+,Rooms,
2012,geoId/0658240,dcid:Median_NumberOfRooms_HousingUnit_ForeignBorn_OccupiedHousingUnit_PlaceOfBirthEurope,9.0+,Rooms,
2012,geoId/0670042,dcid:Median_NumberOfRooms_HousingUnit_ForeignBorn_OccupiedHousingUnit_PlaceOfBirthEurope,9.0+,Rooms,
2012,geoId/1269812,dcid:Median_NumberOfRooms_HousingUnit_ForeignBorn_OccupiedHousingUnit_PlaceOfBirthEurope,9.0+,Rooms,
2012,geoId/1810342,dcid:Median_NumberOfRooms_HousingUnit_ForeignBorn_OccupiedHousingUnit_PlaceOfBirthEurope,9.0+,Rooms,
2012,geoId/2463300,dcid:Median_NumberOfRooms_HousingUnit_ForeignBorn_OccupiedHousingUnit_PlaceOfBirthEurope,9.0+,Rooms,
2012,geoId/3459190,dcid:Median_NumberOfRooms_HousingUnit_ForeignBorn_OccupiedHousingUnit_PlaceOfBirthEurope,9.0+,Rooms,
2012,geoId/0622020,dcid:Median_Earnings_Person_Male_ForeignBorn_PlaceOfBirthNorthernWesternEurope,"250,000+",InflationAdjustedUSD_CurrentYear,
2012,geoId/0624498,dcid:Median_Earnings_Person_Male_ForeignBorn_PlaceOfBirthNorthernWesternEurope,"250,000+",InflationAdjustedUSD_CurrentYear,
2012,geoId/0686972,dcid:Median_Earnings_Person_Male_ForeignBorn_PlaceOfBirthNorthernWesternEurope,"250,000+",InflationAdjustedUSD_CurrentYear,
2012,geoId/0816495,dcid:Median_Earnings_Person_Male_ForeignBorn_PlaceOfBirthNorthernWesternEurope,"2,500-",InflationAdjustedUSD_CurrentYear,
2012,geoId/2484375,dcid:Median_Earnings_Person_Male_ForeignBorn_PlaceOfBirthNorthernWesternEurope,"250,000+",InflationAdjustedUSD_CurrentYear,
2012,geoId/0613210,dcid:Median_Income_Household_ForeignBorn_PlaceOfBirthNorthernWesternEurope,"2,500-",InflationAdjustedUSD_CurrentYear,
2012,geoId/0636546,dcid:Median_Income_Household_ForeignBorn_PlaceOfBirthNorthernWesternEurope,"2,500-",InflationAdjustedUSD_CurrentYear,
