mapped_rows,3,,,,,,,
mapped_columns,2,,,,,,,
Region,observationAbout,{Data},measuredProperty,count,populationType,Person,statType,measuredValue
Census Population,statType,measuredValue,,,,,,
"Census Population , Growth Rate (1991-2002)",statType,growthRate,measuredProperty,count,,,,
"Mid Year Population, Total",#ignore,not mapped,,,,,,
"Mid Year Population, Rural",placeOfResidenceClassification,Rural,,,,,,
"Mid Year Population, Urban",placeOfResidenceClassification,Urban,,,,,,
"Projected mid year Population (’000) for 5 year age groups(0-4), Total",age,[0 4 Years],#Multiply,1000,,,,
"Projected mid year Population (’000) for 5 year age groups(5-9), Total",age,[5 9 Years],#Multiply,1000,,,,
"Projected mid year Population (’000) for 5 year age groups(10-14), Total",age,[10 14 Years],#Multiply,1000,,,,
"Projected mid year Population (’000) for 5 year age groups(15-19), Total",age,[15 19 Years],#Multiply,1000,,,,
"Projected mid year Population (’000) for 5 year age groups(20-24), Total",age,[20 24 Years],#Multiply,1000,,,,
"Projected mid year Population (’000) for 5 year age groups(25-29), Total",age,[25 29 Years],#Multiply,1000,,,,
"Projected mid year Population (’000) for 5 year age groups(30-34), Total",age,[30 34 Years],#Multiply,1000,,,,
"Projected mid year Population (’000) for 5 year age groups(35-39), Total",age,[35 39 Years],#Multiply,1000,,,,
"Projected mid year Population (’000) for 5 year age groups(40-44), Total",age,[40 44 Years],#Multiply,1000,,,,
"Projected mid year Population (’000) for 5 year age groups(45-49), Total",age,[45 49 Years],#Multiply,1000,,,,
"Projected mid year Population (’000) for 5 year age groups(50-54), Total",age,[50 54 Years],#Multiply,1000,,,,
"Projected mid year Population (’000) for 5 year age groups(55-59), Total",age,[55 59 Years],#Multiply,1000,,,,
"Projected mid year Population (’000) for 5 year age groups(60-64), Total",age,[60 64 Years],#Multiply,1000,,,,
"Projected mid year Population (’000) for 5 year age groups(65-69), Total",age,[65 69 Years],#Multiply,1000,,,,
"Projected mid year Population (’000) for 5 year age groups(70-74), Total",age,[70 74 Years],#Multiply,1000,,,,
"Projected mid year Population (’000) for 5 year age groups(75-79), Total",age,[75 79 Years],#Multiply,1000,,,,
"Projected mid year Population (’000) for 5 year age groups(80+), Total",age,[80 - Years],#Multiply,1000,,,,
"Projected mid year Population (’000) for 5 year age groups(0-4), Male",gender,Male,age,[0 4 Years],#Multiply,1000,,
"Projected mid year Population (’000) for 5 year age groups(5-9), Male",gender,Male,age,[5 9 Years],#Multiply,1000,,
"Projected mid year Population (’000) for 5 year age groups(10-14), Male",gender,Male,age,[10 14 Years],#Multiply,1000,,
"Projected mid year Population (’000) for 5 year age groups(15-19), Male",gender,Male,age,[15 19 Years],#Multiply,1000,,
"Projected mid year Population (’000) for 5 year age groups(20-24), Male",gender,Male,age,[20 24 Years],#Multiply,1000,,
"Projected mid year Population (’000) for 5 year age groups(25-29), Male",gender,Male,age,[25 29 Years],#Multiply,1000,,
"Projected mid year Population (’000) for 5 year age groups(30-34), Male",gender,Male,age,[30 34 Years],#Multiply,1000,,
"Projected mid year Population (’000) for 5 year age groups(35-39), Male",gender,Male,age,[35 39 Years],#Multiply,1000,,
"Projected mid year Population (’000) for 5 year age groups(40-44), Male",gender,Male,age,[40 44 Years],#Multiply,1000,,
"Projected mid year Population (’000) for 5 year age groups(45-49), Male",gender,Male,age,[45 49 Years],#Multiply,1000,,
"Projected mid year Population (’000) for 5 year age groups(50-54), Male",gender,Male,age,[50 54 Years],#Multiply,1000,,
"Projected mid year Population (’000) for 5 year age groups(55-59), Male",gender,Male,age,[55 59 Years],#Multiply,1000,,
"Projected mid year Population (’000) for 5 year age groups(60-64), Male",gender,Male,age,[60 64 Years],#Multiply,1000,,
"Projected mid year Population (’000) for 5 year age groups(65-69), Male",gender,Male,age,[65 69 Years],#Multiply,1000,,
"Projected mid year Population (’000) for 5 year age groups(70-74), Male",gender,Male,age,[70 74 Years],#Multiply,1000,,
"Projected mid year Population (’000) for 5 year age groups(75-79), Male",gender,Male,age,[75 79 Years],#Multiply,1000,,
"Projected mid year Population (’000) for 5 year age groups(80+), Male",gender,Male,age,[80 - Years],#Multiply,1000,,
"Projected mid year Population (’000) for 5 year age groups(0-4), Female",gender,Female,age,[0 4 Years],#Multiply,1000,,
"Projected mid year Population (’000) for 5 year age groups(5-9), Female",gender,Female,age,[5 9 Years],#Multiply,1000,,
