,,,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year
,,,1969,1980,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Region,Variable,Units,Year1969,Year1980,Year1991,Year1992,Year1993,Year1994,Year1995,Year1996,Year1997,Year1998,Year1999,Year2000,Year2001,Year2002,Year2003,Year2004,Year2005,Year2006,Year2007,Year2008,Year2009,Year2010,Year2011,Year2012,Year2013,Year2014,Year2015,Year2016
Uganda,Census Population,Persons,,,16671705,,,,,,,,,,,24227297,,,,,,,,,32939800,34131400,35357000,34634650,35516300,36593000
Uganda,"Census Population , Growth Rate (1991-2002)",%,,,,,,,,,,,,,,3.2,,,,,,,,,,,,,,
Uganda,"Mid Year Population, Total",Persons,9535051,12636179,16671705,17473000,18041600,18628700,19235000,19860900,20507300,21174700,21863900,22575400,23310100,24227297,25089400,25859700,26741300,27629300,28581300,29592600,30661300,31784600,32939800,34131400,35357000,34856813,35756800,36860700
Uganda,"Mid Year Population, Rural",Persons,8900099,11697892,14782083,15671900,16149900,16641700,17148000,17668800,18204800,18756300,19323800,19907400,20507700,21305316,21998000,22612700,23330800,24047100,24818700,25220600,26136700,26003600,26951300,27930600,28937600,28430800,29168700,30082900
Uganda,"Mid Year Population, Urban",Persons,634952,938287,1889622,1801100,1891700,1987000,2087000,2192100,2302500,2418400,2540100,2668000,2802400,2921981,3091400,3247000,3410500,3582200,3762600,4372000,4524600,5781000,5988500,6200800,6419400,6426013,6588100,6777800
Uganda,"Projected mid year Population (’000) for 5 year age groups(0-4), Total",Thousand persons,,,,,,,,,,,,,,,,,,,,,6586,6796,7006.6,7220.7,7085.4,6131.253,6287.5,6478.4
Uganda,"Projected mid year Population (’000) for 5 year age groups(5-9), Total",Thousand persons,,,,,,,,,,,,,,,,,,,,,4846,6070,5534.3,5930.3,5841.8,5551.838,5693.3,5866.1
Uganda,"Projected mid year Population (’000) for 5 year age groups(10-14), Total",Thousand persons,,,,,,,,,,,,,,,,,,,,,3950,4598,4103.6,4160,4226.2,4920.476,5045.8,5198.9
