key,property1,value1,property2,value2,property3,value3,property4,value4

# Global Dataflow properties (Standard Data Commons Mortality Modeling)
"DATAFLOW:ESTAT:DEMO_R_MWK_TS(1.0)",populationType,dcs:MortalityEvent,measuredProperty,dcs:count,statType,dcs:measuredValue,,

# --- AUTOMATED CLEANUP: Ignored Columns ---
LAST UPDATE,#ignore,"",,,,,,
CONF_STATUS,#ignore,"",,,,,,

# Frequency dimension (P1W is standard for weekly duration)
freq:W,observationPeriod,P1W,,,,,,

# Sex / Gender dimension
sex:T,gender,"",,,,,,
sex:M,gender,dcs:Male,,,,,,
sex:F,gender,dcs:Female,,,,,,

# Unit dimension (dcs:Person is standard for demographic counts)
unit:NR,unit,dcs:Person,,,,,,

# Geography dimension (Using direct passing)
geo,observationAbout,{Data},,,,,,

# Safely ignore the old week string so it doesn't cause errors
TIME_PERIOD,#ignore,"",,,,,,

# Map the new YYYY-MM-DD column directly
CALENDAR_DATE,observationDate,{Data},,,,,,

# Observation Value (FIXED: Restored the missing value mapping)
OBS_VALUE,value,{Number},,,,,,

# Safely Ignoring Transient Status Flags to Prevent Ingestion Warnings
OBS_FLAG:p,#ignore,"",,,,,,
OBS_FLAG:e,#ignore,"",,,,,,
OBS_FLAG:b,#ignore,"",,,,,,
OBS_FLAG:f,#ignore,"",,,,,,
OBS_FLAG:n,#ignore,"",,,,,,
OBS_FLAG:u,#ignore,"",,,,,,

# Missing values
OBS_FLAG:M,MissingValue,"",,,,,,
