IndicatorCode,ConvertToInt,ExistingStatVar,IndicatorName,SourceNote,Source,populationType,statType,measuredProp,p1,v1,p2,v2,p3,v3,measurementDenominator,scalingFactor,sourceScalingFactor,measurementMethod,unit
SP.RUR.TOTL,,,Rural population,Rural population refers to people living in rural areas as defined by national statistical offices. It is calculated as the difference between total population and urban population. Aggregation of urban and rural population may not add up to total population because of different country coverages.,World Bank staff estimates based on the United Nations Population Division's World Urbanization Prospects: 2018 Revision.,Person,measuredValue,count,placeOfResidenceClassification,Rural,,,,,,,,WorldBankEstimate,
SP.URB.TOTL,,,Urban population,Urban population refers to people living in urban areas as defined by national statistical offices. It is calculated using World Bank population estimates and urban ratios from the United Nations World Urbanization Prospects. Aggregation of urban and rural population may not add up to total population because of different country coverages.,World Bank staff estimates based on the United Nations Population Division's World Urbanization Prospects: 2018 Revision.,Person,measuredValue,count,placeOfResidenceClassification,Urban,,,,,,,,WorldBankEstimate,
SP.DYN.IMRT.IN,,,"Mortality rate, infant (per 1,000 live births)","Infant mortality rate is the number of infants dying before reaching one year of age, per 1,000 live births in a given year.","Estimates developed by the UN Inter-agency Group for Child Mortality Estimation (UNICEF, WHO, World Bank, UN DESA Population Division) at www.childmortality.org.",MortalityEvent,measuredValue,count,age,Years0,,,,,Count_BirthEvent_LiveBirth,1000,,UnitedNationsIGMEEstimate,
SP.DYN.IMRT.MA.IN,,,"Mortality rate, infant, male (per 1,000 live births)","Infant mortality rate, male is the number of male infants dying before reaching one year of age, per 1,000 male live births in a given year.","Estimates developed by the UN Inter-agency Group for Child Mortality Estimation (UNICEF, WHO, World Bank, UN DESA Population Division) at www.childmortality.org.",MortalityEvent,measuredValue,count,age,Years0,gender,Male,,,Count_BirthEvent_LiveBirth_Male,1000,,UnitedNationsIGMEEstimate,
SP.DYN.IMRT.FE.IN,,,"Mortality rate, infant, female (per 1,000 live births)","Infant mortality rate, female is the number of female infants dying before reaching one year of age, per 1,000 female live births in a given year.","Estimates developed by the UN Inter-agency Group for Child Mortality Estimation (UNICEF, WHO, World Bank, UN DESA Population Division) at www.childmortality.org.",MortalityEvent,measuredValue,count,age,Years0,gender,Female,,,Count_BirthEvent_LiveBirth_Female,1000,,UnitedNationsIGMEEstimate,
SH.DTH.IMRT,,,Number of infant deaths,Number of infants dying before reaching one year of age.,"Estimates developed by the UN Inter-agency Group for Child Mortality Estimation (UNICEF, WHO, World Bank, UN DESA Population Division) at www.childmortality.org.",MortalityEvent,measuredValue,count,age,Years0,,,,,,,,UnitedNationsIGMEEstimate,
SL.TLF.0714.ZS,,,"Children in employment, total (% of children ages 7-14)",Children in employment refer to children involved in economic activity for at least one hour in the reference week of the survey.,"Understanding Children's Work project based on data from ILO, UNICEF and the World Bank.",Person,measuredValue,count,age,Years7To14,employment,Employed,,,Count_Person_7To14Years,100,,,
SL.TLF.0714.MA.ZS,,,"Children in employment, male (% of male children ages 7-14)",Children in employment refer to children involved in economic activity for at least one hour in the reference week of the survey.,"Understanding Children's Work project based on data from ILO, UNICEF and the World Bank.",Person,measuredValue,count,age,Years7To14,employment,Employed,gender,Male,Count_Person_7To14Years_Male,100,,,
SL.TLF.0714.FE.ZS,,,"Children in employment, female (% of female children ages 7-14)",Children in employment refer to children involved in economic activity for at least one hour in the reference week of the survey.,"Understanding Children's Work project based on data from ILO, UNICEF and the World Bank.",Person,measuredValue,count,age,Years7To14,employment,Employed,gender,Female,Count_Person_7To14Years_Female,100,,,
SH.SVR.WAST.ZS,,,"Prevalence of severe wasting, weight for height (% of children under 5)",Prevalence of severe wasting is the proportion of children under age 5 whose weight for height is more than three standard deviations below the median for the international reference population ages 0-59.,"UNICEF, WHO, World Bank: Joint child malnutrition estimates (JME). Aggregation is based on UNICEF, WHO, and the World Bank harmonized dataset (adjusted, comparable data) and methodology.",Person,measuredValue,count,age,YearsUpto4,healthCondition,SevereWasting,,,Count_Person_Upto4Years,100,,JointChildMalnutritionEstimate,
