County,Percentage of adults with diabetes,95% CI
Albany,9.1,[6.4-11.9]
Allegany,10.8,[7.7-13.8]
Bronx,16,[12.8 -19.2]
Broome,10,[7.2 - 12.9]
Cattaraugus,13.1,[9.9-16.3]
Cayuga,11.1,[8.0-14.3]
Chautauqua,11.5,[9.1-13.9]
Chemung,11.1,[7.8-14.3]
Chenango,12.3,[8.4-16.3]
Clinton,11.7,[8.5 - 14.9]
Columbia,6,[4.0-8.0]
Cortland,8.8,[6.2 - 11.4]
Delaware,8.9,[5.3-12.6]
Dutchess,10.2,[6.8-13.6]
Erie,11,[8.2 -13.7]
Essex,14.2,[8.8-19.5]
Franklin,12.8,[9.4-16.2]
Fulton,10.1,[6.6-13.7]
Genesee,12.7,[9.7 - 15.8]
Greene,7.6,[5.0-10.2]
Hamilton,11.3,[6.2-16.4]
Herkimer,11.5,[7.8-15.2]
Jefferson,13.6,[9.3-17.8]
Kings,11.7,[9.2-14.1]
Lewis,11.4,[6.5-16.3]
Livingston,10.4,[6.7-14.1]
Madison,13.3,[8.0-18.6]
Monroe,8.5,[6.0-10.9]
Montgomery,12,[6.4-17.6]
Nassau,8.6,[6.3-11.0]
New York,8.5,[6.4-10.6]
Niagara,13.6,[9.9-17.4]
Oneida,15.6,[11.7-19.4]
Onondaga,11.2,[8.8-13.5]
Ontario,10.1,[6.5-13.6]
Orange,9.5,[6.9-12.1]
Orleans,11.6,[8.4-14.7]
Oswego,9.4,[6.1-12.6]
Otsego,9.7,[6.7-12.7]
Putnam,8.4,[5.0-11.7]
Queens,10.5,[8.1-12.8]
Rensselaer,7.7,[5.0 - 10.3]
Richmond,9.7,[6.5-12.9]
Rockland,7.9,[4.1-11.7]
Saratoga,8,[5.9-10.1]
Schenectady,10,[6.7-13.2]
Schoharie,9.9,[6.7-13.1]
Schuyler,9.4,[5.9-13.0]
Seneca,14.2,[9.4-19.1]
St Lawrence,11.3,[7.6 - 15.0]
Steuben,13.2,[9.6-16.7]
Suffolk,9.3,[6.6-12.1]
Sullivan,10.4,[7.3-13.4]
Tioga,12.3,[8.0-16.6]
Tompkins,5.4,[3.2-7.6]
Ulster,8.8,[5.9-11.7]
Warren,9.6,[6.5-12.7]
Washington,13.5,[10.0-17.0]
Wayne,10,[7.2-12.8]
Westchester,8.8,[6.0-11.6]
Wyoming,12.1,[8.1-16.1]
Yates,14.6,[9.1-20.2]
