County,Percentage of adults with diagnosed diabetes,95% CI
Albany,9.2,[7.3-11.1]
Allegany,14.7,[9.6-19.7]
Bronx,13.6,[11.4-15.7]
Broome,11.4,[8.7-14.1]
Cattaraugus,12.1,[8.9-15.4]
Cayuga,10.9,[7.7-14.1]
Chautauqua,15.8,[11.5-20.1]
Chemung,10.3,[7.6-13.1]
Chenango,13.9,[8.1-19.7]
Clinton,14.3,[10.2- 18.5]
Columbia,12.8,[7.6-17.9]
Cortland,8.9,[5.8-12.1]
Delaware,11.2,[7.5-14.9]
Dutchess,11,[7.2-14.7]
Erie,10.6,[8.7-12.4]
Essex,14.2,[9.7-18.6]
Franklin,15.1,[11.4-18.8]
Fulton,12,[8.6-15.3]
Genesee,13.4,[8.9-17.9]
Greene,11.3,[4.9-17.7]
Hamilton,10.3,[5.6-15.0]
Herkimer,10,[6.8-13.3]
Jefferson,10.2,[7.9-12.5]
Kings,10.5,[9.0-12.0]
Lewis,12.3,[8.4-16.3]
Livingston,13.7,[7.9-19.6]
Madison,10.6,[7.1-14.1]
Monroe,10.4,[8.7-12.2]
Montgomery,13.3,[9.5-17.2]
Nassau,9.1,[7.4-10.8]
New York,7.1,[5.7-8.5]
Niagara,15.5,[12.1-18.9]
Oneida,13.4,[10.0 -16.7]
Onondaga,10.4,[8.1-12.7]
Ontario,10.6,[7.1-14.1]
Orange,8.6,[6.1-11.1]
Orleans,16.8,[12.3-21.4]
Oswego,10.8,[7.0-14.5]
Otsego,8.2,[5.1-11.2]
Putnam,7.6,[4.7-10.5]
Queens,13.1,[11.2-14.9]
Rensselaer,10.2,[6.5-13.8]
Richmond,14.4,[10.9 - 17.9]
Rockland,9.9,[6.5-13.2]
St. Lawrence,12.6,[9.4-15.8]
Saratoga,7.1,[4.3-9.9]
Schenectady,11,[6.2-15.7]
Schoharie,12.2,[8.6-15.7]
Schuyler,12.8,[8.1-17.5]
Seneca,14.2,[9.6-18.9]
Steuben,12.8,[9.3- 16.3]
Suffolk,9.5,[7.9-11.1]
Sullivan,9.8,[6.5-13.0]
Tioga,15.3,10.3-20.4
Tompkins,6.2,[4.0-8.3]
Ulster,7.6,[5.0-10.2]
Warren,14,[10.1-17.9]
Washington,12.3,[8.5-16.2]
Wayne,11.3,[8.5-14.1]
Westchester,9.9,[7.8-12.1]
Wyoming,10.9,[5.8-16.0]
Yates,10.3,[6.7-14.0]
