County,Percentage of adults with diabetes,95% CI
Albany,7.8,[5.6-10.0]
Allegany,10.2,[7.0-13.5]
Bronx,15.7,[13.2-18.3]
Broome,10.6,[7.5-13.8]
Cattaraugus,15,[11.5-18.6]
Cayuga,11.8,[7.6-15.9]
Chautauqua,12.8,[9.3-16.2]
Chemung,13.6,[10.1-17.0]
Chenango,14.6,[10.4-18.8]
Clinton,11.1,[8.0-14.2]
Columbia,9.6,[6.2-13.0]
Cortland,9.1,[5.1-13.0]
Delaware,12.7,[8.3-17.0]
Dutchess,8.5,[6.0-11.1]
Erie,11.6,[9.0-14.2]
Essex,12.6,[8.7-16.5]
Franklin,13.7,[10.0-17.3]
Fulton,12.7,[9.7 -15.8]
Genesee,15.7,[8.5-23.0]
Greene,13.2,[8.3-18.2]
Hamilton,12.6,[8.3-16.8]
Herkimer,8.5,[5.1-11.9]
Jefferson,9.9,[7.1-12.8]
Kings,10.1,[8.4-11.7]
Lewis,17.6,[11.1-24.2]
Livingston,9.7,[6.7-12.8]
Madison,10.2,[5.8-14.6]
Monroe,8.4,[5.9-10.8]
Montgomery,13,[9.1-16.8]
Nassau,8.5,[6.6-10.5]
New York,7,[5.5-8.5]
Niagara,15,[10.6-19.5]
Oneida,14.7,[11.2-18.1]
Onondaga,9.4,[6.4-12.4]
Ontario,11.4,[6.5-16.4]
Orange,9.5,[6.5-12.5]
Orleans,10.5,[6.9-14.1]
Oswego,10.6,[6.3-15.0]
Otsego,9.3,[5.6-13.0]
Putnam,7.6,[3.8-11.4]
Queens,13.2,[11.2-15.2]
Rensselaer,11.3,[8.0-14.6]
Richmond,13,[8.9 - 17.0]
Rockland,8.1,[5.4-10.8]
StS Lawrence,10.6,[7.7-13.5]
Saratoga,10.1,[7.1-13.1]
Schenectady,11.1,[7.5-14.6]
Schoharie,9.6,[5.4-13.8]
Schuyler,10.9,[6.7-15.2]
Seneca,13.6,[4.9-22.4]
Steuben,13.7,[10.4-17.1]
Suffolk,10.1,[8.1 - 12.0]
Sullivan,9.9,[6.7-13.1]
Tioga,11.4,[7.3-15.6]
Tompkins,5.5,[3.6-7.5]
Ulster,8.8,[6.2-11.5]
Warren,8.8,[6.1-11.5]
Washington,14.1,[9.7-18.5]
Wayne,15.4,[10.8-20.1]
Westchester,8.3,[6.1-10.5]
Wyoming,11.9,[7.8-16.0]
Yates,12.4,[8.5-16.2]
