,date,GeoId,Percent_Population_Homeowners
0,1984-01-01,dcid:geoId/27,72.6
1,1985-01-01,dcid:geoId/27,70.0
2,1986-01-01,dcid:geoId/27,68.0
3,1987-01-01,dcid:geoId/27,68.9
4,1988-01-01,dcid:geoId/27,69.1
5,1989-01-01,dcid:geoId/27,68.3
6,1990-01-01,dcid:geoId/27,68.0
7,1991-01-01,dcid:geoId/27,68.9
8,1992-01-01,dcid:geoId/27,66.7
9,1993-01-01,dcid:geoId/27,65.8
10,1994-01-01,dcid:geoId/27,68.9
11,1995-01-01,dcid:geoId/27,73.3
12,1996-01-01,dcid:geoId/27,75.4
13,1997-01-01,dcid:geoId/27,75.4
14,1998-01-01,dcid:geoId/27,75.4
15,1999-01-01,dcid:geoId/27,76.1
16,2000-01-01,dcid:geoId/27,76.1
17,2001-01-01,dcid:geoId/27,76.1
18,2002-01-01,dcid:geoId/27,77.3
19,2003-01-01,dcid:geoId/27,77.2
20,2004-01-01,dcid:geoId/27,76.4
21,2005-01-01,dcid:geoId/27,76.5
22,2006-01-01,dcid:geoId/27,75.6
23,2007-01-01,dcid:geoId/27,73.5
24,2008-01-01,dcid:geoId/27,73.1
25,2009-01-01,dcid:geoId/27,72.9
26,2010-01-01,dcid:geoId/27,72.6
27,2011-01-01,dcid:geoId/27,71.3
28,2012-01-01,dcid:geoId/27,72.0
29,2013-01-01,dcid:geoId/27,73.4
30,2014-01-01,dcid:geoId/27,71.4
31,2015-01-01,dcid:geoId/27,70.1
32,2016-01-01,dcid:geoId/27,72.4
33,2017-01-01,dcid:geoId/27,72.7
34,2018-01-01,dcid:geoId/27,69.8
