key,p1,v1,p2,v2,p3,v3,p4,v4
Value,value,{Number},observationAbout,country/USA,,,,
Longitude,Longitude,{Data},longitude,{Longitude},,,,
Latitude,Latitude,{Data},latitude,{Latitude},placeName,latLong/{Latitude}_{Longitude},,
Valid_Time,observationDate,{ValidTime},#Eval,"ValidTime=format_date(Data, '%Y-%m-%dT%H:%M:%S')",,,,
PRMSL,measuredProperty,pressure,populationType,Place,height,MeanSeaLevel,unit,Pascal
CLMR,measuredProperty,mixingRatio,populationType,Cloud,,,,
ICMR,measuredProperty,mixingRatio,populationType,Ice,,,,
RWMR,measuredProperty,mixingRatio,populationType,Rainwater,,,,
SNMR,measuredProperty,mixingRatio,populationType,Snow,,,,
GRLE,measuredProperty,count,populationType,Graupel,,,,
REFD,measuredProperty,reflectivity,populationType,Place,unit,Decibel,,
REFC,measuredProperty,compositeReflectivity,populationType,Place,statType,maxValue,unit,Decibel
VIS,measuredProperty,visibility,populationType,Place,unit,Meter,,
UGRD,measuredProperty,windSpeed,populationType,Place,windComponent,UComponent,unit,MeterPerSecond
VGRD,measuredProperty,windSpeed,populationType,Place,windComponent,VComponent,unit,MeterPerSecond
VRATE,measuredProperty,ventilationRate,populationType,Place,unit,SquareMeterPerSecond,,
GUST,measuredProperty,windSpeed,populationType,Place,statType,maxValue,unit,MeterPerSecond
HGT,measuredProperty,geopotentialHeight,populationType,Place,unit,GeopotentialMeters,,
TMP,measuredProperty,temperature,populationType,Place,unit,Kelvin,,
RH,measuredProperty,humidity,populationType,Place,humidityParameter,RelativeHumidity,unit,Percent
SPFH,measuredProperty,humidity,populationType,Place,humidityParameter,SpecificHumidity,,
VVEL,measuredProperty,velocity,populationType,Place,measurementQualifier,PressureVerticalVelocity,unit,PascalPerSecond
DZDT,measuredProperty,velocity,populationType,Place,measurementQualifier,GeometricVerticalVelocity,unit,MeterPerSecond
ABSV,measuredProperty,absoluteVorticity,populationType,Place,unit,InverseSecond,,
O3MR,measuredProperty,mixingRatio,populationType,Atmosphere,measurementQualifier,Ozone,,
TCDC,measuredProperty,cloudCover,populationType,Place,unit,Percent,,
HINDEX,measuredProperty,hainesIndex,populationType,Place,,,,
MSLET,measuredProperty,pressure,populationType,Atmosphere,measurementQualifier,MSLPEtaReduction,unit,Pascal
PRES,measuredProperty,pressure,populationType,Atmosphere,unit,Pascal,,
TSOIL,measuredProperty,temperature,populationType,Soil,unit,Kelvin,,
SOILW,measuredProperty,volumetricSoilMoisture,populationType,Soil,,,,
SOILL,measuredProperty,liquidWaterContent,populationType,Soil,,,,
CNWAT,measuredProperty,cloudWaterContent,populationType,Atmosphere,unit,KilogramPerMeterSquared,,
WEASD,measuredProperty,snowWaterEquivalent,populationType,Place,unit,KilogramPerMeterSquared,,
SNOD,measuredProperty,depth,populationType,Snow,unit,Meter,,
ICETK,measuredProperty,thickness,populationType,Ice,unit,Meter,,
DPT,measuredProperty,dewPointTemperature,populationType,Atmosphere,unit,Kelvin,,
APTMP,measuredProperty,temperature,populationType,Place,unit,Kelvin,measurementQualifier,Apparent
ICEG,measuredProperty,count,populationType,Ice,statType,growthRate,unit,MeterPerSecond
CPOFP,measuredProperty,frozenPrecipitation,populationType,Place,unit,Percent,,
PRATE,measuredProperty,precipitationRate,populationType,Place,,,,
CSNOW,measuredProperty,occurrence,populationType,Place,precipitationType,Snow,,
CICEP,measuredProperty,occurrence,populationType,Place,precipitationType,IcePellets,,
CFRZR,measuredProperty,occurrence,populationType,Place,precipitationType,FreezingRain,,
CRAIN,measuredProperty,occurrence,populationType,Place,precipitationType,Rain,,
SFCR,measuredProperty,surfaceRoughness,populationType,Place,unit,Meter,,
FRICV,measuredProperty,frictionalVelocity,populationType,Place,unit,MeterPerSecond,,
VEG,measuredProperty,area,populationType,Place,landCoverType,Vegetation,unit,Percent
SOTYP,measuredProperty,soilType,populationType,Soil,,,,
WILT,measuredProperty,wiltingPoint,populationType,Soil,,,,
FLDCP,measuredProperty,fieldCapacity,populationType,Soil,,,,
