key,prop,value,p1,v1,p2,v2,p3,v3,,
Place,,,observationAbout,geoId/{Place},,,,,
Year,observationDate,{Number},,,,,,,,
Value,value,{Number},populationType,Investment,measuredProperty,amount,unit,USDollar
Alabama,observationAbout,geoId/01
Alaska,observationAbout,geoId/02
Arizona,observationAbout,geoId/04
Arkansas,observationAbout,geoId/05
California,observationAbout,geoId/06
Colorado,observationAbout,geoId/08
Connecticut,observationAbout,geoId/09
Delaware,observationAbout,geoId/10
District of Columbia,observationAbout,geoId/11
Florida,observationAbout,geoId/12
Georgia,observationAbout,geoId/13
Hawaii,observationAbout,geoId/15
Idaho,observationAbout,geoId/16
Illinois,observationAbout,geoId/17
Indiana,observationAbout,geoId/18
Iowa,observationAbout,geoId/19
Kansas,observationAbout,geoId/20
Kentucky,observationAbout,geoId/21
Louisiana,observationAbout,geoId/22
Maine,observationAbout,geoId/23
Maryland,observationAbout,geoId/24
Massachusetts,observationAbout,geoId/25
Michigan,observationAbout,geoId/26
Minnesota,observationAbout,geoId/27
Mississippi,observationAbout,geoId/28
Missouri,observationAbout,geoId/29
Montana,observationAbout,geoId/30
Nebraska,observationAbout,geoId/31
Nevada,observationAbout,geoId/32
New Hampshire,observationAbout,geoId/33
New Jersey,observationAbout,geoId/34
New Mexico,observationAbout,geoId/35
New York,observationAbout,geoId/36
North Carolina,observationAbout,geoId/37
North Dakota,observationAbout,geoId/38
Ohio,observationAbout,geoId/39
Oklahoma,observationAbout,geoId/40
Oregon,observationAbout,geoId/41
Pennsylvania,observationAbout,geoId/42
Rhode Island,observationAbout,geoId/44
South Carolina,observationAbout,geoId/45
South Dakota,observationAbout,geoId/46
Tennessee,observationAbout,geoId/47
Texas,observationAbout,geoId/48
Utah,observationAbout,geoId/49
Vermont,observationAbout,geoId/50
Virginia,observationAbout,geoId/51
Washington,observationAbout,geoId/53
West Virginia,observationAbout,geoId/54
Wisconsin,observationAbout,geoId/55
Wyoming,observationAbout,geoId/56
American Samoa,observationAbout,geoId/60
Federated States of Micronesia,observationAbout,geoId/64
Guam,observationAbout,geoId/66
Northern Mariana Islands,observationAbout,geoId/69
Palau,observationAbout,geoId/70
Puerto Rico,observationAbout,geoId/72
Marshall Islands,observationAbout,geoId/68
U.S. Virgin Islands,observationAbout,geoId/78
Economic Adjustment Assistance,investmentProgram,EconomicAdjustmentAssistance
Planning,investmentProgram,ProgramPlanning
Public Works,investmentProgram,PublicWorks
Regional Innovation Strategies,investmentProgram,RegionalInnovationStrategies
Technical Assistance,investmentProgram,TechnicalAssistance
Research and National Technical Assistance,investmentProgram,ResearchNationalTechnicalAssistance
Trade Adjustment Assistance for Firms,investmentProgram,TradeAdjustmentAssistance
Research,investmentProgram,Research
Total,investmentProgram,
