original,replacement,diseases,dcid,sameAs
Anthrax,Anthrax,Anthrax,AnthraxDisease,bio/DOID_7427
Arboviral diseases;Chikungunya virus disease,Chikungunya virus disease,Chikungunya virus disease,Chikungunya,bio/DOID_0050012
Arboviral diseases;Eastern equine encephalitis virus disease;Neuroinvasive,Eastern equine encephalitis;Neuroinvasive,Eastern equine encephalitis virus disease,EasternEquineEncephalitis,bio/DOID_10841
Arboviral diseases;Eastern equine encephalitis virus disease;Non-neuroinvasive,Eastern equine encephalitis;Non-neuroinvasive,Eastern equine encephalitis virus disease,EasternEquineEncephalitis,bio/DOID_10841
Arboviral diseases;Jamestown Canyon virus disease;Neuroinvasive,Jamestown Canyon virus diseases:Neuroinvasive,Jamestown Canyon virus disease,JamestownCanyonVirusDisease,
Arboviral diseases;Jamestown Canyon virus disease;Non-neuroinvasive,Jamestown Canyon virus diseases;Non-neuroinvasive,Jamestown Canyon virus disease,JamestownCanyonVirusDisease,
Arboviral diseases;La Crosse virus disease;Neuroinvasive,La Crosse virus disease;Neuroinvasive,La Crosse virus disease,LaCrosseVirusDisease,bio/DOID_0050118
Arboviral diseases;La Crosse virus disease;Non-neuroinvasive,La Crosse virus disease;Non-neurovasive,La Crosse virus disease,LaCrosseVirusDisease,bio/DOID_0050118
Arboviral diseases;Powassan virus disease;Neuroinvasive,Powassan virus disease;Neuroinvasive,Powassan virus disease,PowassanVirusDisease,bio/DOID_0050179
Arboviral diseases;Powassan virus disease;Non-neuroinvasive,Powassan virus disease;Non-neuroinvasive,Powassan virus disease,PowassanVirusDisease,bio/DOID_0050179
Arboviral diseases;St. Louis encephalitis virus disease;Neuroinvasive,St. Louis encephalitis virus disease;Neuroinvasive,St. Louis encephalitis virus disease,StLouisEncephalitis,bio/DOID_10845
Arboviral diseases;St. Louis encephalitis virus disease;Non-neuroinvasive,St. Louis encephalitis virus disease;Non-neuroinvasive,St. Louis encephalitis virus disease,StLouisEncephalitis,bio/DOID_10845
Arboviral diseases;West Nile virus disease;Neuroinvasive,West Nile virus disease;Neuroinvasive,West Nile virus disease,WestNileVirusDisease,bio/DOID_2366
Arboviral diseases;West Nile virus disease;Non-neuroinvasive,West Nile virus disease;Non-neuroinvasive,West Nile virus disease,WestNileVirusDisease,bio/DOID_2366
Arboviral diseases;Western equine encephalitis virus disease;Neuroinvasive,Western equine encephalitis virus disease;Neuroinvasive,Western equine encephalitis virus disease,WesternEquineEncephalitis,bio/DOID_10843
Arboviral diseases;Western equine encephalitis virus disease;Non-neuroinvasive,Western equine encephalitis virus disease;Non-neuroinvasive,Western equine encephalitis virus disease,WesternEquineEncephalitis,bio/DOID_10843
Babesiosis;Confirmed,Babesiosis;Confirmed,Babesiosis,Babesiosis,bio/DOID_9643
