"year","table","Disease","Replacement","name","dcid","sameAs"
2017,5,"Anthrax","Anthrax","Anthrax","AnthraxDisease","bio/DOID_7427"
2017,5,"Arboviral diseases","NAN","NAN","NAN","NAN"
2017,5,"Chikungunya virus disease","Chikungunya virus disease","Chikungunya virus disease","Chikungunya","bio/DOID_0050012"
2017,5,"Eastern equine encephalitis virus disease","NAN","NAN","NAN","NAN"
2017,5,"Neuroinvasive","Eastern equine encephalitis;Neuroinvasive","Eastern equine encephalitis virus disease","EasternEquineEncephalitis","bio/DOID_10841"
2017,5,"Non-neuroinvasive","Eastern equine encephalitis;Non-neuroinvasive","Eastern equine encephalitis virus disease","EasternEquineEncephalitis","bio/DOID_10841"
2017,5,"Jamestown Canyon virus disease","NAN","NAN","NAN","NAN"
2017,5,"Neuroinvasive","Jamestown Canyon virus diseases;Neuroinvasive","Jamestown Canyon virus disease","JamestownCanyonVirusDisease",
2017,5,"Non-neuroinvasive","Jamestown Canyon virus diseases;Non-neuroinvasive","Jamestown Canyon virus disease","JamestownCanyonVirusDisease",
2017,5,"La Crosse virus disease","NAN","NAN","NAN","NAN"
2017,5,"Neuroinvasive","La Crosse virus disease;Neuroinvasive","La Crosse virus disease","LaCrosseVirusDisease","bio/DOID_0050118"
2017,5,"Non-neuroinvasive","La Crosse virus disease;Non-neurovasive","La Crosse virus disease","LaCrosseVirusDisease","bio/DOID_0050118"
2017,5,"Powassan virus disease","NAN","NAN","NAN","NAN"
2017,5,"Neuroinvasive","Powassan virus disease;Neuroinvasive","Powassan virus disease","PowassanVirusDisease","bio/DOID_0050179"
2017,5,"Non-neuroinvasive","Powassan virus disease;Non-neuroinvasive","Powassan virus disease","PowassanVirusDisease","bio/DOID_0050179"
2017,5,"St. Louis encephalitis virus disease","NAN","NAN","NAN","NAN"
2017,5,"Neuroinvasive","St. Louis encephalitis virus disease;Neuroinvasive","St. Louis encephalitis virus disease","StLouisEncephalitis","bio/DOID_10845"
2017,5,"Non-neuroinvasive","St. Louis encephalitis virus disease;Non-neuroinvasive","St. Louis encephalitis virus disease","StLouisEncephalitis","bio/DOID_10845"
2017,5,"West Nile virus disease","NAN","NAN","NAN","NAN"
2017,5,"Neuroinvasive","West Nile virus disease;Neuroinvasive","West Nile virus disease","WestNileVirusDisease","bio/DOID_2366"
2017,5,"Non-neuroinvasive","West Nile virus disease;Non-neuroinvasive","West Nile virus disease","WestNileVirusDisease","bio/DOID_2366"
2017,5,"Western equine encephalitis virus disease","NAN","NAN","NAN","NAN"
2017,5,"Neuroinvasive","Western equine encephalitis virus disease;Neuroinvasive","Western equine encephalitis virus disease","WesternEquineEncephalitis","bio/DOID_10843"
2017,5,"Non-neuroinvasive","Western equine encephalitis virus disease;Non-neuroinvasive","Western equine encephalitis virus disease","WesternEquineEncephalitis","bio/DOID_10843"
2017,5,"Babesiosis","NAN","NAN","NAN","NAN"
2017,5,"Total","Babesiosis","Babesiosis","Babesiosis","bio/DOID_9643"
2017,5,"Confirmed","Babesiosis;Confirmed","Babesiosis","Babesiosis","bio/DOID_9643"
2017,5,"Probable","Babesiosis;Probable","Babesiosis","Babesiosis","bio/DOID_9643"
2017,5,"Botulism","NAN","NAN","NAN","NAN"
2017,5,"Total","Botulism","Botulism","Botulism",
2017,5,"Foodborne","Foodborne Botulism","Foodborne Botulism","FoodborneBotulism","bio/DOID_0050352"
2017,5,"Infant  *","Infant Botulism","Infant Botulism","InfantBotulism","bio/DOID_0050354"
2017,5,"Other (wound & unspecified)","Other wound & unspecified Botulism","Other wound & unspecified Botulism","WoundBotulism","bio/DOID_0050353"
2017,5,"Brucellosis","Brucellosis","Brucellosis","Brucellosis","bio/DOID_11077"
2017,5,"Campylobacteriosis","Campylobacteriosis","Campylobacteriosis","Campylobacteriosis","bio/DOID_13622"
2017,5,"Chancroid","Chancroid","Chancroid","Chancroid","bio/DOID_13778"
2017,5,"Chlamydia trachomatis  infection","Chlamydia trachomatis  infection","Chlamydia trachomatis infection","Chlamydia","bio/DOID_11263"
2017,5,"Cholera","Cholera","cholera","Cholera","bio/DOID_1498"
2017,5,"Coccidioidomycosis  †","Coccidioidomycosis","Coccidioidomycosis","Coccidioidomycosis","bio/DOID_13450"
2017,5,"Cryptosporidiosis","NAN","NAN","NAN","NAN"
2017,5,"Total","Cryptosporidiosis","Cryptosporidiosis","Cryptosporidiosis","bio/DOID_1733"
2017,5,"Confirmed","Cryptosporidiosis;Confirmed","Cryptosporidiosis","Cryptosporidiosis","bio/DOID_1733"
2017,5,"Probable","Cryptosporidiosis;Probable","Cryptosporidiosis","Cryptosporidiosis","bio/DOID_1733"
