National Center for Education Statistics,,,,,,,,,,,,,,,,
"Table 20. Number of full-time, first-time degree/certificate-seeking undergraduate students in the adjusted cohort, number of completers, and graduation rate within 150 percent of normal program completion time at Title IV institutions, by control of institution, level of institution, and type of aid received: United States, cohort years 2013 and 2016",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Level of institution and type of aid received,,,,,,,,,,Private,,,,,,
,,All institutions,,,,Public,,,,Nonprofit,,,,For-profit,,
,,Adjusted cohort,Completers,Graduation rate,,Adjusted cohort,Completers,Graduation rate,,Adjusted cohort,Completers,Graduation rate,,Adjusted cohort,Completers,Graduation rate
,,,,,,,,,,,,,,,,
All institutions,,,,,,,,,,,,,,,,
All students,,"2,564,474","1,363,608",53.2,,"1,741,453","843,177",48.4,,"524,131","349,033",66.6,,"298,890","171,398",57.3
Received Pell Grant,,"1,128,003","495,596",43.9,,"743,087","284,838",38.3,,"176,467","94,553",53.6,,"208,449","116,205",55.7
"Received Direct Subsidized Loan, but not a   Pell Grant",,"361,802","226,385",62.6,,"206,975","119,183",57.6,,"125,523","87,006",69.3,,"29,304","20,196",68.9
Received neither a Pell Grant or a Direct   Subsidized Loan,,"1,074,669","641,627",59.7,,"791,391","439,156",55.5,,"222,141","167,474",75.4,,"61,137","34,997",57.2
,,,,,,,,,,,,,,,,
4-year institutions (cohort year 2013),,,,,,,,,,,,,,,,
All students,,"1,708,946","1,017,023",59.5,,"1,126,857","652,749",57.9,,"503,131","336,343",66.8,,"78,958","27,931",35.4
Received Pell Grant,,"645,058","301,908",46.8,,"428,988","197,881",46.1,,"161,683","85,921",53.1,,"54,387","18,106",33.3
"Received Direct Subsidized Loan, but not a   Pell Grant",,"309,835","199,706",64.5,,"178,635","110,105",61.6,,"123,983","85,914",69.3,,"7,217","3,687",51.1
Received neither a Pell Grant or a Direct   Subsidized Loan,,"754,053","515,409",68.4,,"519,234","344,763",66.4,,"217,465","164,508",75.6,,"17,354","6,138",35.4
,,,,,,,,,,,,,,,,
4-year bachelor's cohort (cohort year 2013),,,,,,,,,,,,,,,,
All students,,"1,470,054","937,602",63.8,,"966,778","605,671",62.6,,"472,098","322,715",68.4,,"31,178","9,216",29.6
Received Pell Grant,,"503,188","259,716",51.6,,"338,865","175,215",51.7,,"143,926","79,264",55.1,,"20,397","5,237",25.7
"Received Direct Subsidized Loan, but not a   Pell Grant",,"291,382","191,437",65.7,,"169,129","106,855",63.2,,"118,849","83,019",69.9,,"3,404","1,563",45.9
Received neither a Pell Grant or a Direct   Subsidized Loan,,"675,484","486,449",72.0,,"458,784","323,601",70.5,,"209,323","160,432",76.6,,"7,377","2,416",32.8
,,,,,,,,,,,,,,,,
4-year other than bachelor's cohort (cohort    year 2013),,,,,,,,,,,,,,,,
All students,,"238,892","79,421",33.2,,"160,079","47,078",29.4,,"31,033","13,628",43.9,,"47,780","18,715",39.2
Received Pell Grant,,"141,870","42,192",29.7,,"90,123","22,666",25.2,,"17,757","6,657",37.5,,"33,990","12,869",37.9
"Received Direct Subsidized Loan, but not a   Pell Grant",,"18,453","8,269",44.8,,"9,506","3,250",34.2,,"5,134","2,895",56.4,,"3,813","2,124",55.7
Received neither a Pell Grant or a Direct   Subsidized Loan,,"78,569","28,960",36.9,,"60,450","21,162",35.0,,"8,142","4,076",50.1,,"9,977","3,722",37.3
,,,,,,,,,,,,,,,,
2-year institutions (cohort year 2016),,,,,,,,,,,,,,,,
