value,variableMeasured
2564474,dcid:Count_Student_AllStudents_AllInstitution_Adjusted
1363608,dcid:Count_Student_AllStudents_AllInstitution_Received
53.2,dcid:Percent_Student_AllStudents_AllInstitution_Graduation
1741453,dcid:Count_Student_AllStudents_InstitutionControlPublic_AllInstitution_Adjusted
843177,dcid:Count_Student_AllStudents_InstitutionControlPublic_AllInstitution_Received
48.4,dcid:Percent_Student_AllStudents_InstitutionControlPublic_AllInstitution_Graduation
524131,dcid:Count_Student_AllStudents_InstitutionControlPrivateNonProfit_AllInstitution_Adjusted
349033,dcid:Count_Student_AllStudents_InstitutionControlPrivateNonProfit_AllInstitution_Received
66.6,dcid:Percent_Student_AllStudents_InstitutionControlPrivateNonProfit_AllInstitution_Graduation
298890,dcid:Count_Student_AllStudents_InstitutionControlPrivateForProfit_AllInstitution_Adjusted
171398,dcid:Count_Student_AllStudents_InstitutionControlPrivateForProfit_AllInstitution_Received
57.3,dcid:Percent_Student_AllStudents_InstitutionControlPrivateForProfit_AllInstitution_Graduation
1128003,dcid:Count_Student_PellGrant_AllInstitution_Adjusted
495596,dcid:Count_Student_PellGrant_AllInstitution_Received
43.9,dcid:Percent_Student_PellGrant_AllInstitution_Graduation
743087,dcid:Count_Student_PellGrant_InstitutionControlPublic_AllInstitution_Adjusted
284838,dcid:Count_Student_PellGrant_InstitutionControlPublic_AllInstitution_Received
38.3,dcid:Percent_Student_PellGrant_InstitutionControlPublic_AllInstitution_Graduation
176467,dcid:Count_Student_PellGrant_InstitutionControlPrivateNonProfit_AllInstitution_Adjusted
94553,dcid:Count_Student_PellGrant_InstitutionControlPrivateNonProfit_AllInstitution_Received
53.6,dcid:Percent_Student_PellGrant_InstitutionControlPrivateNonProfit_AllInstitution_Graduation
208449,dcid:Count_Student_PellGrant_InstitutionControlPrivateForProfit_AllInstitution_Adjusted
116205,dcid:Count_Student_PellGrant_InstitutionControlPrivateForProfit_AllInstitution_Received
55.7,dcid:Percent_Student_PellGrant_InstitutionControlPrivateForProfit_AllInstitution_Graduation
361802,dcid:Count_Student_SubsidizedLoan_AllInstitution_Adjusted
226385,dcid:Count_Student_SubsidizedLoan_AllInstitution_Received
62.6,dcid:Percent_Student_SubsidizedLoan_AllInstitution_Graduation
206975,dcid:Count_Student_SubsidizedLoan_InstitutionControlPublic_AllInstitution_Adjusted
119183,dcid:Count_Student_SubsidizedLoan_InstitutionControlPublic_AllInstitution_Received
57.6,dcid:Percent_Student_SubsidizedLoan_InstitutionControlPublic_AllInstitution_Graduation
125523,dcid:Count_Student_SubsidizedLoan_InstitutionControlPrivateNonProfit_AllInstitution_Adjusted
87006,dcid:Count_Student_SubsidizedLoan_InstitutionControlPrivateNonProfit_AllInstitution_Received
69.3,dcid:Percent_Student_SubsidizedLoan_InstitutionControlPrivateNonProfit_AllInstitution_Graduation
29304,dcid:Count_Student_SubsidizedLoan_InstitutionControlPrivateForProfit_AllInstitution_Adjusted
