Year,Place,StatVar,Quantity,ScalingFactor
2021,geoId/41001950100,dcid:Count_Person_15To50Years_Female,325.0,
2021,geoId/41001950200,dcid:Count_Person_15To50Years_Female,712.0,
2021,geoId/41001950100,dcid:MarginOfError_Count_Person_15To50Years_Female,81.0,
2021,geoId/41001950200,dcid:MarginOfError_Count_Person_15To50Years_Female,134.0,
2021,geoId/41001950100,dcid:Count_Person_15To19Years_Female,25.0,
2021,geoId/41001950200,dcid:Count_Person_15To19Years_Female,77.0,
2021,geoId/41001950100,dcid:MarginOfError_Count_Person_15To19Years_Female,22.0,
2021,geoId/41001950200,dcid:MarginOfError_Count_Person_15To19Years_Female,60.0,
2021,geoId/41001950100,dcid:Count_Person_20To34Years_Female,142.0,
2021,geoId/41001950200,dcid:Count_Person_20To34Years_Female,329.0,
2021,geoId/41001950100,dcid:MarginOfError_Count_Person_20To34Years_Female,54.0,
2021,geoId/41001950200,dcid:MarginOfError_Count_Person_20To34Years_Female,91.0,
2021,geoId/41001950100,dcid:Count_Person_35To50Years_Female,158.0,
2021,geoId/41001950200,dcid:Count_Person_35To50Years_Female,306.0,
2021,geoId/41001950100,dcid:MarginOfError_Count_Person_35To50Years_Female,60.0,
2021,geoId/41001950200,dcid:MarginOfError_Count_Person_35To50Years_Female,80.0,
2021,geoId/41001950100,dcid:Count_Person_15To50Years_Female_OneRace,311.0,
2021,geoId/41001950200,dcid:Count_Person_15To50Years_Female_OneRace,695.0,
2021,geoId/41001950100,dcid:MarginOfError_Count_Person_15To50Years_Female_OneRace,81.0,
2021,geoId/41001950200,dcid:MarginOfError_Count_Person_15To50Years_Female_OneRace,139.0,
2021,geoId/41001950100,dcid:Count_Person_15To50Years_Female_WhiteAlone,288.0,
2021,geoId/41001950200,dcid:Count_Person_15To50Years_Female_WhiteAlone,667.0,
2021,geoId/41001950100,dcid:MarginOfError_Count_Person_15To50Years_Female_WhiteAlone,78.0,
2021,geoId/41001950200,dcid:MarginOfError_Count_Person_15To50Years_Female_WhiteAlone,139.0,
2021,geoId/41001950100,dcid:Count_Person_15To50Years_Female_BlackOrAfricanAmericanAlone,5.0,
2021,geoId/41001950200,dcid:Count_Person_15To50Years_Female_BlackOrAfricanAmericanAlone,0.0,
2021,geoId/41001950100,dcid:MarginOfError_Count_Person_15To50Years_Female_BlackOrAfricanAmericanAlone,9.0,
2021,geoId/41001950200,dcid:MarginOfError_Count_Person_15To50Years_Female_BlackOrAfricanAmericanAlone,13.0,
2021,geoId/41001950100,dcid:Count_Person_15To50Years_Female_AmericanIndianOrAlaskaNativeAlone,3.0,
2021,geoId/41001950200,dcid:Count_Person_15To50Years_Female_AmericanIndianOrAlaskaNativeAlone,0.0,
2021,geoId/41001950100,dcid:MarginOfError_Count_Person_15To50Years_Female_AmericanIndianOrAlaskaNativeAlone,4.0,
2021,geoId/41001950200,dcid:MarginOfError_Count_Person_15To50Years_Female_AmericanIndianOrAlaskaNativeAlone,13.0,
2021,geoId/41001950100,dcid:Count_Person_15To50Years_Female_AsianAlone,3.0,
2021,geoId/41001950200,dcid:Count_Person_15To50Years_Female_AsianAlone,0.0,
2021,geoId/41001950100,dcid:MarginOfError_Count_Person_15To50Years_Female_AsianAlone,5.0,
2021,geoId/41001950200,dcid:MarginOfError_Count_Person_15To50Years_Female_AsianAlone,13.0,
2021,geoId/41001950100,dcid:Count_Person_15To50Years_Female_NativeHawaiianOrOtherPacificIslanderAlone,0.0,
2021,geoId/41001950200,dcid:Count_Person_15To50Years_Female_NativeHawaiianOrOtherPacificIslanderAlone,0.0,
2021,geoId/41001950100,dcid:MarginOfError_Count_Person_15To50Years_Female_NativeHawaiianOrOtherPacificIslanderAlone,13.0,
2021,geoId/41001950200,dcid:MarginOfError_Count_Person_15To50Years_Female_NativeHawaiianOrOtherPacificIslanderAlone,13.0,
2021,geoId/41001950100,dcid:Count_Person_15To50Years_Female_SomeOtherRaceAlone,12.0,
2021,geoId/41001950200,dcid:Count_Person_15To50Years_Female_SomeOtherRaceAlone,28.0,
2021,geoId/41001950100,dcid:MarginOfError_Count_Person_15To50Years_Female_SomeOtherRaceAlone,19.0,
2021,geoId/41001950200,dcid:MarginOfError_Count_Person_15To50Years_Female_SomeOtherRaceAlone,35.0,
2021,geoId/41001950100,dcid:Count_Person_15To50Years_Female_TwoOrMoreRaces,14.0,
2021,geoId/41001950200,dcid:Count_Person_15To50Years_Female_TwoOrMoreRaces,17.0,
2021,geoId/41001950100,dcid:MarginOfError_Count_Person_15To50Years_Female_TwoOrMoreRaces,16.0,
2021,geoId/41001950200,dcid:MarginOfError_Count_Person_15To50Years_Female_TwoOrMoreRaces,21.0,
2021,geoId/41001950100,dcid:Count_Person_15To50Years_Female_HispanicOrLatino,23.0,
2021,geoId/41001950200,dcid:Count_Person_15To50Years_Female_HispanicOrLatino,23.0,
2021,geoId/41001950100,dcid:MarginOfError_Count_Person_15To50Years_Female_HispanicOrLatino,25.0,
2021,geoId/41001950200,dcid:MarginOfError_Count_Person_15To50Years_Female_HispanicOrLatino,31.0,
2021,geoId/41001950100,dcid:Count_Person_15To50Years_Female_WhiteAloneNotHispanicOrLatino,277.0,
2021,geoId/41001950200,dcid:Count_Person_15To50Years_Female_WhiteAloneNotHispanicOrLatino,663.0,
2021,geoId/41001950100,dcid:MarginOfError_Count_Person_15To50Years_Female_WhiteAloneNotHispanicOrLatino,77.0,
2021,geoId/41001950200,dcid:MarginOfError_Count_Person_15To50Years_Female_WhiteAloneNotHispanicOrLatino,138.0,
2021,geoId/41001950100,dcid:Count_Person_15To50Years_Female_Native,325.0,
2021,geoId/41001950200,dcid:Count_Person_15To50Years_Female_Native,712.0,
