id	name	compartment	chemicalFormula	bigg.metabolite	chebi	chembl	kegg.compound	metanetx.chemical	hmdb	pubchem.compound	lipidmaps
M_m00001c	(-)-trans-carveol	c	C10H16O	carveol	CHEBI:15389	CHEMBL:1907992	C00964	MNXM45735	NA	NA	NA
M_m00001s	(-)-trans-carveol	s	C10H16O	carveol	CHEBI:15389	CHEMBL:1907992	C00964	MNXM45735	NA	NA	NA
M_m00002c	(+)-alpha-pinene	c	C10H16	appnn	CHEBI:36740	CHEMBL:442565	C09880	MNXM163755	HMDB06525	6654	NA
M_m00002s	(+)-alpha-pinene	s	C10H16	appnn	CHEBI:36740	CHEMBL:442565	C09880	MNXM163755	HMDB06525	6654	NA
M_m00003c	(10Z)-heptadecenoic acid	c	C17H31O2	NA	NA	NA	NA	MNXM150165	NA	NA	LMFA01030283
M_m00003l	(10Z)-heptadecenoic acid	l	C17H31O2	NA	NA	NA	NA	MNXM150165	NA	NA	LMFA01030283
M_m00003r	(10Z)-heptadecenoic acid	r	C17H31O2	NA	NA	NA	NA	MNXM150165	NA	NA	LMFA01030283
M_m00003s	(10Z)-heptadecenoic acid	s	C17H31O2	NA	NA	NA	NA	MNXM150165	NA	NA	LMFA01030283
M_m00004c	(10Z)-heptadecenoyl-CoA	c	C38H62N7O17P3S	NA	NA	NA	NA	MNXM148601	NA	NA	NA
M_m00004m	(10Z)-heptadecenoyl-CoA	m	C38H62N7O17P3S	NA	NA	NA	NA	MNXM148601	NA	NA	NA
M_m00004r	(10Z)-heptadecenoyl-CoA	r	C38H62N7O17P3S	NA	NA	NA	NA	MNXM148601	NA	NA	NA
M_m00005c	(11R)-HPETE	c	C20H31O4	NA	NA	NA	NA	MNXM9658	NA	NA	LMFA03060071
M_m00006c	(11Z)-docosenoyl-CoA	c	C43H72N7O17P3S	NA	NA	NA	NA	NA	NA	NA	NA
M_m00006m	(11Z)-docosenoyl-CoA	m	C43H72N7O17P3S	NA	NA	NA	NA	NA	NA	NA	NA
M_m00006r	(11Z)-docosenoyl-CoA	r	C43H72N7O17P3S	NA	NA	NA	NA	NA	NA	NA	NA
M_m00007c	(11Z)-eicosenoyl-CoA	c	C41H68N7O17P3S	NA	NA	NA	NA	MNXM11852	NA	NA	LMFA07050056
M_m00007m	(11Z)-eicosenoyl-CoA	m	C41H68N7O17P3S	NA	NA	NA	NA	MNXM11852	NA	NA	LMFA07050056
M_m00007p	(11Z)-eicosenoyl-CoA	p	C41H68N7O17P3S	NA	NA	NA	NA	MNXM11852	NA	NA	LMFA07050056
M_m00007r	(11Z)-eicosenoyl-CoA	r	C41H68N7O17P3S	NA	NA	NA	NA	MNXM11852	NA	NA	LMFA07050056
M_m00008c	(11Z,14Z)-eicosadienoic acid	c	C20H35O2	NA	NA	NA	C16525	MNXM11473	NA	NA	LMFA01030130
M_m00008l	(11Z,14Z)-eicosadienoic acid	l	C20H35O2	NA	NA	NA	C16525	MNXM11473	NA	NA	LMFA01030130
M_m00008r	(11Z,14Z)-eicosadienoic acid	r	C20H35O2	NA	NA	NA	C16525	MNXM11473	NA	NA	LMFA01030130
M_m00008s	(11Z,14Z)-eicosadienoic acid	s	C20H35O2	NA	NA	NA	C16525	MNXM11473	NA	NA	LMFA01030130
M_m00009c	(11Z,14Z)-eicosadienoyl-CoA	c	C41H66N7O17P3S	NA	NA	NA	C16180	MNXM167435	NA	NA	LMFA07050036
M_m00009m	(11Z,14Z)-eicosadienoyl-CoA	m	C41H66N7O17P3S	NA	NA	NA	C16180	MNXM167435	NA	NA	LMFA07050036
M_m00009r	(11Z,14Z)-eicosadienoyl-CoA	r	C41H66N7O17P3S	NA	NA	NA	C16180	MNXM167435	NA	NA	LMFA07050036
M_m00010c	(11Z,14Z,17Z)-eicosatrienoic acid	c	C20H33O2	NA	CHEBI:53460	CHEMBL:453991	C16522	MNXM8271	NA	NA	LMFA01030378
