id	name	sboTerm	symbol
ENSG00000000419	ENSG00000000419	SBO:0000243	DPM1
ENSG00000000938	ENSG00000000938	SBO:0000243	FGR
ENSG00000001036	ENSG00000001036	SBO:0000243	FUCA2
ENSG00000001084	ENSG00000001084	SBO:0000243	GCLC
ENSG00000001630	ENSG00000001630	SBO:0000243	CYP51A1
ENSG00000002549	ENSG00000002549	SBO:0000243	LAP3
ENSG00000002587	ENSG00000002587	SBO:0000243	HS3ST1
ENSG00000002726	ENSG00000002726	SBO:0000243	AOC1
ENSG00000002746	ENSG00000002746	SBO:0000243	HECW1
ENSG00000003137	ENSG00000003137	SBO:0000243	CYP26B1
ENSG00000003987	ENSG00000003987	SBO:0000243	MTMR7
ENSG00000003989	ENSG00000003989	SBO:0000243	SLC7A2
ENSG00000004455	ENSG00000004455	SBO:0000243	AK2
ENSG00000004468	ENSG00000004468	SBO:0000243	CD38
ENSG00000004478	ENSG00000004478	SBO:0000243	FKBP4
ENSG00000004660	ENSG00000004660	SBO:0000243	CAMKK1
ENSG00000004779	ENSG00000004779	SBO:0000243	NDUFAB1
ENSG00000004799	ENSG00000004799	SBO:0000243	PDK4
ENSG00000004809	ENSG00000004809	SBO:0000243	SLC22A16
ENSG00000004864	ENSG00000004864	SBO:0000243	SLC25A13
ENSG00000004939	ENSG00000004939	SBO:0000243	SLC4A1
ENSG00000004961	ENSG00000004961	SBO:0000243	HCCS
ENSG00000005022	ENSG00000005022	SBO:0000243	SLC25A5
ENSG00000005075	ENSG00000005075	SBO:0000243	POLR2J
ENSG00000005187	ENSG00000005187	SBO:0000243	ACSM3
ENSG00000005249	ENSG00000005249	SBO:0000243	PRKAR2B
ENSG00000005339	ENSG00000005339	SBO:0000243	CREBBP
ENSG00000005381	ENSG00000005381	SBO:0000243	MPO
ENSG00000005421	ENSG00000005421	SBO:0000243	PON1
ENSG00000005469	ENSG00000005469	SBO:0000243	CROT
ENSG00000005471	ENSG00000005471	SBO:0000243	ABCB4
ENSG00000005483	ENSG00000005483	SBO:0000243	KMT2E
ENSG00000005810	ENSG00000005810	SBO:0000243	MYCBP2
ENSG00000005882	ENSG00000005882	SBO:0000243	PDK2
ENSG00000006007	ENSG00000006007	SBO:0000243	GDE1
ENSG00000006062	ENSG00000006062	SBO:0000243	MAP3K14
