observationDate,variableMeasured
2006,dcid:Count_Person_25To64Years_EducationalAttainmentMastersDegreeOrHigher_AsAFractionOf_Count_Person_25To64Years
2007,dcid:Count_Person_25To64Years_EducationalAttainmentMastersDegreeOrHigher_AsAFractionOf_Count_Person_25To64Years
2008,dcid:Count_Person_25To64Years_EducationalAttainmentMastersDegreeOrHigher_AsAFractionOf_Count_Person_25To64Years
2009,dcid:Count_Person_25To64Years_EducationalAttainmentMastersDegreeOrHigher_AsAFractionOf_Count_Person_25To64Years
2010,dcid:Count_Person_25To64Years_EducationalAttainmentMastersDegreeOrHigher_AsAFractionOf_Count_Person_25To64Years
2011,dcid:Count_Person_25To64Years_EducationalAttainmentMastersDegreeOrHigher_AsAFractionOf_Count_Person_25To64Years
2012,dcid:Count_Person_25To64Years_EducationalAttainmentMastersDegreeOrHigher_AsAFractionOf_Count_Person_25To64Years
2013,dcid:Count_Person_25To64Years_EducationalAttainmentMastersDegreeOrHigher_AsAFractionOf_Count_Person_25To64Years
2014,dcid:Count_Person_25To64Years_EducationalAttainmentMastersDegreeOrHigher_AsAFractionOf_Count_Person_25To64Years
2015,dcid:Count_Person_25To64Years_EducationalAttainmentMastersDegreeOrHigher_AsAFractionOf_Count_Person_25To64Years
2016,dcid:Count_Person_25To64Years_EducationalAttainmentMastersDegreeOrHigher_AsAFractionOf_Count_Person_25To64Years
2017,dcid:Count_Person_25To64Years_EducationalAttainmentMastersDegreeOrHigher_AsAFractionOf_Count_Person_25To64Years
2018,dcid:Count_Person_25To64Years_EducationalAttainmentMastersDegreeOrHigher_AsAFractionOf_Count_Person_25To64Years
2019,dcid:Count_Person_25To64Years_EducationalAttainmentMastersDegreeOrHigher_AsAFractionOf_Count_Person_25To64Years
2021,dcid:Count_Person_25To64Years_EducationalAttainmentMastersDegreeOrHigher_AsAFractionOf_Count_Person_25To64Years
2022,dcid:Count_Person_25To64Years_EducationalAttainmentMastersDegreeOrHigher_AsAFractionOf_Count_Person_25To64Years
2005,dcid:Count_Person_25To64Years_EducationalAttainmentMastersDegreeOrHigher_AsAFractionOf_Count_Person_25To64Years
2020,dcid:Count_Person_25To64Years_EducationalAttainmentMastersDegreeOrHigher_AsAFractionOf_Count_Person_25To64Years
2023,dcid:Count_Person_25To64Years_EducationalAttainmentMastersDegreeOrHigher_AsAFractionOf_Count_Person_25To64Years
2024,dcid:Count_Person_25To64Years_EducationalAttainmentMastersDegreeOrHigher_AsAFractionOf_Count_Person_25To64Years
2000,dcid:Count_Person_25To64Years_EducationalAttainmentMastersDegreeOrHigher_AsAFractionOf_Count_Person_25To64Years
2001,dcid:Count_Person_25To64Years_EducationalAttainmentMastersDegreeOrHigher_AsAFractionOf_Count_Person_25To64Years
2002,dcid:Count_Person_25To64Years_EducationalAttainmentMastersDegreeOrHigher_AsAFractionOf_Count_Person_25To64Years
2003,dcid:Count_Person_25To64Years_EducationalAttainmentMastersDegreeOrHigher_AsAFractionOf_Count_Person_25To64Years
2004,dcid:Count_Person_25To64Years_EducationalAttainmentMastersDegreeOrHigher_AsAFractionOf_Count_Person_25To64Years
2006,dcid:Count_Person_25To64Years_EducationalAttainmentShortCycleTertiaryEducation_AsAFractionOf_Count_Person_25To64Years
2007,dcid:Count_Person_25To64Years_EducationalAttainmentShortCycleTertiaryEducation_AsAFractionOf_Count_Person_25To64Years
2008,dcid:Count_Person_25To64Years_EducationalAttainmentShortCycleTertiaryEducation_AsAFractionOf_Count_Person_25To64Years
2009,dcid:Count_Person_25To64Years_EducationalAttainmentShortCycleTertiaryEducation_AsAFractionOf_Count_Person_25To64Years
2010,dcid:Count_Person_25To64Years_EducationalAttainmentShortCycleTertiaryEducation_AsAFractionOf_Count_Person_25To64Years
2011,dcid:Count_Person_25To64Years_EducationalAttainmentShortCycleTertiaryEducation_AsAFractionOf_Count_Person_25To64Years
2012,dcid:Count_Person_25To64Years_EducationalAttainmentShortCycleTertiaryEducation_AsAFractionOf_Count_Person_25To64Years
2013,dcid:Count_Person_25To64Years_EducationalAttainmentShortCycleTertiaryEducation_AsAFractionOf_Count_Person_25To64Years
2014,dcid:Count_Person_25To64Years_EducationalAttainmentShortCycleTertiaryEducation_AsAFractionOf_Count_Person_25To64Years
2015,dcid:Count_Person_25To64Years_EducationalAttainmentShortCycleTertiaryEducation_AsAFractionOf_Count_Person_25To64Years
2016,dcid:Count_Person_25To64Years_EducationalAttainmentShortCycleTertiaryEducation_AsAFractionOf_Count_Person_25To64Years
2017,dcid:Count_Person_25To64Years_EducationalAttainmentShortCycleTertiaryEducation_AsAFractionOf_Count_Person_25To64Years
2018,dcid:Count_Person_25To64Years_EducationalAttainmentShortCycleTertiaryEducation_AsAFractionOf_Count_Person_25To64Years
2019,dcid:Count_Person_25To64Years_EducationalAttainmentShortCycleTertiaryEducation_AsAFractionOf_Count_Person_25To64Years
2021,dcid:Count_Person_25To64Years_EducationalAttainmentShortCycleTertiaryEducation_AsAFractionOf_Count_Person_25To64Years
2022,dcid:Count_Person_25To64Years_EducationalAttainmentShortCycleTertiaryEducation_AsAFractionOf_Count_Person_25To64Years
2005,dcid:Count_Person_25To64Years_EducationalAttainmentShortCycleTertiaryEducation_AsAFractionOf_Count_Person_25To64Years
2020,dcid:Count_Person_25To64Years_EducationalAttainmentShortCycleTertiaryEducation_AsAFractionOf_Count_Person_25To64Years
2023,dcid:Count_Person_25To64Years_EducationalAttainmentShortCycleTertiaryEducation_AsAFractionOf_Count_Person_25To64Years
2024,dcid:Count_Person_25To64Years_EducationalAttainmentShortCycleTertiaryEducation_AsAFractionOf_Count_Person_25To64Years
2000,dcid:Count_Person_25To64Years_EducationalAttainmentShortCycleTertiaryEducation_AsAFractionOf_Count_Person_25To64Years
2001,dcid:Count_Person_25To64Years_EducationalAttainmentShortCycleTertiaryEducation_AsAFractionOf_Count_Person_25To64Years
2002,dcid:Count_Person_25To64Years_EducationalAttainmentShortCycleTertiaryEducation_AsAFractionOf_Count_Person_25To64Years
2003,dcid:Count_Person_25To64Years_EducationalAttainmentShortCycleTertiaryEducation_AsAFractionOf_Count_Person_25To64Years
2004,dcid:Count_Person_25To64Years_EducationalAttainmentShortCycleTertiaryEducation_AsAFractionOf_Count_Person_25To64Years
2006,dcid:Count_Person_25To64Years_EducationalAttainmentLowerSecondaryEducation_AsAFractionOf_Count_Person_25To64Years
2007,dcid:Count_Person_25To64Years_EducationalAttainmentLowerSecondaryEducation_AsAFractionOf_Count_Person_25To64Years
2008,dcid:Count_Person_25To64Years_EducationalAttainmentLowerSecondaryEducation_AsAFractionOf_Count_Person_25To64Years
