key,p1,v1,p2,v2,p3,v3,,,,,,,,
ibge,observationAbout,{Data},measurementMethod,BrazilPovertyLine,,,,,,,,,,
anomes,observationDate,{YEAR}-{MONTH},#Regex,(?P<YEAR>[0-9]{4})(?P<MONTH>[0-9]{2}),observationPeriod,P1M,,,,,,,,
cadunico_tot_fam,measuredProperty,count,populationType,Household,value,{Number},alternateName,"""cadunico tot fam@pt""",name,"""total number of families registered in the Single Registry""",registeredIn,Brazil_SingleRegistry,,
cadunico_tot_pes,measuredProperty,count,populationType,Person,value,{Number},alternateName,"""cadunico tot pes@pt""",name,"""total number of individuals registered in the Single Registry""",registeredIn,Brazil_SingleRegistry,,
cadunico_tot_fam_rpc_ate_meio_sm,measuredProperty,count,populationType,Household,value,{Number},alternateName,"""cadunico tot fam rpc ate meio sm@pt""",name,"""Single Registry total families registered with RPC by mid-morning today with an income up to half the minimum wage""",registeredIn,Brazil_SingleRegistry,incomeStatus,UptoHalfOfMinimumWage
cadunico_tot_pes_rpc_ate_meio_sm,measuredProperty,count,populationType,Person,value,{Number},alternateName,"""cadunico tot pes rpc ate meio sm@pt""",name,"""Single Registry total individuals registered with RPC by mid-morning today with an income up to half the minimum wage""",registeredIn,Brazil_SingleRegistry,incomeStatus,UptoHalfOfMinimumWage
cadunico_tot_fam_pob,measuredProperty,count,populationType,Household,value,{Number},alternateName,"""cadunico tot fam pob@pt""",name,"""Number of low income families with Single Registry""",registeredIn,Brazil_SingleRegistry,incomeStatus,LowIncome
cadunico_tot_pes_pob,measuredProperty,count,populationType,Person,value,{Number},alternateName,"""cadunico tot pes pob@pt""",name,"""The number of low-income individuals in Single Registry families""",registeredIn,Brazil_SingleRegistry,incomeStatus,LowIncome
cadunico_tot_fam_ext_pob,measuredProperty,count,populationType,Household,value,{Number},alternateName,"""cadunico tot fam ext pob@pt""",name,"""total number of families registered in the Single Registry whose income exceeds the poverty line""",registeredIn,Brazil_SingleRegistry,incomeStatus,AbovePovertyLine
cadunico_tot_pes_ext_pob,measuredProperty,count,populationType,Person,value,{Number},alternateName,"""cadunico tot pes ext pob@pt""",name,"""The total number of individuals exceeding the poverty line within Single Registry families""",registeredIn,Brazil_SingleRegistry,incomeStatus,AbovePovertyLine
cadunico_tot_fam_pob_e_ext_pob,measuredProperty,count,populationType,Household,value,{Number},alternateName,"""cadunico tot fam pob e ext pob@pt""",name,"""The Single Registry reports total families, including both the current low-income population and those who have exited""",registeredIn,Brazil_SingleRegistry,incomeStatus,LowIncome__AbovePovertyLine
cadunico_tot_pes_pob_e_ext_pob,measuredProperty,count,populationType,Person,value,{Number},alternateName,"""cadunico tot pes pob e ext pob@pt""",name,"""The Single Registry tracks total individuals across families, encompassing both current low-income residents and those who have exited""",registeredIn,Brazil_SingleRegistry,incomeStatus,LowIncome__AbovePovertyLine
