Year,Place,StatVar,Quantity,Unit,ScalingFactor
2012,geoId/1258975,dcid:Median_Earnings_Person_Male_ForeignBorn_PlaceOfBirthMexico,"250,000+",InflationAdjustedUSD_CurrentYear,
2012,geoId/3440350,dcid:Median_NumberOfRooms_HousingUnit_ForeignBorn_OccupiedHousingUnit_PlaceOfBirthMexico,9.0+,Rooms,
2012,geoId/48427,dcid:Median_Earnings_Person_Male_ForeignBorn_PlaceOfBirthCentralAmericaExceptMexico,"2,500-",InflationAdjustedUSD_CurrentYear,
2012,geoId/0609710,dcid:Median_Income_Household_ForeignBorn_PlaceOfBirthCentralAmericaExceptMexico,"2,500-",InflationAdjustedUSD_CurrentYear,
2012,geoId/1765000,dcid:Median_Earnings_Person_Male_ForeignBorn_PlaceOfBirthCaribbean,"250,000+",InflationAdjustedUSD_CurrentYear,
2012,geoId/4874144,dcid:Median_Earnings_Person_Male_ForeignBorn_PlaceOfBirthCaribbean,"250,000+",InflationAdjustedUSD_CurrentYear,
2012,geoId/0642524,dcid:Median_Earnings_Person_Female_ForeignBorn_PlaceOfBirthCaribbean,"250,000+",InflationAdjustedUSD_CurrentYear,
2012,geoId/4857200,dcid:Median_Earnings_Person_Female_ForeignBorn_PlaceOfBirthCaribbean,"2,500-",InflationAdjustedUSD_CurrentYear,
2012,geoId/48375,dcid:Median_Income_Household_ForeignBorn_PlaceOfBirthCaribbean,"2,500-",InflationAdjustedUSD_CurrentYear,
2012,geoId/0686328,dcid:Median_Income_Household_ForeignBorn_PlaceOfBirthCaribbean,"2,500-",InflationAdjustedUSD_CurrentYear,
2012,geoId/3574520,dcid:Median_Income_Household_ForeignBorn_PlaceOfBirthCaribbean,"2,500-",InflationAdjustedUSD_CurrentYear,
2012,geoId/4131250,dcid:Median_Income_Household_ForeignBorn_PlaceOfBirthCaribbean,"2,500-",InflationAdjustedUSD_CurrentYear,
2012,geoId/48251,dcid:Median_NumberOfRooms_HousingUnit_ForeignBorn_OccupiedHousingUnit_PlaceOfBirthCaribbean,9.0+,Rooms,
2012,geoId/0636448,dcid:Median_NumberOfRooms_HousingUnit_ForeignBorn_OccupiedHousingUnit_PlaceOfBirthCaribbean,9.0+,Rooms,
2012,geoId/0639486,dcid:Median_NumberOfRooms_HousingUnit_ForeignBorn_OccupiedHousingUnit_PlaceOfBirthCaribbean,9.0+,Rooms,
2012,geoId/0667112,dcid:Median_NumberOfRooms_HousingUnit_ForeignBorn_OccupiedHousingUnit_PlaceOfBirthCaribbean,9.0+,Rooms,
2012,geoId/0672016,dcid:Median_NumberOfRooms_HousingUnit_ForeignBorn_OccupiedHousingUnit_PlaceOfBirthCaribbean,9.0+,Rooms,
2012,geoId/0678120,dcid:Median_NumberOfRooms_HousingUnit_ForeignBorn_OccupiedHousingUnit_PlaceOfBirthCaribbean,9.0+,Rooms,
2012,geoId/0845970,dcid:Median_NumberOfRooms_HousingUnit_ForeignBorn_OccupiedHousingUnit_PlaceOfBirthCaribbean,9.0+,Rooms,
2012,geoId/1700243,dcid:Median_NumberOfRooms_HousingUnit_ForeignBorn_OccupiedHousingUnit_PlaceOfBirthCaribbean,9.0+,Rooms,
2012,geoId/4832372,dcid:Median_NumberOfRooms_HousingUnit_ForeignBorn_OccupiedHousingUnit_PlaceOfBirthCaribbean,9.0+,Rooms,
2012,geoId/05131,dcid:Median_Earnings_Person_Male_ForeignBorn_PlaceOfBirthSouthamerica,"250,000+",InflationAdjustedUSD_CurrentYear,
2012,geoId/06039,dcid:Median_Earnings_Person_Male_ForeignBorn_PlaceOfBirthSouthamerica,"2,500-",InflationAdjustedUSD_CurrentYear,
