mapped_rows,5,,,,,,,
mapped_columns,1,,,,,,,
Pesquisa Nacional por Amostra de Domicílios Contínua - Divulgação Trimestral,age,Years14Onwards,scalingFactor,100,unit,Percent,observationPeriod,P3M
1º trimestre 2020,observationDate,2020-03,value,{Number},,,,
2º trimestre 2020,observationDate,2020-06,value,{Number},,,,
3º trimestre 2020,observationDate,2020-09,value,{Number},,,,
4º trimestre 2020,observationDate,2020-12,value,{Number},,,,
1º trimestre 2021,observationDate,2021-03,value,{Number},,,,
2º trimestre 2021,observationDate,2021-06,value,{Number},,,,
3º trimestre 2021,observationDate,2021-09,value,{Number},,,,
4º trimestre 2021,observationDate,2021-12,value,{Number},,,,
1º trimestre 2022,observationDate,2022-03,value,{Number},,,,
2º trimestre 2022,observationDate,2022-06,value,{Number},,,,
3º trimestre 2022,observationDate,2022-09,value,{Number},,,,
4º trimestre 2022,observationDate,2022-12,value,{Number},,,,
1º trimestre 2023,observationDate,2023-03,value,{Number},,,,
2º trimestre 2023,observationDate,2023-06,value,{Number},,,,
3º trimestre 2023,observationDate,2023-09,value,{Number},,,,
4º trimestre 2023,observationDate,2023-12,value,{Number},,,,
1º trimestre 2024,observationDate,2024-03,value,{Number},,,,
2º trimestre 2024,observationDate,2024-06,value,{Number},,,,
3º trimestre 2024,observationDate,2024-09,value,{Number},,,,
4º trimestre 2024,observationDate,2024-12,value,{Number},,,,
1º trimestre 2025,observationDate,2025-03,value,{Number},,,,
2º trimestre 2025,observationDate,2025-06,value,{Number},,,,
3º trimestre 2025,observationDate,2025-09,value,{Number},,,,
4º trimestre 2025,observationDate,2025-12,value,{Number},,,,
1º trimestre 2026,observationDate,2026-03,value,{Number},,,,
2º trimestre 2026,observationDate,2026-06,value,{Number},,,,
3º trimestre 2026,observationDate,2026-09,value,{Number},,,,
4º trimestre 2026,observationDate,2026-12,value,{Number},,,,
1º trimestre 2027,observationDate,2027-03,value,{Number},,,,
2º trimestre 2027,observationDate,2027-06,value,{Number},,,,
3º trimestre 2027,observationDate,2027-09,value,{Number},,,,
4º trimestre 2027,observationDate,2027-12,value,{Number},,,,
1º trimestre 2028,observationDate,2028-03,value,{Number},,,,
2º trimestre 2028,observationDate,2028-06,value,{Number},,,,
3º trimestre 2028,observationDate,2028-09,value,{Number},,,,
4º trimestre 2028,observationDate,2028-12,value,{Number},,,,
"Taxa de participação na força de trabalho das pessoas de 14 anos ou mais de idade, na semana de referência (%)",populationType,Person,measurementDenominator,-employmentStatus,employmentStatus,InLaborForce,,
"Nível da ocupação das pessoas de 14 anos ou mais de idade, na semana de referência (%)",#ignore,ignore row,,,,,,
"Nível da desocupação das pessoas de 14 anos ou mais de idade, na semana de referência (%)",#ignore,ignore row,,,,,,
"Taxa de desocupação das pessoas de 14 anos ou mais de idade, na semana de referência (%)",populationType,Person,employmentStatus,Unemployed,measurementDenominator,-employmentStatus,,
Acre,observationAbout,wikidataId/Q40780,,,,,,
Alagoas,observationAbout,wikidataId/Q40885,,,,,,
Amapá,observationAbout,wikidataId/Q40130,,,,,,
Amazonas,observationAbout,wikidataId/Q40040,,,,,,
Bahia,observationAbout,wikidataId/Q40430,,,,,,
Ceará,observationAbout,wikidataId/Q40123,,,,,,
Distrito Federal,observationAbout,wikidataId/Q119158,,,,,,
Espírito Santo,observationAbout,wikidataId/Q43233,,,,,,
Goiás,observationAbout,wikidataId/Q41587,,,,,,
Maranhão,observationAbout,wikidataId/Q42362,,,,,,
Mato Grosso,observationAbout,wikidataId/Q42824,,,,,,
Mato Grosso do Sul,observationAbout,wikidataId/Q43319,,,,,,
Minas Gerais,observationAbout,wikidataId/Q39109,,,,,,
Pará,observationAbout,wikidataId/Q39517,,,,,,
Paraíba,observationAbout,wikidataId/Q38088,,,,,,
Paraná,observationAbout,wikidataId/Q15499,,,,,,
Pernambuco,observationAbout,wikidataId/Q40942,,,,,,
Piauí,observationAbout,wikidataId/Q42722,,,,,,
Rio de Janeiro,observationAbout,wikidataId/Q41428,,,,,,
Rio Grande do Norte,observationAbout,wikidataId/Q43255,,,,,,
Rio Grande do Sul,observationAbout,wikidataId/Q40030,,,,,,
Rondônia,observationAbout,wikidataId/Q43235,,,,,,
Roraima,observationAbout,wikidataId/Q42508,,,,,,
Santa Catarina,observationAbout,wikidataId/Q41115,,,,,,
São Paulo,observationAbout,wikidataId/Q175,,,,,,
Sergipe,observationAbout,wikidataId/Q43783,,,,,,
Tocantins,observationAbout,wikidataId/Q43695,,,,,,
Norte,observationAbout,wikidataId/Q478465,,,,,,
Nordeste,observationAbout,wikidataId/Q1136194,,,,,,
Sudeste,observationAbout,wikidataId/Q1088815,,,,,,
Sul,observationAbout,wikidataId/Q1060042,,,,,,
Centro-Oeste,observationAbout,wikidataId/Q980175,,,,,,
Recife,observationAbout,wikidataId/Q48344,,,,,,
Brasilia,observationAbout,wikidataId/Q2844,,,,,,
Aracaju,observationAbout,wikidataId/Q170578,,,,,,
Belo Horizonte,observationAbout,wikidataId/Q42800,,,,,,
Curitiba,observationAbout,wikidataId/Q4361,,,,,,
Goiânia,observationAbout,wikidataId/Q83189,,,,,,
Porto Alegre,observationAbout,wikidataId/Q40269,,,,,,
Porto Velho (RO),observationAbout,wikidataId/Q172512,,,,,,
Rio Branco (AC),observationAbout,wikidataId/Q171612,,,,,,
Manaus (AM),observationAbout,wikidataId/Q40236,,,,,,
Boa Vista (RR),observationAbout,wikidataId/Q181056,,,,,,
Belém (PA),observationAbout,wikidataId/Q12829733,,,,,,
Macapá (AP),observationAbout,wikidataId/Q180215,,,,,,
Palmas (TO),observationAbout,wikidataId/Q178993,,,,,,
São Luís (MA),observationAbout,wikidataId/Q28441,,,,,,
Teresina (PI),observationAbout,wikidataId/Q165341,,,,,,
Fortaleza (CE),observationAbout,wikidataId/Q43463,,,,,,
Natal (RN),observationAbout,wikidataId/Q131620,,,,,,
João Pessoa (PB),observationAbout,wikidataId/Q167436,,,,,,
Recife (PE),observationAbout,wikidataId/Q48344,,,,,,
Maceió (AL),observationAbout,wikidataId/Q168888,,,,,,
Aracaju (SE),observationAbout,wikidataId/Q170578,,,,,,
