Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,TABLE 41: NET STATE VALUE ADDED BY ECONOMIC ACTIVITY - MANUFACTURING,,,,,
,(Constant Prices),,,,,
,(₹ Lakh),,,,,
,State/Union Territory,Base: 2004-05,,,,
,,2004-05,2005-06,2006-07,2007-08,2008-09
,Andaman & Nicobar Islands,1662,1312,1638,1933,1928
,Andhra Pradesh,1179075,1182516,1265458,1407931,1459416
,Arunachal Pradesh,7069,7846,8937,10229,10304
,Assam,432430,393414,380355,336438,311303
,Bihar,343745,317574,341116,447877,558894
,Chandigarh,48974,45743,54862,63112,63837
,Chhattisgarh,820238,585475,966800,1104456,1077915
,Delhi,637193,693608,743295,832618,795121
,Goa,311027,338197,378847,391605,409095
,Gujarat,4026500,4682200,5247200,5689300,5836100
,Haryana,1628205,1760801,1900776,2005638,2006816
,Himachal Pradesh,223392,226523,263049,238381,302210
,Jammu & Kashmir,125725,137675,154443,170053,200869
,Jharkhand,1753023,1282914,1063280,1876328,1089666
,Karnataka,2340218,2343859,3078616,3210948,3597302
,Kerala,808608,824712,884335,1068208,1052421
,Madhya Pradesh,980186,1063482,1412105,1455130,1735244
,Maharashtra,6732816,8863496,10629224,11685445,10583382
,Manipur,18894,20126,22950,27440,26146
,Meghalaya,12852,23376,39036,42491,41127
,Mizoram,2632,2634,3162,3986,3690
,Nagaland,8511,10474,12028,13918,11885
,Odisha,626706,542399,717340,914377,1056856
,Puducherry,164649,256471,227917,225431,258145
,Punjab,1207208,1314677,1644121,2004668,2050948
,Rajasthan,1269814,1420562,1798082,1817170,1976644
,Sikkim,6395,6530,7036,8106,8834
,Tamil Nadu,3282383,3809594,4553305,4534777,4315213
,Telangana,889427,999728,1284299,1226045,1546751
,Tripura,32893,21588,24021,26110,25732
,Uttar Pradesh,2738719,2845971,3468978,3681681,3334539
,Uttarakhand,249951,377311,444600,661087,739482
,West Bengal,1774449,1710248,1962013,2227778,2175308
