Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,TABLE 26: PER CAPITA NET STATE DOMESTIC PRODUCT,,,,,
,(Current Prices),,,,,
,(₹),,,,,
,State/Union Territory,Base: 2004-05,,,,
,,2004-05,2005-06,2006-07,2007-08,2008-09
,Andaman & Nicobar Islands,40921,44754,53778,61430,69177
,Andhra Pradesh,25959,28223,32961,39780,44376
,Arunachal Pradesh,26721,28171,30132,34466,39726
,Assam,16782,18396,19737,21290,24099
,Bihar,7914,8223,9967,11051,13728
,Chandigarh,74173,84993,97568,102980,108486
,Chhattisgarh,18559,20117,24800,29385,34360
,Delhi,63877,72208,83275,95241,111756
,Goa,76968,84721,94882,108708,135966
,Gujarat,32021,37780,43395,50016,55068
,Haryana,37972,42309,49261,56917,67405
,Himachal Pradesh,33348,36949,40393,43966,49903
,Jammu & Kashmir,21734,23240,25059,27448,30212
,Jharkhand,18510,18326,19789,24789,25046
,Karnataka,26882,31239,35981,42419,48084
,Kerala,32351,36958,41318,46865,54560
,Madhya Pradesh,15442,16631,19028,20935,25278
,Maharashtra,36077,41965,49831,57760,62234
,Manipur,18547,20251,21220,22820,24413
,Meghalaya,23079,24885,28940,31602,36992
,Mizoram,24662,26698,28764,32488,38582
,Nagaland,30441,33792,36568,39985,46207
,Odisha,17650,18846,22237,27735,31416
,Puducherry,48302,67205,68673,74201,79306
,Punjab,33103,36199,41883,49380,55315
,Rajasthan,18565,20275,24055,26882,31279
,Sikkim,26690,30252,32199,36448,46983
,Tamil Nadu,30062,35243,42288,47606,54137
,Telangana,24409,28987,33381,39652,49114
,Tripura,24394,26668,29081,31111,35587
,Uttar Pradesh,12950,14221,16013,17785,20422
,Uttarakhand,24726,29441,35111,42619,50657
,West Bengal,22649,24720,27823,31567,35487
