Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,TABLE 49: NET STATE VALUE ADDED BY ECONOMIC ACTIVITY - INDUSTRY,,,,,
,(Constant Prices),,,,,
,(₹ Lakh),,,,,
,State/Union Territory,Base: 2004-05,,,,
,,2004-05,2005-06,2006-07,2007-08,2008-09
,Andaman & Nicobar Islands,45034,54383,76512,89040,73241
,Andhra Pradesh,2299920,2489325,2922716,3246094,3295872
,Arunachal Pradesh,95409,100481,97093,113217,138409
,Assam,1195811,1135106,1131813,1109723,1191169
,Bihar,903068,1000156,1177745,1420947,1669773
,Chandigarh,130140,140733,191622,198087,143426
,Chhattisgarh,1677506,1527853,2093826,2212740,2452831
,Delhi,1639076,1733963,1836648,1887203,1970798
,Goa,497541,532279,608550,614967,628159
,Gujarat,6127900,6884200,7576900,8538200,9042100
,Haryana,2620247,2837585,3086634,3221644,3249799
,Himachal Pradesh,776010,839281,942137,981540,1044594
,Jammu & Kashmir,645226,680705,732745,764413,779321
,Jharkhand,2684907,2267936,2065188,2895470,2263808
,Karnataka,4072328,4337013,5206342,5699215,5957169
,Kerala,2336941,2578548,2741765,2953522,2961328
,Madhya Pradesh,2479821,2582011,3030108,3256737,3916114
,Maharashtra,9892690,12227434,14191251,16007659,15365517
,Manipur,169696,183000,186997,190732,195400
,Meghalaya,144652,157370,179491,186705,220715
,Mizoram,36467,48253,48316,54304,65996
,Nagaland,67207,79212,91110,100689,115597
,Odisha,2069078,2018896,2459103,2743929,2850974
,Puducherry,241945,336880,312314,328210,352856
,Punjab,1980668,2166733,2730115,3184430,3301129
,Rajasthan,3205123,3517583,4167618,4210883,4439156
,Sikkim,43121,48987,52140,53844,66610
,Tamil Nadu,5553241,6372872,7213311,7522175,7280656
,Telangana,2010903,2280813,2640583,2729902,3191729
,Tripura,185357,210973,235522,235124,257843
,Uttar Pradesh,4993512,5460143,6225666,6596566,6821075
,Uttarakhand,597554,762959,881192,1070370,1130655
,West Bengal,3671855,3780224,4121105,4404258,4131501
