Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,TABLE 42: GROSS STATE VALUE ADDED BY ECONOMIC ACTIVITY - CONSTRUCTION,,,,,
,(Current Prices),,,,,
,(₹ Lakh),,,,,
,State/Union Territory,Base: 2004-05,,,,
,,2004-05,2005-06,2006-07,2007-08,2008-09
,Andaman & Nicobar Islands,42549,55649,81609,104720,87047
,Andhra Pradesh,840869,1108280,1385095,1796865,2343510
,Arunachal Pradesh,70478,78188,80130,101700,139415
,Assam,342026,334175,379149,408050,681504
,Bihar,513809,664901,899219,1155733,1449673
,Chandigarh,78131,99190,157172,168928,102352
,Chhattisgarh,327428,430685,644367,668015,795653
,Delhi,975668,1074643,1213617,1420983,1641504
,Goa,131314,138398,145079,165391,197251
,Gujarat,1302400,1462600,1736100,2501500,2952100
,Haryana,925679,1036625,1234098,1410798,1651030
,Himachal Pradesh,460050,534614,605839,683559,722508
,Jammu & Kashmir,447192,515589,577053,653915,710301
,Jharkhand,361928,440370,535630,599645,737325
,Karnataka,1425971,1788145,2129827,2693304,2965166
,Kerala,1448764,1744919,1997812,2173999,2321153
,Madhya Pradesh,932423,1076884,1155614,1492048,2087627
,Maharashtra,2614277,3020706,3438667,4474347,5251288
,Manipur,144348,162548,171903,187201,183999
,Meghalaya,73681,81675,92967,105323,200778
,Mizoram,28901,42655,45021,52065,73610
,Nagaland,56724,69097,81908,89888,126870
,Odisha,809272,865857,1086634,1291006,1454512
,Puducherry,75301,80214,93383,107762,84221
,Punjab,632587,771329,988980,1161561,1323976
,Rajasthan,1552004,1829730,2180314,2364337,2756106
,Sikkim,33451,40739,42787,46732,53626
,Tamil Nadu,1965382,2377269,2697251,3475199,4030786
,Telangana,678474,894240,1117594,1449840,1890912
,Tripura,141629,180094,213894,214293,266320
,Uttar Pradesh,1914862,2411020,2811622,3242566,4148692
,Uttarakhand,315686,368159,470989,460222,478218
,West Bengal,1493996,1736531,1982729,2138786,2134141
