Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,TABLE 41: NET STATE VALUE ADDED BY ECONOMIC ACTIVITY - MANUFACTURING,,,,,,
,(Constant Prices) (Contd.),,,,,,
,(₹ Lakh),,,,,,
,State/Union Territory,Base: 2004-05,,,,,
,,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15
,Andaman & Nicobar Islands,1883,1914,1976,2039,1895,-
,Andhra Pradesh,1512635,1570943,1709369,1510589,1521690,1631448
,Arunachal Pradesh,10594,11986,12470,12319,13089,14152
,Assam,420459,441218,430495,395285,381365,368899
,Bihar,512061,647125,557684,547414,568944,599547
,Chandigarh,78122,79253,77186,75106,75479,-
,Chhattisgarh,883863,746023,628524,620936,586496,584333
,Delhi,815677,948456,926514,974683,944065,949426
,Goa,440807,491829,485817,466341,444600,-
,Gujarat,7770600,7832084,7955420,8333230,8404183,-
,Haryana,2288912,2412586,2508641,2656833,2681371,2789700
,Himachal Pradesh,404129,450328,482623,497930,510781,-
,Jammu & Kashmir,222405,235657,243237,251622,264224,264947
,Jharkhand,1185519,1316060,1166379,1148796,1288015,1265743
,Karnataka,3212704,3424919,3477454,3345860,3644884,3779152
,Kerala,1049507,1179223,1232579,1252012,1274183,-
,Madhya Pradesh,1877148,1718146,1781878,1787285,1748834,1747951
,Maharashtra,11490101,13178600,12441914,13984906,14381216,14451564
,Manipur,27662,28559,30677,32160,32020,-
,Meghalaya,46431,54040,39983,49352,52121,53950
,Mizoram,3387,3652,5343,6389,7991,-
,Nagaland,16841,13426,14778,15312,16813,17995
,Odisha,546407,453036,463095,455837,460341,470123
,Puducherry,325724,298228,289614,283858,291430,297771
,Punjab,2349066,2572622,2603724,2649728,2703275,2757079
,Rajasthan,2286334,2062589,3352144,3389456,3376041,3409338
,Sikkim,113699,161404,188844,189248,194543,-
,Tamil Nadu,5748374,6595277,6668365,6672874,6978511,7158432
,Telangana,1518296,1954386,1714553,1625137,1618523,1732895
,Tripura,28604,41068,35444,38683,40427,-
,Uttar Pradesh,4048573,4438921,4298735,4268198,4318099,4354948
,Uttarakhand,887618,1043830,1177639,1316697,1470236,1646218
,West Bengal,2353585,2594587,2391394,2383853,2621547,2697007
