Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,TABLE 43: GROSS STATE VALUE ADDED BY ECONOMIC ACTIVITY - CONSTRUCTION,,,,,
,(Constant Prices),,,,,
,(₹ Lakh),,,,,
,State/Union Territory,Base: 2004-05,,,,
,,2004-05,2005-06,2006-07,2007-08,2008-09
,Andaman & Nicobar Islands,42549,51099,74501,88081,70010
,Andhra Pradesh,840869,1020542,1131571,1289539,1455596
,Arunachal Pradesh,70478,74893,71879,85633,109775
,Assam,342026,316673,330107,339953,528345
,Bihar,513809,637115,795912,944224,1074588
,Chandigarh,78131,92711,136794,136088,73571
,Chhattisgarh,327428,408127,574353,556165,595234
,Delhi,975668,1020341,1058010,1068129,1104702
,Goa,131314,135685,148285,157613,167787
,Gujarat,1302400,1395400,1512400,2074100,2460500
,Haryana,925679,1007026,1112450,1138359,1191826
,Himachal Pradesh,460050,516369,582558,637255,636208
,Jammu & Kashmir,447192,483984,524526,558791,533190
,Jharkhand,361928,416111,474893,493989,545238
,Karnataka,1425971,1683729,1879820,2211246,2156135
,Kerala,1448764,1671427,1791384,1829682,1871452
,Madhya Pradesh,932423,1013164,1015929,1222070,1567341
,Maharashtra,2614277,2787571,3032571,3812486,4184368
,Manipur,144348,155093,156912,157438,164081
,Meghalaya,73681,75761,77999,79372,134843
,Mizoram,28901,40790,40361,44492,57771
,Nagaland,56724,67024,77403,83697,100835
,Odisha,809272,830418,956362,1040870,1065172
,Puducherry,75301,79477,83798,89391,91019
,Punjab,632587,728109,876220,955001,1028466
,Rajasthan,1552004,1728314,1937853,1961085,1976057
,Sikkim,33451,37923,39338,40706,39349
,Tamil Nadu,1965382,2283672,2385212,2829218,2979513
,Telangana,678474,823447,913033,1040493,1174479
,Tripura,141629,175581,199546,196282,216625
,Uttar Pradesh,1914862,2268362,2394439,2581772,3052848
,Uttarakhand,315686,346589,402950,371617,355827
,West Bengal,1493996,1654785,1769085,1809617,1658070
