Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,TABLE 57: NET STATE VALUE ADDED BY ECONOMIC ACTIVITY - SERVICES (Constant Prices),,,,,
,(₹ Lakh),,,,,
,State/Union Territory,Base: 2004-05,,,,
,,2004-05,2005-06,2006-07,2007-08,2008-09
,Andaman & Nicobar Islands,92010,98319,100385,108049,154305
,Andhra Pradesh,6079358,6642281,7454576,8192765,8615775
,Arunachal Pradesh,104726,112272,121691,131050,148284
,Assam,2259465,2441915,2645712,2839913,3026874
,Bihar,3883482,3902208,4391085,4788532,5381630
,Chandigarh,623446,695862,769725,834731,967166
,Chhattisgarh,1521110,1614275,1805233,1985402,2220207
,Delhi,7724546,8609081,9802344,11078830,12623831
,Goa,517611,553995,614421,662857,760822
,Gujarat,8047000,9055700,10079800,11319700,12230500
,Haryana,3904929,4513306,5034681,5735067,6411228
,Himachal Pradesh,777375,859124,949047,1013724,1103892
,Jammu & Kashmir,986288,1060713,1144147,1265272,1408396
,Jharkhand,1789171,1940662,2116111,2383619,2582650
,Karnataka,7900416,8868684,9813636,11189829,12315173
,Kerala,6415349,7183128,8083010,8986199,9702264
,Madhya Pradesh,4609330,4803542,5246919,5636195,6211627
,Maharashtra,22575501,25616460,28810160,31840110,34257356
,Manipur,175158,191131,196732,208206,228580
,Meghalaya,296957,322901,346720,362932,413026
,Mizoram,144588,149771,161391,175874,199619
,Nagaland,280690,319825,352500,394157,405917
,Odisha,3012719,3307083,3720649,4041234,4559293
,Puducherry,233057,273381,319033,356255,381932
,Punjab,3651317,3866620,4197240,4501875,4925511
,Rajasthan,5010413,5457405,5989712,6523856,7341731
,Sikkim,79608,87665,93721,100734,110134
,Tamil Nadu,11554853,13226643,15503071,16949089,18719161
,Telangana,4456919,5097782,5779907,6419711,7362540
,Tripura,418568,440680,473988,494827,558830
,Uttar Pradesh,10934619,11665873,12690412,13788889,15432258
,Uttarakhand,1124968,1296356,1463413,1765873,2088278
,West Bengal,10583013,11569723,12730509,13849540,15226878
