Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,TABLE 49: NET STATE VALUE ADDED BY ECONOMIC ACTIVITY - INDUSTRY,,,,,,
,(Constant Prices) (Contd.),,,,,,
,(₹ Lakh),,,,,,
,State/Union Territory,Base: 2004-05,,,,,
,,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15
,Andaman & Nicobar Islands,71438,76099,76737,78246,80558,-
,Andhra Pradesh,3364594,3410828,3535466,3361891,3381626,3565323
,Arunachal Pradesh,124510,142228,136038,116758,143367,158038
,Assam,1316403,1317071,1361974,1409167,1442642,1508308
,Bihar,1905694,2470609,2489023,2465639,2770836,3027572
,Chandigarh,174083,165822,171641,170929,172545,-
,Chhattisgarh,2333105,2261446,2505752,2495556,2502658,2544412
,Delhi,1939454,1908374,1799774,1903568,1808470,1896448
,Goa,684064,771954,766146,739785,763192,-
,Gujarat,11380400,11726282,12208606,12923705,13413821,-
,Haryana,3711805,3834251,4103104,4307584,4441919,4661088
,Himachal Pradesh,1145947,1186714,1240465,1282827,1317025,-
,Jammu & Kashmir,804765,785254,799617,838556,890781,902190
,Jharkhand,2381378,2872046,2905708,2948216,3194782,3331138
,Karnataka,5658379,6211508,6311696,6062719,6612504,6928211
,Kerala,3149786,3610561,3772422,3850097,3902827,-
,Madhya Pradesh,4139480,4312637,4546277,4577429,4644630,4817341
,Maharashtra,16561637,18936839,18849721,20731405,21723913,22584588
,Manipur,208250,172652,176396,179185,182638,-
,Meghalaya,233003,256670,319971,320595,351225,359060
,Mizoram,67323,70227,70813,69962,70217,-
,Nagaland,121447,101592,115855,126031,137086,148937
,Odisha,2358377,2408595,2485570,2440600,2438330,2677413
,Puducherry,418602,392727,389491,387250,397842,408042
,Punjab,3637546,3872312,3886952,3945778,4011221,4075868
,Rajasthan,4868677,4996893,6324068,6602467,6654002,6844645
,Sikkim,192821,233289,266178,289085,316451,-
,Tamil Nadu,8861896,10387787,10787459,10924567,11252878,11675578
,Telangana,3203593,3651431,3446297,3352011,3349428,3468278
,Tripura,290064,299268,326841,358288,391653,-
,Uttar Pradesh,7408657,7967570,7934136,8045433,8195789,8355787
,Uttarakhand,1309222,1522068,1732921,1880526,2122774,2386801
,West Bengal,4537639,4907912,4533232,4996965,5325881,5614822
