Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,TABLE 28: GROSS STATE DOMESTIC PRODUCT,,,,,
,(Current Prices),,,,,
,(₹ Lakh),,,,,
,State/Union Territory,Base: 2004-05,,,,
,,2004-05,2005-06,2006-07,2007-08,2008-09
,Andaman & Nicobar Islands,181264,204420,253839,298977,347985
,Andhra Pradesh,13476688,14760642,17406428,21236071,23738349
,Arunachal Pradesh,348751,375515,410799,481000,568732
,Assam,5339771,5938458,6469221,7107619,8107367
,Bihar,7778116,8249020,10073714,11367995,14227912
,Chandigarh,850404,1018549,1227608,1366851,1533383
,Chhattisgarh,4786229,5338110,6687489,8025511,9697218
,Delhi,10032452,11537425,13558365,15794718,18953312
,Goa,1271331,1432661,1652284,1956496,2541383
,Gujarat,20337300,24473600,28369300,32928500,36791200
,Haryana,9579512,10888457,12873234,15159590,18252215
,Himachal Pradesh,2407658,2712735,3027427,3396254,4148310
,Jammu & Kashmir,2730462,2991985,3323011,3709863,4231484
,Jharkhand,5975772,6090054,6693475,8394959,8779393
,Karnataka,16674713,19590407,22723706,27062879,31031233
,Kerala,11926400,13684176,15378488,17514108,20278279
,Madhya Pradesh,11292689,12427599,14457681,16147939,19727620
,Maharashtra,41547969,48676562,58449766,68481658,75396915
,Manipur,513336,571758,613722,678253,739936
,Meghalaya,655933,726515,862518,973473,1161704
,Mizoram,268197,297115,328998,381551,457711
,Nagaland,583884,658768,725665,807495,943607
,Odisha,7772943,8509649,10183947,12927445,14849071
,Puducherry,575371,797723,833511,925143,1005005
,Punjab,9683851,10863668,12712291,15224532,17403913
,Rajasthan,12774565,14223614,17104273,19482214,23094932
,Sikkim,173915,199290,216122,250609,322908
,Tamil Nadu,21900322,25783345,31052573,35081864,40133605
,Telangana,8994628,10833479,12697070,15245199,18938194
,Tripura,890353,982602,1091423,1179707,1357264
,Uttar Pradesh,26084066,29317167,33631679,38302552,44468486
,Uttarakhand,2478567,2996753,3679542,4585567,5602476
,West Bengal,20865636,23024495,26168187,29948275,34194248
