,GeoId,CALicensedHealthcareFacilityBedFACID,CALicensedHealthcareFacilityName,CALicensedHealthcareFacilityType,Count_HospitalBed_SkilledNursingBed,Count_HospitalBed_SpecialTreatmentProgramBed,Count_HospitalBed_IntermediateCareHabilitativeBed,Count_HospitalBed_IntermediateCareNursingBed,Count_HospitalBed_CongregateLivingHealthFacilityBed,Count_HospitalBed_IntermediateCareBed,Count_HospitalBed_CoronaryCareBed,Count_HospitalBed_IntensiveCareBed,Count_HospitalBed_IntensiveCareNewbornNurseryBed,Count_HospitalBed_PerinatalBed,Count_HospitalBed_UnspecifiedGeneralAcuteCareBed,Count_HospitalBed_BurnBed,Count_HospitalBed_PediatricBed,Count_HospitalBed_RenalTransplantBed,Count_HospitalBed_RehabilitationBed,Count_HospitalBed_AcuteRespiratoryCareBed,Count_HospitalBed_AcutePsychiatricCareBed,Count_HospitalBed_ChemicalDependencyRecoveryBed,Count_HospitalBed_PediatricIntensiveCareUnitBed,Count_HospitalBed_LaborAndDeliveryBed,Count_HospitalBed_IntermediateCareDevelopmentallyDisabledBed,Count_HospitalBed_PsychiatricHealthBed,Count_HospitalBed_PediatricDayAndRespiteCareBed,Count_HospitalBed_DialysisStationsBed,Count_HospitalBed_CorrectionalTreatmentCenterBed,Count_HospitalBed_HospiceBed
0,dcid:geoId/06097,ELMS/010000001,VINEYARD POST ACUTE,dcs:SkilledNursingFacility,99,,,,,,,,,,,,,,,,,,,,,,,,,
1,dcid:geoId/06097,ELMS/010000003,CREEKSIDE REHABILITATION & BEHAVIORAL HEALTH,dcs:SkilledNursingFacility,123,58,,,,,,,,,,,,,,,,,,,,,,,,
2,dcid:geoId/06015,ELMS/010000004,CRESCENT CITY SKILLED NURSING,dcs:SkilledNursingFacility,99,,,,,,,,,,,,,,,,,,,,,,,,,
3,dcid:geoId/06097,ELMS/010000005,WINDSOR CARE CENTER OF PETALUMA,dcs:SkilledNursingFacility,79,,,,,,,,,,,,,,,,,,,,,,,,,
4,dcid:geoId/06097,ELMS/010000022,FRIENDS HOUSE,dcs:SkilledNursingFacility,34,,,,,,,,,,,,,,,,,,,,,,,,,
5,dcid:geoId/06023,ELMS/010000024,"GRANADA REHAB & WELLNESS CENTER, LP",dcs:SkilledNursingFacility,87,,,,,,,,,,,,,,,,,,,,,,,,,
6,dcid:geoId/06097,ELMS/010000026,APPLE VALLEY POST-ACUTE REHAB,dcs:SkilledNursingFacility,95,,,,,,,,,,,,,,,,,,,,,,,,,
7,dcid:geoId/06097,ELMS/010000028,EMPRES POST ACUTE REHABILITATION,dcs:SkilledNursingFacility,98,,,,,,,,,,,,,,,,,,,,,,,,,
8,dcid:geoId/06097,ELMS/010000029,HEALDSBURG SENIOR LIVING COMMUNITY,dcs:SkilledNursingFacility,38,,,,,,,,,,,,,,,,,,,,,,,,,
9,dcid:geoId/06097,ELMS/010000033,SANTA ROSA POST ACUTE,dcs:SkilledNursingFacility,99,,,,,,,,,,,,,,,,,,,,,,,,,
10,dcid:geoId/06097,ELMS/010000034,SONOMA POST ACUTE,dcs:SkilledNursingFacility,83,,,,,,,,,,,,,,,,,,,,,,,,,
11,dcid:geoId/06097,ELMS/010000037,CLOVERDALE HEALTHCARE CENTER,dcs:SkilledNursingFacility,72,,,,,,,,,,,,,,,,,,,,,,,,,
12,dcid:geoId/06097,ELMS/010000043,PARK VIEW POST ACUTE,dcs:SkilledNursingFacility,116,,,,,,,,,,,,,,,,,,,,,,,,,
13,dcid:geoId/06045,ELMS/010000047,NORTHBROOK HEALTHCARE CENTER,dcs:SkilledNursingFacility,70,,,,,,,,,,,,,,,,,,,,,,,,,
