NAME,DEFINITION,SHORT NAME,FDA CODE,NCI CONCEPT ID
AURICULAR (OTIC),Administration to or by way of the ear.,OTIC,13,C38192
BUCCAL,"Administration directed toward the cheek, generally from within the mouth.",BUCCAL,30,C38193
CONJUNCTIVAL,"Administration to the conjunctiva, the delicate membrane that lines the eyelids and covers the exposed surface of the eyeball.",CONJUNC,68,C38194
CUTANEOUS,Administration to the skin.,CUTAN,130,C38675
DENTAL,Administration to a tooth or teeth.,DENTAL,38,C38197
ELECTRO-OSMOSIS,Administration of through the diffusion of substance through a membrane in an electric field.,EL-OSMOS,357,C38633
ENDOCERVICAL,Administration within the canal of the cervix uteri.  Synonymous with the term intracervical..,E-CERVIC,131,C38205
ENDOSINUSIAL,Administration within the nasal sinuses of the head.,E-SINUS,133,C38206
ENDOTRACHEAL,Administration directly into the trachea.,E-TRACHE,401,C38208
ENTERAL,Administration directly into the intestines.,ENTER,313,C38209
EPIDURAL,Administration upon or over the dura mater.,EPIDUR,9,C38210
EXTRA‑AMNIOTIC,Administration to the outside of the membrane enveloping the fetus,X-AMNI,402,C38211
EXTRACORPOREAL,Administration outside of the body.,X-CORPOR,57,C38212
HEMODIALYSIS,Administration through hemodialysate fluid.,HEMO,140,C38200
INFILTRATION,Administration that results in substances passing into tissue spaces or into cells.,INFIL,361,C38215
INTERSTITIAL,Administration to or in the interstices of a tissue.,INTERSTIT,88,C38219
INTRA-ABDOMINAL,Administration within the abdomen.,I-ABDOM,56,C38220
INTRA-AMNIOTIC,Administration within the amnion.,I-AMNI,60,C38221
INTRA-ARTERIAL,Administration within an artery or arteries.,I-ARTER,37,C38222
INTRA-ARTICULAR,Administration within a joint.,I-ARTIC,7,C38223
INTRABILIARY,"Administration within the bile, bile ducts or gallbladder.",I-BILI,362,C38224
INTRABRONCHIAL,Administration within a bronchus.,I-BRONCHI,67,C38225
INTRABURSAL,Administration within a bursa.,I-BURSAL,25,C38226
INTRACARDIAC,Administration with the heart.,I-CARDI,27,C38227
INTRACARTILAGINOUS,Administration within a cartilage; endochondral.,I-CARTIL,363,C38228
