key,p1,v1,p2,v2,p3,v3,p4,v4,p5,v5,p6,v6
Schools_Total (EA),populationType,School,measuredProperty,count,schoolGradeLevel,HighSchool,,,,,,
,,,,,,,,,,,,
Entrants_Total (In Person),populationType,Student,schoolEnrollment,EnrolledInSchool,schoolGradeLevel,HighSchool,,,,,,
Graduates_Total (In Person),populationType,Student,measuredProperty,count,educationalAttainment,Graduate,schoolGradeLevel,HighSchool,,,,
Classrooms_Total (EA),populationType,ClassRoom,measuredProperty,count,schoolGradeLevel,HighSchool,,,,,,
Classes_Total (EA),#ignore,ignore,value,1,,,,,,,,
Students_Total (In Person),populationType,Student,measuredProperty,count,schoolGradeLevel,HighSchool,,,,,,
,,,,,,,,,,,,
School Staffs (In Person),populationType,Faculty,measuredProperty,count,schoolGradeLevel,HighSchool,,,,,,
Instructors_Total,populationType,Teacher,measuredProperty,count,schoolGradeLevel,HighSchool,,,,,,
Clerical Staffs_Total,populationType,Faculty,measuredProperty,count,occupationalCategory,ClericalWorker,schoolGradeLevel,HighSchool,,,,
Entrants_Female,populationType,Student,gender,Female,schoolEnrollment,EnrolledInSchool,schoolGradeLevel,HighSchool,,,,
By time,#ignore,ignoring,value,1,,,,,,,,
Graduates_Female,populationType,Student,measuredProperty,count,educationalAttainment,Graduate,gender,Female,schoolGradeLevel,HighSchool,,
Classrooms_Regular,#ignore,ignore,value,1,,,,,,,,
Classrooms_Subject,#ignore,ignore,value,1,,,,,,,,
Classrooms_Temporary & Substitute,#ignore,ignore,value,1,,,,,,,,
Classrooms_Special Subject,#ignore,ignore,value,1,,,,,,,,
Classrooms_Level,#ignore,ignore,value,1,,,,,,,,
10th Grade,populationType,Student,educationalAttainment,10ThGrade,schoolGradeLevel,HighSchool,,,,,,
11th Grade,populationType,Student,educationalAttainment,11ThGrade,schoolGradeLevel,HighSchool,gender,"""""",,,,
12th Grade,populationType,Student,educationalAttainment,12ThGrade,schoolGradeLevel,HighSchool,,,,,,
Classes_Special Classes,#ignore,ignore,value,1,,,,,,,,
Day time,#ignore,ignore,value,1,,,,,,,,
Evening,#ignore,ignore,value,1,,,,,,,,
Students_Female,populationType,Student,measuredProperty,count,gender,Female,schoolGradeLevel,HighSchool,,,,
Column:4,#ignore,ignroning,value,1,,,,,,,,
,,,,,,,,,,,,
National,populationType,School,typeOfSchool,NationalSchool,schoolGradeLevel,HighSchool,,,,,,
Public,populationType,School,typeOfSchool,PublicSchool,schoolGradeLevel,HighSchool,,,,,,
Private,populationType,School,typeOfSchool,PrivateSchool,schoolGradeLevel,HighSchool,,,,,,
Sub Summary,value,{Number},,,,,,,,,,
Daytime,#ignore,ignore,value,1,,,,,,,,
Evening,#ignore,ignore,value,1,,,,,,,,
Day & Evening,#ignore,ignore,value,1,,,,,,,,
Schools_Male,populationType,School,measuredProperty,count,coeducationStatus,AllMale,schoolGradeLevel,HighSchool,,,,
Schools_Female,populationType,School,measuredProperty,count,coeducationStatus,AllFemale,schoolGradeLevel,HighSchool,,,,
Schools_Coeducation,populationType,School,measuredProperty,count,coeducationStatus,Coeducational,schoolGradeLevel,HighSchool,,,,
Instructors_Female,populationType,Teacher,measuredProperty,count,gender,Female,schoolGradeLevel,HighSchool,,,,
Clerical Staffs_Female,populationType,Faculty,measuredProperty,count,occupationalCategory,ClericalWorker,gender,Female,schoolGradeLevel,HighSchool,,
Female,measuredProperty,count,gender,Female,schoolGradeLevel,HighSchool,value,{Number},,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
2010,observationDate,2010,,,,,,,,,,
2011,observationDate,2011,,,,,,,,,,
2012,observationDate,2012,,,,,,,,,,
2013,observationDate,2013,,,,,,,,,,
2014,observationDate,2014,,,,,,,,,,
2015,observationDate,2015,,,,,,,,,,
2016,observationDate,2016,,,,,,,,,,
2017,observationDate,2017,,,,,,,,,,
2018,observationDate,2018,,,,,,,,,,
2019,observationDate,2019,,,,,,,,,,
2020,observationDate,2020,,,,,,,,,,
2021,observationDate,2021,,,,,,,,,,
2022,observationDate,2022,,,,,,,,,,
2023,observationDate,2023,,,,,,,,,,
2024,observationDate,2024,,,,,,,,,,
2025,observationDate,2025,,,,,,,,,,
2026,observationDate,2026,,,,,,,,,,
2027,observationDate,2027,,,,,,,,,,
2028,observationDate,2028,,,,,,,,,,
2029,observationDate,2029,,,,,,,,,,
2030,observationDate,2030,,,,,,,,,,
