fips,city
geoId/02110,geoId/0236400
geoId/02220,geoId/0270540
geoId/02275,geoId/0286380
geoId/0900108070,geoId/0908000
geoId/0900118500,geoId/0918430
geoId/0900156060,geoId/0955990
geoId/0900168170,geoId/0968100
geoId/0900173070,geoId/0973000
geoId/0900174190,geoId/0974260
geoId/0900308490,geoId/0908420
geoId/0900322630,geoId/0922700
geoId/0900337070,geoId/0937000
geoId/0900350440,geoId/0950370
geoId/0900382590,geoId/0982660
geoId/0900576570,geoId/0976500
geoId/0900747360,geoId/0947290
geoId/0900901220,geoId/0901150
geoId/0900919550,geoId/0919480
geoId/0900946520,geoId/0946450
geoId/0900947535,geoId/0947515
geoId/0900949950,geoId/0949880
geoId/0900952070,geoId/0952000
geoId/0900980070,geoId/0980000
geoId/0900982870,geoId/0982800
geoId/0901152350,geoId/0952280
geoId/0901156270,geoId/0956200
geoId/2300102060,geoId/2302060
geoId/2300138740,geoId/2338740
geoId/2300310565,geoId/2310565
geoId/2300360825,geoId/2360825
geoId/2300560545,geoId/2360545
geoId/2300571990,geoId/2371990
geoId/2300582105,geoId/2382105
geoId/2300923200,geoId/2323200
geoId/2301102100,geoId/2302100
geoId/2301127085,geoId/2327085
geoId/2301130550,geoId/2330550
geoId/2301180740,geoId/2380740
geoId/2301363590,geoId/2363590
geoId/2301902795,geoId/2302795
geoId/2301906925,geoId/2306925
geoId/2301955225,geoId/2355225
geoId/2302303355,geoId/2303355
geoId/2302703950,geoId/2303950
geoId/2302909585,geoId/2309585
geoId/2302921730,geoId/2321730
geoId/2303104860,geoId/2304860
geoId/2303164675,geoId/2364675
geoId/2303165725,geoId/2365725
geoId/24510,geoId/2404000
geoId/2500346225,geoId/2546225
geoId/2500353960,geoId/2553960
geoId/2500502690,geoId/2502690
geoId/2500523000,geoId/2523000
geoId/2500545000,geoId/2545000
geoId/2500562430,geoId/2562465
geoId/2500569170,geoId/2569170
geoId/2500905595,geoId/2505595
geoId/2500916250,geoId/2516285
geoId/2500926150,geoId/2526150
geoId/2500929405,geoId/2529405
geoId/2500934550,geoId/2534550
geoId/2500937490,geoId/2537490
geoId/2500938400,geoId/2538435
geoId/2500943580,geoId/2543615
geoId/2500945245,geoId/2545245
geoId/2500952490,geoId/2552490
geoId/2500959105,geoId/2559105
geoId/2500960015,geoId/2560050
geoId/2500968645,geoId/2568680
geoId/2501313660,geoId/2513660
geoId/2501330840,geoId/2530840
geoId/2501336300,geoId/2536335
geoId/2501352144,geoId/2552144
geoId/2501367000,geoId/2567000
geoId/2501376030,geoId/2576030
geoId/2501546330,geoId/2546330
geoId/2501701605,geoId/2501640
geoId/2501705070,geoId/2505105
geoId/2501709840,geoId/2509875
geoId/2501711000,geoId/2511000
geoId/2501721990,geoId/2521990
geoId/2501724960,geoId/2524960
geoId/2501735215,geoId/2535250
geoId/2501737000,geoId/2537000
geoId/2501737875,geoId/2537875
geoId/2501738715,geoId/2538715
geoId/2501739625,geoId/2539660
geoId/2501739835,geoId/2539835
geoId/2501740115,geoId/2540115
geoId/2501745560,geoId/2545560
geoId/2501756130,geoId/2556165
geoId/2501762535,geoId/2562535
geoId/2501767665,geoId/2567700
geoId/2501772215,geoId/2572250
geoId/2501772600,geoId/2572600
geoId/2501780510,geoId/2580545
geoId/2501781035,geoId/2581035
geoId/2502109175,geoId/2509210
geoId/2502130455,geoId/2530420
geoId/2502141690,geoId/2541725
geoId/2502144105,geoId/2544140
geoId/2502150250,geoId/2550285
geoId/2502155745,geoId/2555745
geoId/2502155955,geoId/2555990
geoId/2502174175,geoId/2574210
geoId/2502178972,geoId/2578972
geoId/2502300170,geoId/2500135
geoId/2502309000,geoId/2509000
geoId/2502331645,geoId/2531680
geoId/2502507000,geoId/2507000
geoId/2502513205,geoId/2513205
geoId/2502556585,geoId/2556585
geoId/2502581005,geoId/2581005
geoId/2502723875,geoId/2523875
geoId/2502725485,geoId/2525485
geoId/2502735075,geoId/2535075
geoId/2502763345,geoId/2563345
geoId/2502782000,geoId/2582000
geoId/29510,geoId/2965000
geoId/32510,geoId/3209700
geoId/3300140180,geoId/3340180
geoId/3300539300,geoId/3339300
geoId/3300705140,geoId/3305140
geoId/3300941300,geoId/3341300
geoId/3301145140,geoId/3345140
geoId/3301150260,geoId/3350260
